trade_id,symbol,entry_date,entry_price,exit_date,exit_price,quantity,side,initial_stop_loss,final_stop_loss,take_profit,pl,pl_pct,security_pl,fx_pl,entry_fx_rate,exit_fx_rate,security_currency,duration_days,entry_equity,entry_capital_available,entry_capital_required,concurrent_positions,competing_signals,entry_reason,exit_reason,commission_paid,partial_exits
T000183,SPGI,2021-10-26,448.88517892218,2021-12-01,433.71392717475,13.488962760310713,LONG,424.3910226573177,424.3910226573177,,-210.64444984838218,-3.4788539672009864,-210.64444984838218,0.0,1.0,1.0,GBP,36,16233.808350076211,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000184,SPGI,2022-03-24,395.2879928998,2022-04-14,375.06699029727,11.050007184766212,LONG,365.92088923790703,365.92088923790703,,-229.44222404113222,-5.252876142908898,-229.44222404113222,0.0,1.0,1.0,GBP,21,16023.163900227832,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000185,SPGI,2022-05-27,350.54346808480994,2022-06-01,322.07021267472,12.909619023102817,LONG,325.7495732503826,325.7495732503826,,-373.57887969176255,-8.255188803473072,-373.57887969176255,0.0,1.0,1.0,GBP,5,15793.721676186698,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Stop loss hit,6.0,0
T000186,SPGI,2022-06-27,330.93815045290995,2022-08-26,353.96148822596996,12.929993292855693,LONG,306.7796294540074,306.7796294540074,,291.691602984817,6.816772372271817,291.691602984817,0.0,1.0,1.0,GBP,60,15420.142796494936,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000187,SPGI,2022-10-28,318.49778134174,2022-12-16,330.96519241109996,12.815241652215713,LONG,293.6835544750548,293.6835544750548,,153.7728856313571,3.7674418078950063,153.7728856313571,0.0,1.0,1.0,GBP,49,15711.834399479754,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000188,SPGI,2023-01-09,342.11566057668995,2023-02-16,348.72192328572,15.084902977755863,LONG,320.7598204398484,320.7598204398484,,93.65483201128467,1.8147412588364114,93.65483201128467,0.0,1.0,1.0,GBP,38,15865.607285111113,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000189,SPGI,2023-04-27,348.13768610620997,2023-07-28,384.15556152836996,18.36183995333036,LONG,330.42418684879584,330.42418684879584,,655.3544639606929,10.252010112020518,655.3544639606929,0.0,1.0,1.0,GBP,92,15959.262117122396,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000190,SPGI,2023-11-03,376.71151644125996,2024-02-12,422.65993455243,15.385172500755985,LONG,354.7585384739604,354.7585384739604,,700.9243387772116,12.093718998542125,700.9243387772116,0.0,1.0,1.0,GBP,101,16614.61658108309,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000191,SPGI,2024-04-08,428.91244118722994,2024-04-12,411.98280917562,23.412704325110766,LONG,413.70715704751933,413.70715704751933,,-402.3684686207541,-4.006855824877417,-402.3684686207541,0.0,1.0,1.0,GBP,4,17315.5409198603,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Stop loss hit,6.0,0
T000192,SPGI,2024-05-09,427.1142318843399,2024-10-24,488.24523640962,20.624814779668654,LONG,410.30312939560946,410.30312939560946,,1254.8156456289885,14.24445459320321,1254.8156456289885,0.0,1.0,1.0,GBP,168,16913.17245123955,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000193,SPGI,2024-11-14,506.5117936478599,2024-12-13,501.53583601611,16.769467070521184,LONG,484.359496797459,484.359496797459,,-89.44415764993865,-1.0530358467434802,-89.44415764993865,0.0,1.0,1.0,GBP,29,18167.98809686854,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000194,SPGI,2025-01-17,498.67460230587994,2025-03-04,513.42776634195,17.22682135882351,LONG,477.20856061968914,477.20856061968914,,248.15012132679882,2.888631160170057,248.15012132679882,0.0,1.0,1.0,GBP,46,18078.5439392186,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000195,SPGI,2025-04-02,511.63854194452995,2025-04-03,486.17728042563004,15.02452690308804,LONG,486.7560838478904,486.7560838478904,,-388.5434086772718,-5.054468421705556,-388.5434086772718,0.0,1.0,1.0,GBP,1,18326.6940605454,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Stop loss hit,6.0,0
T000196,SPGI,2025-05-02,504.31207074247993,2025-06-13,499.13539082414997,9.82931213617113,LONG,467.34542525764425,467.34542525764425,,-56.88320274631411,-1.1475234021786096,-56.88320274631411,0.0,1.0,1.0,GBP,42,17938.150651868127,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000197,SPGI,2025-11-28,499.3288299999999,2025-12-19,512.0874,17.079396075573417,LONG,477.91192541933657,477.91192541933657,,211.90867038793004,2.484789336580147,211.90867038793004,0.0,1.0,1.0,GBP,21,17881.267449121813,0.0,0.0,0,,AlphaTrend signal + Volume aligned,End of backtest period,6.0,0
