symbol,n_rows,first_fiscal_date,last_fiscal_date
TECK,121,1996-03-31,2026-03-31
TFC,121,1996-03-31,2026-03-31
TGLS,58,2011-12-31,2026-03-31
TGT,118,1997-01-31,2026-04-30
TGTX,112,1998-03-31,2026-03-31
TJX,122,1996-01-31,2026-04-30
TM,89,2004-03-31,2026-03-31
TMHC,64,2010-06-30,2026-03-31
TMO,121,1996-03-31,2026-03-31
TNC,113,1998-03-31,2026-03-31
TNGX,25,2020-03-31,2026-03-31
TOL,122,1996-01-31,2026-04-30
TPR,103,2000-09-30,2026-03-31
TREX,108,1999-06-30,2026-03-31
TRN,121,1996-03-31,2026-03-31
TSCO,121,1996-03-31,2026-03-31
TSLA,74,2007-03-31,2026-03-31
TSM,112,1997-12-31,2026-03-31
TT,121,1996-03-31,2026-03-31
TTC,120,1996-04-30,2026-01-31
TTE,102,1996-12-31,2026-03-31
TWI,121,1996-03-31,2026-03-31
TWLO,49,2014-03-31,2026-03-31
TXN,121,1996-03-31,2026-03-31
TXRH,87,2004-09-30,2026-03-31
TXT,99,2001-09-30,2026-03-31
U,29,2019-03-31,2026-03-31
UAN,67,2008-12-31,2026-03-31
UFPI,121,1996-03-31,2026-03-31
UGI,120,1996-03-31,2026-03-31
UL,102,1996-03-31,2025-12-31
ULTA,81,2006-01-31,2026-01-31
UMC,101,2001-03-31,2026-03-31
UNH,121,1996-03-31,2026-03-31
UNP,121,1996-03-31,2026-03-31
UPS,106,1999-12-31,2026-03-31
UPWK,40,2016-06-30,2026-03-31
URI,113,1998-03-31,2026-03-31
V,80,2006-06-30,2026-03-31
VERU,109,1996-12-31,2026-03-31
VERX,29,2019-03-31,2026-03-31
VIAV,121,1996-03-31,2026-03-31
VIR,33,2018-03-31,2026-03-31
VLO,121,1996-03-31,2026-03-31
VMC,121,1996-03-31,2026-03-31
VOD,110,1993-09-30,2026-03-31
VRTX,121,1996-03-31,2026-03-31
VST,85,2004-12-31,2026-03-31
VTOL,57,2012-03-31,2026-03-31
WAB,121,1996-03-31,2026-03-31
WAL,84,2005-06-30,2026-03-31
WCC,108,1999-06-30,2026-03-31
WDAY,62,2010-10-31,2026-04-30
WERN,121,1996-03-31,2026-03-31
WFC,121,1996-03-31,2026-03-31
WING,53,2013-03-31,2026-03-31
WLDN,81,2006-03-31,2026-03-31
WMS,57,2012-03-31,2026-03-31
WMT,121,1996-04-30,2026-04-30
WSBC,121,1996-03-31,2026-03-31
WTFC,116,1997-06-30,2026-03-31
XEL,121,1996-03-31,2026-03-31
XOM,121,1996-03-31,2026-03-31
XOMA,112,1998-03-31,2026-03-31
XPEL,77,2007-03-31,2026-03-31
YETI,42,2014-12-31,2026-03-31
ZION,118,1996-12-31,2026-03-31
ZM,33,2018-04-30,2026-04-30
ZS,43,2015-10-31,2026-04-30
ZTS,62,2010-12-31,2026-03-31
