column,count,n_missing,pct_missing,n_unique,kind,top,top_freq,min,max,mean,std,p25,median,p75,n_zero,n_negative
ebitda,35067,12019,25.53,26828,numeric,,,-436583000000.0,3363381000000.0,6690695750.568296,69095289116.94817,20938000.0,175431000.0,1119391500.0,0.0,5117.0
goodwill,29435,17651,37.49,17411,numeric,,,-207864493289.95,12508159052400.0,10352946474.452589,148451144575.53143,76501000.0,717484226.0,4590000000.0,2438.0,114.0
grossprofit,35554,11532,24.49,28480,numeric,,,-279552982680.0,4331032000000.0,12082281533.646936,102345664274.36525,74496250.0,384365000.0,1846000000.0,547.0,1115.0
incomebeforetax,35664,11422,24.26,26136,numeric,,,-1196674634000.0,2698024000000.0,4410963887.878803,51121262250.44633,5621000.0,91173000.0,691067500.0,186.0,7256.0
incometaxexpense,35521,11565,24.56,19190,numeric,,,-578388000000.0,751555656580.0,1192296707.9585917,15749890238.170788,1403000.0,20264000.0,164000000.0,299.0,5425.0
intangibleassets,30241,16845,35.77,21957,numeric,,,-752247000.0,8622735000000.0,12405439654.664614,148388027340.54617,32600000.0,285400000.0,2105000000.0,1667.0,13.0
intangibleassetsexcludinggoodwill,30241,16845,35.77,21957,numeric,,,-752247000.0,8622735000000.0,12405439654.664614,148388027340.54617,32600000.0,285400000.0,2105000000.0,1667.0,13.0
interestexpense,34609,12477,26.5,15053,numeric,,,-438000000.0,4761996598000.0,2246579124.6646585,49356254774.22311,3243150.0,22873000.0,119000000.0,894.0,11.0
interestincome,10886,36200,76.88,6044,numeric,,,0.0,1894127000000.0,7142166277.952844,85904837359.52458,3000000.0,25710500.0,150000000.0,33.0,0.0
inventory,32067,15019,31.9,24959,numeric,,,-128850292000000.0,77959206000000.0,-21356217374.243294,2193122194955.7998,48000000.0,389504000.0,1783135000.0,969.0,1213.0
longtermdebt,30123,16963,36.03,25419,numeric,,,0.0,29283645000000.0,80517525346.9906,1139207017657.3523,259594500.0,1912455000.0,9981500000.0,1389.0,0.0
longterminvestments,14449,32637,69.31,11960,numeric,,,0.0,77273304000000.0,354101117831.21674,3771392314086.06,78755000.0,1087600000.0,7058000000.0,427.0,0.0
netincome,35838,11248,23.89,25483,numeric,,,-1026820131000.0,2193276000000.0,3088114066.6427646,38456972783.820854,3797000.0,66552500.0,515485500.0,139.0,7479.0
netincomefromcontinuingoperations,33697,13389,28.44,19247,numeric,,,-1414039000000.0,2434211000000.0,2720298360.1486607,44463582618.458206,0.0,20456000.0,323000000.0,8166.0,5370.0
netinterestincome,13236,33850,71.89,8314,numeric,,,-259893000000.0,773463000000.0,2181533382.4895,28492772931.25757,-74245500.0,-9000000.0,1244015.25,44.0,9259.0
operatingcashflow,35238,11848,25.16,26568,numeric,,,-4336323000000.0,18322359000000.0,4803011899.591669,132753084171.01239,11081750.0,131450000.0,836000000.0,36.0,6499.0
operatingexpenses,35671,11415,24.24,26875,numeric,,,-1332223000000.0,2431974000000.0,6789037866.30817,65114201598.24381,51070000.0,205100000.0,1011000000.0,519.0,521.0
operatingincome,35701,11385,24.18,26280,numeric,,,-1024329584000.0,1899058000000.0,4386714401.951406,44637529784.36406,10065000.0,117717000.0,787000000.0,132.0,6443.0
othercurrentassets,34514,12572,26.7,26190,numeric,,,-34127378000000.0,139736086000000.0,352616235353.5775,5695766896449.678,30018250.0,209909500.0,1341000000.0,25.0,660.0
othercurrentliabilities,34860,12226,25.97,29782,numeric,,,-16781900000000.0,206916107000000.0,387097122670.133,7461524683861.975,68000000.0,504167500.0,3178250000.0,38.0,1266.0
othernoncurrentliabilities,22183,24903,52.89,18617,numeric,,,-97719000.0,12890871000000.0,23680383502.236713,344125133347.8945,49016500.0,352700000.0,2264000000.0,146.0,23.0
othernonoperatingincome,13553,33533,71.22,6459,numeric,,,-8463000000.0,13427000000.0,34184661.47841806,436214565.36510533,-599000.0,900000.0,12678000.0,230.0,4363.0
proceedsfromrepurchaseofequity,28953,18133,38.51,14195,numeric,,,-2086545366000.0,17788809021852.0,347456943.6131019,109147309075.13672,-187000000.0,-5000000.0,0.0,2246.0,20035.0
propertyplantequipment,29531,17555,37.28,27152,numeric,,,-3799000000.0,17153639000000.0,31156037107.194576,438017181105.22345,161380500.0,1066108000.0,8437600000.0,198.0,6.0
researchanddevelopment,26397,20689,43.94,10473,numeric,,,-8388138.0,2704704000000.0,1979781842.0339074,30989145812.437935,0.0,3550000.0,88000000.0,11886.0,1.0
retainedearnings,34516,12570,26.7,32564,numeric,,,-3293692000000.0,38877749143000.0,96528313659.86456,1101673503727.2546,0.0,1054559000.0,8669380000.0,202.0,8439.0
sellinggeneralandadministrative,34640,12446,26.43,22980,numeric,,,-108000000.0,8073993791000.0,6300599987.16118,83523880987.43616,26000000.0,100927000.0,581000000.0,1016.0,1.0
shortlongtermdebttotal,32753,14333,30.44,30030,numeric,,,0.0,66857601396000.0,238144247552.62543,2677019607481.6763,364500000.0,2199984000.0,11796000000.0,14.0,0.0
shorttermdebt,31849,15237,32.36,21765,numeric,,,-19207000000.0,569838013637420.0,135084306022.6567,3533190172184.93,18472000.0,181000000.0,1368000000.0,258.0,48.0
shortterminvestments,26044,21042,44.69,16817,numeric,,,-146521447000000.0,48452157000000.0,95276638802.47865,1995214607756.7827,6300000.0,198000000.0,1505130000.0,4190.0,214.0
stockbasedcompensation,30398,16688,35.44,13199,numeric,,,-2697033267000.0,1012371370420.0,-17729033.471275087,19337749856.8161,1740358.5,8000000.0,35781500.0,5.0,1900.0
totalassets,35234,11852,25.17,34375,numeric,,,-65425961.0,329935952908000.0,1145533114308.7622,13926844691586.943,1536966500.0,8193641500.0,42861000000.0,4.0,1.0
totalcurrentassets,35016,12070,25.63,32870,numeric,,,-538000000.0,183645813000000.0,447678691218.2558,6137075702379.356,508063000.0,2411506500.0,10860250000.0,36.0,1.0
totalcurrentliabilities,35118,11968,25.42,32284,numeric,,,-17614000000.0,239854264000000.0,521355724747.8872,8726810068760.482,249387500.0,1581020500.0,8881250000.0,8.0,5.0
totalliabilities,35189,11897,25.27,34115,numeric,,,-10930000000.0,313933692139000.0,1016516050420.4396,13143489493366.383,759098000.0,4951000000.0,28254000000.0,8.0,6.0
totalnoncurrentassets,34813,12273,26.07,33796,numeric,,,-47185000000.0,255882324918000.0,683608737700.408,9029714269817.35,740139000.0,4696300000.0,28789000000.0,16.0,91.0
totalnoncurrentliabilities,34572,12514,26.58,32761,numeric,,,-3682353999.0,281079884011000.0,255228354418.2907,3544503874928.66,303153000.0,2335930500.0,15421000000.0,44.0,30.0
totalrevenue,35627,11459,24.34,31130,numeric,,,-279552982680.0,13699782971000.0,40710973699.87131,428369449604.5545,206886500.0,1084278000.0,4862500000.0,423.0,37.0
totalshareholderequity,35201,11885,25.24,33476,numeric,,,-142670412901.0,40091988762000.0,122006977601.30902,1207651454142.951,480156000.0,2337097000.0,12898000000.0,1.0,1513.0
treasurystock,19051,28035,59.54,10511,numeric,,,-1e+18,57063000000.0,-158109486601592.0,1.2548415163649282e+16,-2209550000.0,-118386000.0,0.0,5200.0,13828.0
