column,count,n_missing,pct_missing,n_unique,kind,top,top_freq,min,max,mean,std,p25,median,p75,n_zero,n_negative
operatingmarginttm,503,0,0,393,numeric,,,-89.33,4592.41,8.93149841,204.8187489,0.04505,0.149,0.2945,10,76
returnonassetsttm,503,0,0,426,numeric,,,-0.817,0.527,0.037997018,0.102008223,0.01245,0.0424,0.0759,1,75
returnonequityttm,503,0,0,386,numeric,,,-77.4,2.321,-0.289167197,4.30235129,0.0269,0.117,0.227,14,100
revenuettm,503,0,0,496,numeric,,,0,5.0685E+13,2.31758E+11,2.54504E+12,1342878000,6097021000,26926999500,8,0
grossprofitttm,503,0,0,498,numeric,,,-1555000064,7.56508E+12,70043296186,5.39302E+11,605948500,2782055000,10611500000,6,13
dilutedepsttm,503,0,0,434,numeric,,,-64.2,134.8,4.761968191,10.65356979,0.535,3.06,6.86,1,103
quarterlyearningsgrowthyoy,503,0,0,405,numeric,,,-0.999,26.69,0.59754672,2.636163282,-0.145,0.073,0.3585,41,174
quarterlyrevenuegrowthyoy,503,0,0,316,numeric,,,-1,13.49,0.186882704,0.85148398,0.0205,0.083,0.168,8,91
analysttargetprice,501,2,0.4,489,numeric,,,1.3,1855.14,173.071022,232.743077,35.33,91.39,223.93,0,0
analystratingstrongbuy,485,18,3.58,14,numeric,,,0,14,2.540206186,2.449686259,1,2,4,113,0
analystratingbuy,485,18,3.58,38,numeric,,,0,48,8.595876289,8.008362333,3,7,12,26,0
analystratinghold,485,18,3.58,26,numeric,,,0,30,5.987628866,5.123662045,2,5,9,41,0
analystratingsell,485,18,3.58,5,numeric,,,0,4,0.404123711,0.750745845,0,0,1,342,0
analystratingstrongsell,485,18,3.58,6,numeric,,,0,5,0.395876289,0.715806995,0,0,1,344,0
trailingpe,400,103,20.48,385,numeric,,,0.0159,554.52,34.28587975,48.00874612,15.4925,22.545,33.6725,0,0
forwardpe,472,31,6.16,400,numeric,,,2.466,833.33,31.35843432,62.62295854,11.585,18.05,26.775,0,0
pricetosalesratiottm,498,5,0.99,473,numeric,,,0.0016,3643.65,17.08135422,177.9459203,1.2305,3.01,5.035,0,0
pricetobookratio,501,2,0.4,486,numeric,,,0.2,1743.27,17.24241118,116.9268809,1.664,3.264,7.39,0,0
evtorevenue,498,5,0.99,474,numeric,,,0.0631,3321.65,20.48413675,202.8431498,1.78975,3.5355,5.84,0,0
evtoebitda,443,60,11.93,417,numeric,,,-76.57,2349.95,37.12220767,158.9312045,9.69,14.21,22.605,0,24
beta,501,2,0.4,435,numeric,,,-1.344,3.442,0.975764471,0.543160798,0.591,0.97,1.295,0,8
52weekhigh,503,0,0,498,numeric,,,0,2060.08,176.7965268,234.3882737,37.87,92.13,224.185,4,0
52weeklow,503,0,0,491,numeric,,,0,917.39,99.91494632,130.2541633,19.655,55.01,122.21,4,0
50daymovingaverage,503,0,0,498,numeric,,,0.799,1714.51,142.1765249,192.2999383,29.405,77.58,173.685,0,0
200daymovingaverage,503,0,0,500,numeric,,,1.176,1339.05,136.9957793,178.1592633,28.43,77.02,170,0,0
sharesoutstanding,503,0,0,503,numeric,,,1251900,24221000000,756286611.1,1868532809,64897500,194291000,659189500,0,0
sharesfloat,503,0,0,502,numeric,,,0,23636318000,965320388.2,2779295946,57669000,167072000,619168000,1,0
percentinsiders,503,0,0,460,numeric,,,0,89.876,5.302823062,11.34326593,0.2455,1.092,4.706,15,0
percentinstitutions,503,0,0,502,numeric,,,0,127.011,80.16550696,26.76354462,72.776,87.073,96.4865,1,0
dividenddate,361,142,28.23,136,date,,,17/10/2008,04/01/2027,,,,,,,
exdividenddate,366,137,27.24,132,date,,,09/01/1992,21/08/2026,,,,,,,
