time,open,high,low,close,Volume,BUY,SELL,MFI Threshold,RSI Threshold,Adaptive Coeff,ParabolicSAR,Basis,Upper,Lower,candle_position,MA,EMA,CMF,Plot,ATR,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2022-07-15,18.35,20.7499,17.93,19.29,463898,,,47.91609785561809,53.80628189192794,1.1263321344118988,25.264139945083077,15.212500000000002,19.407291413169407,11.017708586830597,-1,10.560023500000002,13.33383569649528,-0.4162501396324368,-17.61750914759079,2.331768438939395,63.51480384096293,55.34181999208294,,,,
2022-07-18,19.59,20.1,19.01,19.72,253144,,,48.0828731590522,53.806281891927945,1.0454739843036727,24.976857146181416,15.520000000000001,20.074338590838394,10.965661409161608,-1,10.609623500000003,13.584273512318994,-0.39841619232019015,-19.86719541994841,2.2430706933008664,64.41778333520406,56.07727485079652,,,,
2022-07-19,19.31,20,18.501,19.46,154804,,,48.273539220517605,53.84727222067818,1.0041806423649389,24.695320003257788,15.653000000000002,20.49534282140368,10.810657178596326,-1,10.657923500000003,13.814694158894719,-0.4348473907216887,-23.278640724358567,2.1899227866365187,63.396106921426,56.825349057517435,,,,
2022-07-20,19.84,19.8851,17.51,17.62,274838,,,48.94906584735172,53.85534965505343,1.024782519757598,24.41941360319263,15.756000000000004,20.673106466205457,10.83889353379455,-1,10.696973500000002,13.963921838938063,-0.042030356070172206,-24.26281941747728,2.203149730448196,56.559476114744946,57.480568410188376,,,,
2022-07-21,18.13,18.68,17.14,18.46,155084,,,49.23923288706504,53.903365575274094,0.9895053799571428,24.14902533112878,15.911500000000004,20.96229904569559,10.860700954304416,-1,10.740123500000003,14.140238629567943,0.06083399934269951,-27.06217591411286,2.155781892559039,58.746657625927675,58.45850729069546,,,,
2022-07-22,18.47,20,17.57,19.87,173900,,,49.563773792391785,54.01557018108154,1.015999349970581,23.884044824506205,16.130000000000003,21.46101116112129,10.798988838878714,30,10.7906735,14.364935153898612,0.1007919708853381,-29.12222612509032,2.1753689002333934,62.18811656518667,59.48066396349852,,,,
2022-07-25,20,20.4571,17.6,18.44,248510,,,49.563773792391785,54.01557018108154,1.0642473842180316,23.62436392801608,16.356500000000004,21.67589949618373,11.037100503816278,-1,10.8337735,14.524741618451607,0.13675221549029493,-29.396803970901683,2.224063978788151,56.99506853342803,59.65044632027731,,,,
2022-07-26,18.02,20.315,16.99,19.77,174810,,,50.31018042629759,54.185776777350924,1.1320227297749426,23.369876649455758,16.633500000000005,22.05706810596119,11.20993189403882,-1,10.8835235,14.730438025571152,0.17505185825113204,-30.965226228815293,2.302702266017569,60.314382721256635,59.59908997468889,,,,
2022-07-27,19.47,20.19,18.71,18.75,175248,,,50.77565006879086,54.185776777350924,1.0732128124266864,23.120479116466644,16.879500000000004,22.217759922484078,11.54124007751593,-1,10.928023500000002,14.888067906921302,0.15886402178418887,-32.223634848677364,2.2439378184448855,56.69990425243417,59.40247017023501,,,,
2022-07-28,19.7,19.7,18.13,18.37,144753,,,50.96749955438338,54.185776777350924,1.0300511988830467,22.87606953413731,17.204500000000003,22.05216118865579,12.356838811344215,-1,10.970723500000002,15.024614263512623,0.17523641409465793,-33.88754550718899,2.1957994028416796,55.36866260374886,59.444596161852196,,,,
