date,symbol,eps,revenue_ttm,pe_ratio,accumulateddepreciationamortizationppe,beta,book_value,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,dividend_per_share,dividend_yield,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,forward_pe,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,peg_ratio,price_to_book,price_to_sales_ttm,profit_margin,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,trailing_pe,treasurystock,week_52_high,week_52_low
2013-12-31,SRE,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-02-27,,1.13,,pre-market,,,,,,,,,,,,,15.3061,,,,,,,,,,,,
2014-03-31,SRE,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-05-02,,1.03,,pre-market,,,,,,,,,,,,,8.4211,,,,,,,,,,,,
2014-06-30,SRE,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,,,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-08-07,,1.08,,pre-market,,,,,,,,,,,,,-4.4248,,,,,,,,,,,,
2014-09-30,SRE,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-11-04,,1.39,,pre-market,,,,,,,,,,,,,12.0968,,,,,,,,,,,,
2014-12-31,SRE,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-02-26,,1.23,,pre-market,,,,,,,,,,,,,13.8889,,,,,,,,,,,,
2015-03-31,SRE,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-05-05,,1.71,,pre-market,,,,,,,,,,,,,23.913,,,,,,,,,,,,
2015-06-30,SRE,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-08-04,,1.03,,pre-market,,,,,,,,,,,,,3.0,,,,,,,,,,,,
2015-09-30,SRE,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-11-03,,1.0,,pre-market,,,,,,,,,,,,,13.6364,,,,,,,,,,,,
2015-12-31,SRE,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-02-26,,1.47,,pre-market,,,,,,,,,,,,,11.3636,,,,,,,,,,,,
2016-03-31,SRE,,,,,,,,,,,,,,,,,,,,,,,,,-0.19,,,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-04,,1.47,,pre-market,,,,,,,,,,,,,-11.4458,,,,,,,,,,,,
