date,symbol,eps,revenue_ttm,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_book,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock,week_52_high,week_52_low
2025-09-30,PHVS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0755,,,-0.6755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-12,,-0.6,,pre-market,,,,,,,,,,,,,11.1769,,,,,,,,,,,
2025-12-28,PHVS,-3.42,0.0,,-2.8,5.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0755,,,-0.6755,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4.544,,,,,,,,0.0,,,2025-11-12,,-0.6,,pre-market,,,-0.321,-0.538,0.0,0.0,,,,,20.38,24.18,11.1769,,,,,,,,,,29.8,11.51
2025-12-28,PHVS,-3.42,0.0,,-2.8,5.66,,,,,,,,,,,,,,,None,None,None,,,,,,None,105152,,,,,0.0,0.0755,-37318504,-37213352,-0.6755,2025-09-30,,0.0,None,-37318504,-181469,,,None,None,2151385,,None,,,,,-37137035,-37137035,2101351,None,0.0,,39664499,-39664499,,,,,None,,,,,4.544,,,,,,,,0.0,,,2025-11-12,quarterly,-0.6,EUR,pre-market,29814908,,-0.321,-0.538,0.0,0.0,9849591,,,,20.38,24.18,11.1769,,,,,,,0,,,29.8,11.51
2025-12-28,PHVS,-3.42,0.0,,-2.8,5.66,,,,,,,,,,,,,,,None,None,None,,,,,,None,103032,,,,,0.0,0.0755,-40373097,-40270065,-0.6755,2025-06-30,,0.0,None,-45277904,202782,,,None,None,1000543,,None,,,,,-45480686,-45480686,962412,None,0.0,,40373097,-40373097,,,,,None,,,,,4.544,,,,,,,,0.0,,,2025-11-12,quarterly,-0.6,EUR,pre-market,29607908,,-0.321,-0.538,0.0,0.0,10765189,,,,20.38,24.18,11.1769,,,,,,,0,,,29.8,11.51
2025-12-28,PHVS,-3.42,0.0,,-2.8,5.66,,,,,,,,,,,,,,,None,97024,97024,,,,,,None,105301,,,,,0.0,0.0755,-42186311,-42081010,-0.6755,2025-03-31,,0.0,-97024,-46038156,302667,,,None,None,1196649,,None,,,,,-46340823,-46340823,1170693,None,0.0,,-42186311,42186311,,,,,None,,,,,4.544,,,,,,,,0.0,,,2025-11-12,quarterly,-0.6,EUR,pre-market,30914393,,-0.321,-0.538,0.0,0.0,11271918,,,,20.38,24.18,11.1769,,,,,,,0,,,29.8,11.51
2025-12-28,PHVS,-3.42,0.0,,-2.8,5.66,,,,,,,,,,,,,,,None,None,None,,,,,,None,None,,,,,0.0,0.0755,None,None,-0.6755,2024-12-31,,0.0,None,-33521747,None,,,None,None,None,,None,,,,,-34760940,-34760940,1294685,None,0.0,,45092034,-45092034,,,,,None,,,,,4.544,,,,,,,,0.0,,,2025-11-12,quarterly,-0.6,EUR,pre-market,31199929,,-0.321,-0.538,0.0,0.0,13892105,,,,20.38,24.18,11.1769,,,,,,,0,,,29.8,11.51
2025-12-28,PHVS,-3.42,0.0,,-2.8,5.66,,,,,,,,,,,,,,,None,None,None,,,,,,None,43572,,,,,0.0,0.0755,-37902273,-37858701,-0.6755,2024-09-30,,0.0,None,-41480667,230091,,,None,9135,1976199,,None,,,,,-41710758,-41710758,1967064,None,0.0,,37902273,-37902273,,,,,None,,,,,4.544,,,,,,,,0.0,,,2025-11-12,quarterly,-0.6,EUR,pre-market,25782650,,-0.321,-0.538,0.0,0.0,12119623,,,,20.38,24.18,11.1769,,,,,,,0,,,29.8,11.51
2025-12-28,PHVS,-3.42,0.0,,-2.8,5.66,,,,,,,,,,,,,,,None,69024,69024,,,,,,None,68677,,,,,0.0,0.0755,-34382001,-34313324,-0.6755,2024-06-30,,0.0,-69024,-29660450,70623,,,None,2596221,2114635,,None,,,,,-29731073,-29731073,4721551,None,0.0,,34382001,-34382001,,,,,None,,,,,4.544,,,,,,,,0.0,,,2025-11-12,quarterly,-0.6,EUR,pre-market,23067934,,-0.321,-0.538,0.0,0.0,11314067,,,,20.38,24.18,11.1769,,,,,,,0,,,29.8,11.51
2025-12-28,PHVS,-3.42,0.0,,-2.8,5.66,,,,,,,,,,,,,,,None,71004,71004,,,,,,None,66355,,,,,0.0,0.0755,-28311859,-28245504,-0.6755,2024-03-31,,0.0,-71004,-27733639,285117,,,None,5859.96,63921,,None,,,,,-28018756,-28018756,578220,None,0.0,,28311859,-28311859,,,,,None,,,,,4.544,,,,,,,,0.0,,,2025-11-12,quarterly,-0.6,EUR,pre-market,18513016,,-0.321,-0.538,0.0,0.0,9798843,,,,20.38,24.18,11.1769,,,,,,,0,,,29.8,11.51
2025-12-28,PHVS,-3.42,0.0,,-2.8,5.66,,,,,,,,,,,,,,,None,None,None,,,,,,None,None,,,,,0.0,0.0755,None,None,-0.6755,2023-12-31,,0.0,None,-31999953,None,,,None,None,None,,None,,,,,-32747650,-32747650,57103,None,0.0,,27180962,-27180962,,,,,None,,,,,4.544,,,,,,,,0.0,,,2025-11-12,quarterly,-0.6,EUR,pre-market,18612882,,-0.321,-0.538,0.0,0.0,8568080,,,,20.38,24.18,11.1769,,,,,,,0,,,29.8,11.51
