date,symbol,eps,revenue_ttm,pe_ratio,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,forward_pe,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,trailing_pe,treasurystock,week_52_high,week_52_low
2025-12-28,HOOD,2.4,4204000000.0,49.22,,2.433,9.53,,,,,,,,,,,,,,,None,77000000,77000000,,,,,,None,15000000,,,,,2.595,0.1,442000000,457000000,0.51,2025-06-30,49.75,,3878000000.0,912000000,442000000,56000000,,,None,None,None,,None,,,,,386000000,386000000,None,None,0.518,,473000000,440000000,,,,,None,,,,,12.4,25.27,,,,,,,,0.522,,,2025-10-29,quarterly,0.61,USD,post-market,214000000,,0.0518,0.278,1.0,4.75,132000000,,,,95.52,128.37,19.6078,,,,,,,989000000,,49.22,,153.86,29.66
2025-12-28,HOOD,2.4,4204000000.0,49.22,,2.433,9.53,,,,,,,,,,,,,,,None,134000000,134000000,,,,,,None,20000000,,,,,2.595,0.1,372000000,392000000,0.51,2025-03-31,49.75,,3878000000.0,793000000,371000000,35000000,,,None,None,None,,None,,,,,336000000,336000000,None,None,0.518,,421000000,372000000,,,,,None,,,,,12.4,25.27,,,,,,,,0.522,,,2025-10-29,quarterly,0.61,USD,post-market,214000000,,0.0518,0.278,1.0,4.75,78000000,,,,95.52,128.37,19.6078,,,,,,,927000000,,49.22,,153.86,29.66
2025-12-28,HOOD,2.4,4204000000.0,49.22,,2.433,9.53,,,,,,,,,,,,,,,None,144000000,144000000,,,,,,None,22000000,,,,,2.595,0.1,558000000,580000000,0.51,2024-12-31,49.75,,3878000000.0,870000000,558000000,-358000000,,,None,None,None,,None,,,,,916000000,916000000,None,None,0.518,,312000000,558000000,,,,,None,,,,,12.4,25.27,,,,,,,,0.522,,,2025-10-29,quarterly,0.61,USD,post-market,208000000,,0.0518,0.278,1.0,4.75,5000000,,,,95.52,128.37,19.6078,,,,,,,1014000000,,49.22,,153.86,29.66
2025-12-28,HOOD,2.4,4204000000.0,49.22,,2.433,9.53,,,,,,,,,,,,,,,None,121000000,121000000,,,,,,None,20000000,,,,,2.595,0.1,151000000,171000000,0.51,2024-09-30,49.75,,3878000000.0,516000000,153000000,3000000,,,None,None,None,,None,,,,,150000000,150000000,None,None,0.518,,365000000,151000000,,,,,None,,,,,12.4,25.27,,,,,,,,0.522,,,2025-10-29,quarterly,0.61,USD,post-market,205000000,,0.0518,0.278,1.0,4.75,82000000,,,,95.52,128.37,19.6078,,,,,,,637000000,,49.22,,153.86,29.66
2025-12-28,HOOD,2.4,4204000000.0,49.22,,2.433,9.53,,,,,,,,,,,,,,,None,123000000,123000000,,,,,,None,18000000,,,,,2.595,0.1,189000000,207000000,0.51,2024-06-30,49.75,,3878000000.0,559000000,191000000,3000000,,,None,None,None,,None,,,,,188000000,188000000,None,None,0.518,,370000000,189000000,,,,,None,,,,,12.4,25.27,,,,,,,,0.522,,,2025-10-29,quarterly,0.61,USD,post-market,209000000,,0.0518,0.278,1.0,4.75,79000000,,,,95.52,128.37,19.6078,,,,,,,682000000,,49.22,,153.86,29.66
2025-12-28,HOOD,2.4,4204000000.0,49.22,,2.433,9.53,,,,,,,,,,,,,,,None,116000000,116000000,,,,,,None,17000000,,,,,2.595,0.1,160000000,177000000,0.51,2024-03-31,49.75,,3878000000.0,502000000,162000000,5000000,,,None,None,None,,None,,,,,157000000,157000000,None,None,0.518,,342000000,160000000,,,,,None,,,,,12.4,25.27,,,,,,,,0.522,,,2025-10-29,quarterly,0.61,USD,post-market,196000000,,0.0518,0.278,1.0,4.75,65000000,,,,95.52,128.37,19.6078,,,,,,,618000000,,49.22,,153.86,29.66
2025-12-28,HOOD,2.4,4204000000.0,49.22,,2.433,9.53,,,,,,,,,,,,,,,None,103000000,103000000,,,,,,None,17000000,,,,,2.595,0.1,30000000,47000000,0.51,2023-12-31,49.75,,3878000000.0,368000000,29000000,-1000000,,,None,17000000,None,,None,,,,,30000000,30000000,None,None,0.518,,338000000,30000000,,,,,None,,,,,12.4,25.27,,,,,,,,0.522,,,2025-10-29,quarterly,0.61,USD,post-market,197000000,,0.0518,0.278,1.0,4.75,84000000,,,,95.52,128.37,19.6078,,,,,,,471000000,,49.22,,153.86,29.66
2025-12-28,HOOD,2.4,4204000000.0,49.22,,2.433,9.53,,,,,,,,,,,,,,,None,90000000,90000000,,,,,,None,19000000,,,,,2.595,0.1,-75000000,-56000000,0.51,2023-09-30,49.75,,3878000000.0,377000000,-75000000,10000000,,,None,6000000,None,,None,,,,,-85000000,-85000000,None,None,0.518,,450000000,-73000000,,,,,None,,,,,12.4,25.27,,,,,,,,0.522,,,2025-10-29,quarterly,0.61,USD,post-market,202000000,,0.0518,0.278,1.0,4.75,182000000,,,,95.52,128.37,19.6078,,,,,,,467000000,,49.22,,153.86,29.66
2025-12-28,HOOD,2.4,4204000000.0,49.22,,2.433,9.53,,,,,,,,,,,,,,,None,122000000,122000000,,,,,,None,15000000,,,,,2.595,0.1,20000000,35000000,0.51,2023-06-30,49.75,,3878000000.0,364000000,22000000,-3000000,,,None,5000000,None,,None,,,,,25000000,25000000,None,None,0.518,,344000000,20000000,,,,,2000000,,,,,12.4,25.27,,,,,,,,0.522,,,2025-10-29,quarterly,0.61,USD,post-market,207000000,,0.0518,0.278,1.0,4.75,105000000,,,,95.52,128.37,19.6078,,,,,,,486000000,,49.22,,153.86,29.66
2025-12-28,HOOD,2.4,4204000000.0,49.22,,2.433,9.53,,,,,,,,,,,,,,,None,114000000,114000000,,,,,,None,20000000,,,,,2.595,0.1,-501000000,-481000000,0.51,2023-03-31,49.75,,3878000000.0,327000000,-509000000,2000000,,,None,6000000,None,,None,,,,,-511000000,-511000000,None,None,0.518,,828000000,-501000000,,,,,None,,,,,12.4,25.27,,,,,,,,0.522,,,2025-10-29,quarterly,0.61,USD,post-market,199000000,,0.0518,0.278,1.0,4.75,590000000,,,,95.52,128.37,19.6078,,,,,,,441000000,,49.22,,153.86,29.66
2025-12-28,HOOD,2.4,4204000000.0,49.22,,2.433,9.53,,,,,,,,,,,,,,,None,155000000,155000000,,,,,,None,17000000,,,,,2.595,0.1,-180000000,-163000000,0.51,2022-12-31,49.75,,3878000000.0,225000000,-168000000,-2000000,,,None,6000000,None,,None,,,,,-166000000,-166000000,None,None,0.518,,405000000,-180000000,,,,,None,,,,,12.4,25.27,,,,,,,,0.522,,,2025-10-29,quarterly,0.61,USD,post-market,183000000,,0.0518,0.278,1.0,4.75,178000000,,,,95.52,128.37,19.6078,,,,,,,380000000,,49.22,,153.86,29.66
2025-12-28,HOOD,2.4,4204000000.0,49.22,,2.433,9.53,,,,,,,,,,,,,,,None,137000000,137000000,,,,,,None,15000000,,,,,2.595,0.1,-127000000,-112000000,0.51,2022-09-30,49.75,,3878000000.0,224000000,-174000000,1000000,,,None,6000000,None,,None,,,,,-175000000,-175000000,None,None,0.518,,351000000,-127000000,,,,,None,,,,,12.4,25.27,,,,,,,,0.522,,,2025-10-29,quarterly,0.61,USD,post-market,185000000,,0.0518,0.278,1.0,4.75,126000000,,,,95.52,128.37,19.6078,,,,,,,361000000,,49.22,,153.86,29.66
2025-12-28,HOOD,2.4,4204000000.0,49.22,,2.433,9.53,,,,,,,,,,,,,,,None,142000000,142000000,,,,,,None,17000000,,,,,2.595,0.1,-292000000,-275000000,0.51,2022-06-30,49.75,,3878000000.0,176000000,-294000000,1000000,,,None,2000000,None,,None,,,,,-295000000,-295000000,None,None,0.518,,468000000,-292000000,,,,,-2000000,,,,,12.4,25.27,,,,,,,,0.522,,,2025-10-29,quarterly,0.61,USD,post-market,245000000,,0.0518,0.278,1.0,4.75,162000000,,,,95.52,128.37,19.6078,,,,,,,318000000,,49.22,,153.86,29.66
2025-12-28,HOOD,2.4,4204000000.0,49.22,,2.433,9.53,,,,,,,,,,,,,,,None,146000000,146000000,,,,,,None,12000000,,,,,2.595,0.1,-379000000,-367000000,0.51,2022-03-31,49.75,,3878000000.0,153000000,-391000000,1000000,,,None,None,None,,None,,,,,-392000000,-392000000,None,None,0.518,,532000000,-379000000,,,,,None,,,,,12.4,25.27,,,,,,,,0.522,,,2025-10-29,quarterly,0.61,USD,post-market,268000000,,0.0518,0.278,1.0,4.75,202000000,,,,95.52,128.37,19.6078,,,,,,,299000000,,49.22,,153.86,29.66
2025-12-28,HOOD,2.4,4204000000.0,49.22,,2.433,9.53,,,,,,,,,,,,,,,None,133205000,133205000,,,,,,None,9761000,,,,,2.595,0.1,-483485000,-473724000,0.51,2021-12-31,49.75,,3878000000.0,229508000,-420309000,2958000,,,None,2799000,None,,None,,,,,-423267000,-423267000,None,None,0.518,,712993000,-483485000,,,,,None,,,,,12.4,25.27,,,,,,,,0.522,,,2025-10-29,quarterly,0.61,USD,post-market,280420000,,0.0518,0.278,1.0,4.75,357035000,,,,95.52,128.37,19.6078,,,,,,,362713000,,49.22,,153.86,29.66
2025-12-28,HOOD,2.4,4204000000.0,49.22,,2.433,9.53,,,,,,,,,,,,,,,None,139000000,139000000,,,,,,None,8000000,,,,,2.595,0.1,-1343000000,-1335000000,0.51,2021-09-30,49.75,,3878000000.0,226000000,-1367000000,-50000000,,,None,None,None,,None,,,,,-1317000000,-10661000,None,None,0.518,,1569000000,-1343000000,,,,,1955000,,,,,12.4,25.27,,,,,,,,0.522,,,2025-10-29,quarterly,0.61,USD,post-market,679000000,,0.0518,0.278,1.0,4.75,795000000,,,,95.52,128.37,19.6078,,,,,,,365000000,,49.22,,153.86,29.66
2025-12-28,HOOD,2.4,4204000000.0,49.22,,2.433,9.53,,,,,,,,,,,,,,,None,121000000,121000000,,,,,,None,5000000,,,,,2.595,0.1,64000000,69000000,0.51,2021-06-30,49.75,,3878000000.0,444000000,-464000000,38000000,,,None,None,None,,None,,,,,-502000000,57584000,None,None,0.518,,380000000,64000000,,,,,-710000,,,,,12.4,25.27,,,,,,,,0.522,,,2025-10-29,quarterly,0.61,USD,post-market,156000000,,0.0518,0.278,1.0,4.75,68000000,,,,95.52,128.37,19.6078,,,,,,,565000000,,49.22,,153.86,29.66
2025-12-28,HOOD,2.4,4204000000.0,49.22,,2.433,9.53,,,,,,,,,,,,,,,None,97000000,97000000,,,,,,None,4000000,,,,,2.595,0.1,58000000,62000000,0.51,2021-03-31,49.75,,3878000000.0,425000000,-1433000000,12000000,,,None,2799000,65296000,,None,,,,,-1445000000,-1444803000,62497000,None,0.518,,367000000,58000000,,,,,None,,,,,12.4,25.27,,,,,,,,0.522,,,2025-10-29,quarterly,0.61,USD,post-market,117000000,,0.0518,0.278,1.0,4.75,103000000,,,,95.52,128.37,19.6078,,,,,,,522000000,,49.22,,153.86,29.66
2025-12-28,HOOD,2.4,4204000000.0,49.22,,2.433,9.53,,,,,,,,,,,,,,,None,68678000,68678000,,,,,,None,3366000,,,,,2.595,0.1,65032000,68398000,0.51,2020-12-31,49.75,,3878000000.0,248864000,19294000,6266000,,,None,None,None,,None,,,,,13028000,13028000,None,None,0.518,,183832000,65032000,,,,,None,,,,,12.4,25.27,,,,,,,,0.522,,,2025-10-29,quarterly,0.61,USD,post-market,81963000,,0.0518,0.278,1.0,4.75,38907000,,,,95.52,128.37,19.6078,,,,,,,317542000,,49.22,,153.86,29.66
2025-12-28,HOOD,2.4,4204000000.0,49.22,,2.433,9.53,,,,,,,,,,,,,,,None,63621000,63621000,,,,,,None,2659000,,,,,2.595,0.1,54712000,57371000,0.51,2020-09-30,49.75,,3878000000.0,205909000,-10994000,-333000,,,None,None,None,,None,,,,,-10661000,-10661000,None,None,0.518,,151197000,54712000,,,,,None,,,,,12.4,25.27,,,,,,,,0.522,,,2025-10-29,quarterly,0.61,USD,post-market,55491000,,0.0518,0.278,1.0,4.75,27145000,,,,95.52,128.37,19.6078,,,,,,,269530000,,49.22,,153.86,29.66
2025-12-28,HOOD,2.4,4204000000.0,49.22,,2.433,9.53,,,,,,,,,,,,,,,None,55255000,55255000,,,,,,None,2185000,,,,,2.595,0.1,58025000,60210000,0.51,2020-06-30,49.75,,3878000000.0,188956000,58118000,534000,,,None,None,None,,None,,,,,57584000,-501665000,None,None,0.518,,130931000,58025000,,,,,None,,,,,12.4,25.27,,,,,,,,0.522,,,2025-10-29,quarterly,0.61,USD,post-market,44971000,,0.0518,0.278,1.0,4.75,20065000,,,,95.52,128.37,19.6078,,,,,,,244211000,,49.22,,153.86,29.66
2025-12-28,HOOD,2.4,4204000000.0,49.22,,2.433,9.53,,,,,,,,,,,,,,,None,43863000,43863000,,,,,,None,1728000,,,,,2.595,0.1,-51999000,-50271000,0.51,2020-03-31,49.75,,3878000000.0,83687000,-52588000,-86000,,,None,1504000,None,,None,,,,,-52502000,None,None,None,0.518,,135686000,-51999000,,,,,None,,,,,12.4,25.27,,,,,,,,0.522,,,2025-10-29,quarterly,0.61,USD,post-market,33205000,,0.0518,0.278,1.0,4.75,16962000,,,,95.52,128.37,19.6078,,,,,,,127550000,,49.22,,153.86,29.66
2025-12-28,HOOD,2.4,4204000000.0,49.22,,2.433,9.53,,,,,,,,,,,,,,,None,55579000,55579000,,,,,,None,None,,,,,2.595,0.1,None,-45340000,0.51,2019-12-31,49.75,,3878000000.0,16586000,-45495000,-853000,,,None,None,None,,None,,,,,-44642000,None,None,None,0.518,,61926000,-45340000,,,,,None,,,,,12.4,25.27,,,,,,,,0.522,,,2025-10-29,quarterly,0.61,None,post-market,None,,0.0518,0.278,1.0,4.75,None,,,,95.52,128.37,19.6078,,,,,,,72165000,,49.22,,153.86,29.66
2025-12-28,HOOD,2.4,4204000000.0,49.22,,2.433,9.53,,,,,,,,,,,,,,,None,49729000,49729000,,,,,,None,None,,,,,2.595,0.1,None,-38201000,0.51,2019-09-30,49.75,,3878000000.0,27751000,-38481000,-55000,,,None,None,None,,None,,,,,-38426000,None,None,None,0.518,,65952000,-38201000,,,,,None,,,,,12.4,25.27,,,,,,,,0.522,,,2025-10-29,quarterly,0.61,None,post-market,None,,0.0518,0.278,1.0,4.75,None,,,,95.52,128.37,19.6078,,,,,,,77480000,,49.22,,153.86,29.66
