date,symbol,eps,revenue_ttm,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock,week_52_high,week_52_low
2007-01-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.0,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-04-26,,-11.4,,pre-market,,,,,,,,,,,,,-538.4615,,,,,,,,,,,
2010-01-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-02-11,,0.59,,pre-market,,,,,,,,,,,,,126.9231,,,,,,,,,,,
2011-01-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,,,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-04-27,,2.41,,pre-market,,,,,,,,,,,,,75.9124,,,,,,,,,,,
2011-04-30,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.54,,,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-07-27,,0.01,,pre-market,,,,,,,,,,,,,-99.3548,,,,,,,,,,,
2011-07-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.96,,,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-10-26,,-1.5,,pre-market,,,,,,,,,,,,,-202.7397,,,,,,,,,,,
2012-01-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-04-18,,1.13,,pre-market,,,,,,,,,,,,,4.6296,,,,,,,,,,,
2012-04-30,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-07-30,,1.16,,pre-market,,,,,,,,,,,,,4.5045,,,,,,,,,,,
2012-07-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-10-29,,1.34,,pre-market,,,,,,,,,,,,,20.7207,,,,,,,,,,,
2013-01-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-04-29,,1.04,,pre-market,,,,,,,,,,,,,2.9703,,,,,,,,,,,
2013-04-30,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-07-29,,1.12,,pre-market,,,,,,,,,,,,,3.7037,,,,,,,,,,,
2013-07-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-10-28,,1.03,,pre-market,,,,,,,,,,,,,0.9804,,,,,,,,,,,
2014-01-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-04-28,,1.18,,pre-market,,,,,,,,,,,,,26.8817,,,,,,,,,,,
2014-04-30,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-07-29,,1.22,,pre-market,,,,,,,,,,,,,15.0943,,,,,,,,,,,
2014-07-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-10-27,,1.36,,post-market,,,,,,,,,,,,,18.2609,,,,,,,,,,,
2015-01-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-27,,1.5,,post-market,,,,,,,,,,,,,25.0,,,,,,,,,,,
2015-04-30,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-27,,1.32,,post-market,,,,,,,,,,,,,1.5385,,,,,,,,,,,
2015-07-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-10-26,,1.35,,post-market,,,,,,,,,,,,,1.5038,,,,,,,,,,,
2016-01-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-02-02,,1.31,,post-market,,,,,,,,,,,,,-0.7576,,,,,,,,,,,
2016-04-30,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-07-26,,0.67,,post-market,,,,,,,,,,,,,0.0,,,,,,,,,,,
2016-07-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-10-25,,0.64,,post-market,,,,,,,,,,,,,-3.0303,,,,,,,,,,,
2017-01-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-04-25,,0.6,,post-market,,,,,,,,,,,,,-3.2258,,,,,,,,,,,
2017-04-30,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-07-24,,0.58,,post-market,,,,,,,,,,,,,-1.6949,,,,,,,,,,,
2017-07-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-10-24,,0.52,,post-market,,,,,,,,,,,,,-8.7719,,,,,,,,,,,
2018-01-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-02-06,,0.58,,post-market,,,,,,,,,,,,,11.5385,,,,,,,,,,,
2018-04-30,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-24,,0.59,,post-market,,,,,,,,,,,,,9.2593,,,,,,,,,,,
2018-07-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-10-23,,0.47,,post-market,,,,,,,,,,,,,-9.6154,,,,,,,,,,,
2019-01-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-19,,0.44,,pre-market,,,,,,,,,,,,,-4.3478,,,,,,,,,,,
2019-04-30,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-01,,0.32,,post-market,,,,,,,,,,,,,-21.9512,,,,,,,,,,,
2019-07-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-08-06,,0.23,,post-market,,,,,,,,,,,,,-4.1667,,,,,,,,,,,
2019-10-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-07,,0.18,,post-market,,,,,,,,,,,,,-10.0,,,,,,,,,,,
2020-01-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-18,,0.18,,pre-market,,,,,,,,,,,,,-5.2632,,,,,,,,,,,
2020-04-30,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-07-30,,0.01,,post-market,,,,,,,,,,,,,-50.0,,,,,,,,,,,
2020-07-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0661,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-10-31,,-0.0661,,pre-market,,,,,,,,,,,,,-50.0,,,,,,,,,,,
2020-10-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19,,,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-09,,-0.32,,post-market,,,,,,,,,,,,,-146.1538,,,,,,,,,,,
2021-01-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-01,,-0.15,,post-market,,,,,,,,,,,,,6.25,,,,,,,,,,,
2021-04-30,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,-0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-06-02,,-0.16,,post-market,,,,,,,,,,,,,40.7407,,,,,,,,,,,
2021-07-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,-0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-09-01,,-0.23,,post-market,,,,,,,,,,,,,17.8571,,,,,,,,,,,
2021-10-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,-0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-01,,-0.23,,post-market,,,,,,,,,,,,,20.6897,,,,,,,,,,,
2022-01-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-02,,-0.07,,post-market,,,,,,,,,,,,,72.0,,,,,,,,,,,
2022-04-30,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,-0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-01,,-0.21,,post-market,,,,,,,,,,,,,27.5862,,,,,,,,,,,
2022-07-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,-0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-31,,-0.12,,post-market,,,,,,,,,,,,,50.0,,,,,,,,,,,
2022-10-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-07,,-0.11,,post-market,,,,,,,,,,,,,31.25,,,,,,,,,,,
2023-01-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,-0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-02,,-0.06,,post-market,,,,,,,,,,,,,72.7273,,,,,,,,,,,
2023-04-30,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-31,,-0.13,,post-market,,,,,,,,,,,,,23.5294,,,,,,,,,,,
2023-07-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-05,,-0.09,,post-market,,,,,,,,,,,,,47.0588,,,,,,,,,,,
2023-10-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-06,,-0.13,,post-market,,,,,,,,,,,,,27.7778,,,,,,,,,,,
2024-01-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,-0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-28,,-0.13,,post-market,,,,,,,,,,,,,53.5714,,,,,,,,,,,
