date,symbol,revenue_ttm,pe_ratio,accumulateddepreciationamortizationppe,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividend_yield,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,peg_ratio,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,stockbasedcompensation,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,trailing_pe,treasurystock,week_52_high,week_52_low
2026-04-16,EAI,0.0,6.05,,,,,,,,,,,,,,,,None,297294000,297294000,,,,,,None,120423000,,0.059,,,,0.0,0.0,170442000,290865000,0.0,2024-06-30,,0.0,311504000,127479000,32120000,,,None,579006000,None,,None,,,,,96184000,None,None,None,0.0,,140254000,171250000,,,,,None,,,,,0.0,,,,,,,,0.0,,,2025-10-31,quarterly,0.0,None,pre-market,None,,0.0,0.0,0.0,0.0,None,,,,20.83,20.81,,,,,,,,,608798000,,6.05,,21.59,19.15
2026-04-16,EAI,0.0,6.05,,,,,,,,,,,,,,,,None,350888000,350888000,,,,,,None,121662000,,0.059,,,,0.0,0.0,60676000,182338000,0.0,2024-03-31,,0.0,271157000,-42954000,-10674000,,,None,277743000,None,,None,,,,,-30462000,None,None,None,0.0,,337606000,-71099000,,,,,None,,,,,0.0,,,,,,,,0.0,,,2025-10-31,quarterly,0.0,None,pre-market,None,,0.0,0.0,0.0,0.0,None,,,,20.83,20.81,,,,,,,,,622045000,,6.05,,21.59,19.15
2026-04-16,EAI,0.0,6.05,,,,,,,,,,,,,,,,None,423636000,423636000,,,,,,None,121447000,,0.059,,,,0.0,0.0,202970000,324417000,0.0,2023-12-31,,0.0,192005000,11446000,-159891000,,,None,41988000,None,,None,,,,,173142000,None,None,None,0.0,,144213000,53600000,,,,,None,,,,,0.0,,,,,,,,0.0,,,2025-10-31,quarterly,0.0,None,pre-market,None,,0.0,0.0,0.0,0.0,None,,,,20.83,20.81,,,,,,,,,615641000,,6.05,,21.59,19.15
2026-04-16,EAI,0.0,6.05,,,,,,,,,,,,,,,,None,442795000,442795000,,,,,,None,120931000,,0.059,,,,0.0,0.0,246948000,367879000,0.0,2023-09-30,,0.0,388864000,129476000,30307000,,,None,264934000000,None,,None,,,,,99960000,None,None,None,0.0,,216367000,172707000,,,,,None,,,,,0.0,,,,,,,,0.0,,,2025-10-31,quarterly,0.0,USD,pre-market,None,,0.0,0.0,0.0,0.0,None,,,,20.83,20.81,,,,,,,,,831659000,,6.05,,21.59,19.15
2026-04-16,EAI,0.0,6.05,,,,,,,,,,,,,,,,None,353546000,353546000,,,,,,None,113652000,,0.059,,,,0.0,0.0,122283000,235935000,0.0,2023-06-30,,0.0,262801000,86888000,19940000,,,None,261349000000,None,,None,,,,,67954000,None,None,None,0.0,,135602000,122283000,,,,,None,,,,,0.0,,,,,,,,0.0,,,2025-10-31,quarterly,0.0,USD,pre-market,None,,0.0,0.0,0.0,0.0,None,,,,20.83,20.81,,,,,,,,,616347000,,6.05,,21.59,19.15
2026-04-16,EAI,0.0,6.05,,,,,,,,,,,,,,,,None,350420000,350420000,,,,,,None,113429000,,0.059,,,,0.0,0.0,103031000,216460000,0.0,2023-03-31,,0.0,232329000,69831000,10434000,,,None,245738000,None,,None,,,,,61026000,None,None,None,0.0,,124610000,103031000,,,,,None,,,,,0.0,,,,,,,,0.0,,,2025-10-31,quarterly,0.0,USD,pre-market,None,,0.0,0.0,0.0,0.0,None,,,,20.83,20.81,,,,,,,,,582749000,,6.05,,21.59,19.15
2026-04-16,EAI,0.0,6.05,,,,,,,,,,,,,,,,None,376747000,376747000,,,,,,None,107324000,,0.059,,,,0.0,0.0,211396000,318720000,0.0,2022-12-31,,0.0,176050000,10685000,-4178000,,,None,33196000,None,,None,,,,,16581000,None,None,None,0.0,,132169000,211396000,,,,,None,,,,,0.0,,,,,,,,0.0,,,2025-10-31,quarterly,0.0,USD,pre-market,None,,0.0,0.0,0.0,0.0,None,,,,20.83,20.81,,,,,,,,,552797000,,6.05,,21.59,19.15
2026-04-16,EAI,0.0,6.05,,,,,,,,,,,,,,,,None,503498000,503498000,,,,,,None,114499000,,0.059,,,,0.0,0.0,102590000,217089000,0.0,2022-09-30,,0.0,361004000,197564000,48217000,,,None,227460000,None,,None,,,,,150071000,None,None,None,0.0,,129601000,102590000,,,,,None,,,,,0.0,,,,,,,,0.0,,,2025-10-31,quarterly,0.0,USD,pre-market,None,,0.0,0.0,0.0,0.0,None,,,,20.83,20.81,,,,,,,,,864502000,,6.05,,21.59,19.15
2026-04-16,EAI,0.0,6.05,,,,,,,,,,,,,,,,None,454533000,454533000,,,,,,None,114637000,,0.059,,,,0.0,0.0,99802000,214439000,0.0,2022-06-30,,0.0,242406000,80850000,17740000,,,None,231613000,None,,None,,,,,63639000,None,None,None,0.0,,126944000,99802000,,,,,None,,,,,0.0,,,,,,,,0.0,,,2025-10-31,quarterly,0.0,USD,pre-market,None,,0.0,0.0,0.0,0.0,None,,,,20.83,20.81,,,,,,,,,696939000,,6.05,,21.59,19.15
2026-04-16,EAI,0.0,6.05,,,,,,,,,,,,,,,,None,315023000,315023000,,,,,,None,113505000,,0.059,,,,0.0,0.0,115534000,229039000,0.0,2022-03-31,,0.0,243933000,84684000,19117000,,,None,227622000000,None,,None,,,,,66954000,None,None,None,0.0,,129522000,115534000,,,,,None,,,,,0.0,,,,,,,,0.0,,,2025-10-31,quarterly,0.0,USD,pre-market,None,,0.0,0.0,0.0,0.0,None,,,,20.83,20.81,,,,,,,,,558956000,,6.05,,21.59,19.15
