date,symbol,eps,revenue_ttm,pe_ratio,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciationdepletionandamortization,dividend_per_share,dividend_yield,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,estimated_eps,fiscaldateending,forward_pe,goodwill,gross_profit_ttm,intangibleassets,intangibleassetsexcludinggoodwill,inventory,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,operating_margin_ttm,operatingcashflow,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,peg_ratio,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalshareholderequity,trailing_pe,treasurystock,week_52_high,week_52_low
2005-12-31,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-02-09,,1.04,,pre-market,,,,,,,,,,,2.9703,,,,,,,,,,,
2006-03-31,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-04-27,,1.33,,pre-market,,,,,,,,,,,22.0183,,,,,,,,,,,
2006-06-30,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-07-31,,1.28,,pre-market,,,,,,,,,,,12.2807,,,,,,,,,,,
2006-09-30,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-30,,1.24,,pre-market,,,,,,,,,,,5.9829,,,,,,,,,,,
2006-12-31,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-02-13,,1.36,,pre-market,,,,,,,,,,,15.2542,,,,,,,,,,,
2007-03-31,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-05-01,,1.41,,pre-market,,,,,,,,,,,10.1563,,,,,,,,,,,
2007-06-30,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-07-31,,1.72,,pre-market,,,,,,,,,,,28.3582,,,,,,,,,,,
2007-09-30,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-10-31,,1.52,,pre-market,,,,,,,,,,,9.3525,,,,,,,,,,,
2007-12-31,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-02-06,,1.6,,pre-market,,,,,,,,,,,11.8881,,,,,,,,,,,
2008-03-31,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-05-01,,1.52,,pre-market,,,,,,,,,,,2.7027,,,,,,,,,,,
2008-06-30,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.21,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-07-29,,1.3,,pre-market,,,,,,,,,,,-13.9073,,,,,,,,,,,
2008-09-30,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-10-29,,0.88,,pre-market,,,,,,,,,,,-1.1236,,,,,,,,,,,
2008-12-31,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-02-03,,0.19,,pre-market,,,,,,,,,,,35.7143,,,,,,,,,,,
2009-03-31,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.14,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-04-30,,0.2,,pre-market,,,,,,,,,,,-41.1765,,,,,,,,,,,
2009-06-30,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-07-30,,0.88,,pre-market,,,,,,,,,,,29.4118,,,,,,,,,,,
