date,symbol,eps,revenue_ttm,pe_ratio,accumulateddepreciationamortizationppe,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividend_per_share,dividend_yield,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,forward_pe,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,peg_ratio,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,trailing_pe,treasurystock,week_52_high,week_52_low
2025-12-28,GEV,6.17,37669999000.0,107.53,None,31.87,,None,7892000000,7892000000,,,,,,,,,3000000,276000000,None,28061000000,28061000000,5751000000,None,None,16436000000,None,None,1176000000,,1.0,0.0015,,,,-0.6,-0.22,-692000000,484000000,1.86,2025-06-30,52.63,4528000000,7416000000.0,4945000000,-864000000,-140000000,739000000,739000000,None,172000000,71000000,9038000000,None,None,None,None,2170000000,-633000000,-724000000,-101000000,None,0.0574,,5829000000,-884000000,1343000000,8151000000,None,5309000000,None,,,,,1.754,20.82,4.795,,,,,,,,0.0452,,5419000000,2025-10-22,quarterly,1.64,USD,pre-market,1008000000,2241000000,0.0243,0.167,0.118,137.36,4821000000,1059000000,0,None,527.04,603.36,-11.828,53078000000,34709000000,33761000000,43131000000,18366000000,9370000000,33006000000,8877000000,107.53,None,731.0,251.84
2025-12-28,GEV,6.17,37669999000.0,107.53,None,31.87,,None,7807000000,7807000000,,,,,,,,,3000000,279000000,None,28061000000,28061000000,5205000000,None,None,13978000000,None,None,1176000000,,1.0,0.0015,,,,-0.6,-0.22,-692000000,484000000,1.86,2025-03-31,52.63,4368000000,7416000000.0,4945000000,-864000000,-140000000,773000000,773000000,None,172000000,71000000,9156000000,None,None,None,None,2137000000,-633000000,-724000000,-101000000,None,0.0574,,5829000000,-884000000,2995000000,27472000000,None,5177000000,None,,,,,1.754,20.82,4.795,,,,,,,,0.0452,,5225000000,2025-10-22,quarterly,1.64,USD,pre-market,1008000000,1865000000,0.0243,0.167,0.118,137.36,4821000000,1013000000,0,None,527.04,603.36,-11.828,51559000000,33936000000,32677000000,41887000000,17623000000,9210000000,33006000000,8607000000,107.53,None,731.0,251.84
2025-12-28,GEV,6.17,37669999000.0,107.53,None,31.87,,562000000,8205000000,8205000000,,,,,,,,,3000000,278000000,None,28061000000,28061000000,4942000000,None,60000000,16795000000,None,None,1176000000,,1.0,0.0015,,,,-0.6,-0.22,-692000000,484000000,1.86,2024-12-31,52.63,4263000000,7416000000.0,4945000000,-864000000,-140000000,812000000,812000000,None,172000000,71000000,7818000000,None,None,258000000,None,2149000000,-633000000,-724000000,-101000000,None,0.0574,,5829000000,-884000000,1331000000,8478000000,None,2413000000,None,,,,,1.754,20.82,4.795,,,,,,,,0.0452,,5150000000,2025-10-22,quarterly,1.64,USD,pre-market,1008000000,1611000000,0.0243,0.167,0.118,137.36,4821000000,1043000000,223000000,None,527.04,603.36,-11.828,51485000000,34153000000,31685000000,40892000000,17331000000,9207000000,33006000000,9546000000,107.53,None,731.0,251.84
2025-12-28,GEV,6.17,37669999000.0,107.53,None,31.87,,None,7395000000,7395000000,,,,,,,,,3000000,275000000,None,28061000000,28061000000,5396000000,None,None,15818000000,None,None,1176000000,,1.0,0.0015,,,,-0.6,-0.22,-692000000,484000000,1.86,2024-09-30,52.63,4444000000,7416000000.0,4945000000,-864000000,-140000000,869000000,869000000,None,172000000,71000000,8266000000,None,None,None,None,2376000000,-633000000,-724000000,-101000000,None,0.0574,,5829000000,-884000000,551000000,8512000000,None,5046000000,None,,,,,1.754,20.82,4.795,,,,,,,,0.0452,,None,2025-10-22,quarterly,1.64,USD,pre-market,1008000000,1198000000,0.0243,0.167,0.118,137.36,4821000000,None,None,1001000000,527.04,603.36,-11.828,50853000000,32030000000,31233000000,40335000000,18823000000,9102000000,33006000000,9504000000,107.53,None,731.0,251.84
2025-12-28,GEV,6.17,37669999000.0,107.53,None,31.87,,None,5779000000,5779000000,,,,,,,,,3000000,278000000,None,28061000000,28061000000,4700000000,None,None,15134000000,None,None,1176000000,,1.0,0.0015,,,,-0.6,-0.22,-692000000,484000000,1.86,2024-06-30,52.63,4354000000,7416000000.0,4945000000,-864000000,-140000000,925000000,925000000,None,172000000,71000000,8109000000,None,None,None,None,2405000000,-633000000,-724000000,-101000000,None,0.0574,,5829000000,-884000000,463000000,7371000000,None,5040000000,None,,,,,1.754,20.82,4.795,,,,,,,,0.0452,,None,2025-10-22,quarterly,1.64,USD,pre-market,1008000000,1294000000,0.0243,0.167,0.118,137.36,4821000000,979000000,None,None,527.04,603.36,-11.828,48052000000,29485000000,29065000000,38003000000,18567000000,8938000000,33006000000,9067000000,107.53,None,731.0,251.84
2025-12-28,GEV,6.17,37669999000.0,107.53,None,31.87,,None,3255000000,3255000000,,,,,,,,,9659000000,272083576,None,28061000000,28061000000,4330000000,None,None,15675000000,None,None,1176000000,,1.0,0.0015,,,,-0.6,-0.22,-692000000,484000000,1.86,2024-03-31,52.63,4403000000,7416000000.0,4945000000,-864000000,-140000000,991000000,991000000,None,172000000,71000000,8859000000,None,None,None,None,3647000000,-633000000,-724000000,-101000000,None,0.0574,,5829000000,-884000000,1454000000,16776000000,None,4686000000,None,,,,,1.754,20.82,4.795,,,,,,,,0.0452,,None,2025-10-22,quarterly,1.64,USD,pre-market,1008000000,None,0.0243,0.167,0.118,137.36,4821000000,1021000000,None,None,527.04,603.36,-11.828,47872000000,29243000000,29516000000,37892000000,18629000000,8376000000,33006000000,8974000000,107.53,None,731.0,251.84
2025-12-28,GEV,6.17,37669999000.0,107.53,None,31.87,,525000000,1551000000,1551000000,,,,,,,,,None,272083576,None,28061000000,28061000000,4701000000,None,145000000,15969000000,None,None,1176000000,,1.0,0.0015,,,,-0.6,-0.22,-692000000,484000000,1.86,2023-12-31,52.63,4437000000,7416000000.0,4945000000,-864000000,-140000000,1042000000,1042000000,None,172000000,71000000,7199000000,None,None,294000000,None,2341000000,-633000000,-724000000,-101000000,None,0.0574,,5829000000,-884000000,2709000000,8609000000,None,5096000000,None,,,,,1.754,20.82,4.795,,,,,,,,0.0452,,None,2025-10-22,quarterly,1.64,USD,pre-market,1008000000,0,0.0243,0.167,0.118,137.36,4821000000,1157000000,338000000,None,527.04,603.36,-11.828,46121000000,27428000000,29306000000,37741000000,18693000000,8435000000,33006000000,7416000000,107.53,None,731.0,251.84
2025-12-28,GEV,6.17,37669999000.0,107.53,None,31.87,,None,None,None,,,,,,,,,None,272083576,None,28061000000,28061000000,None,None,None,None,None,None,1176000000,,1.0,0.0015,,,,-0.6,-0.22,-692000000,484000000,1.86,2023-09-30,52.63,None,7416000000.0,4945000000,-864000000,-140000000,None,None,None,172000000,71000000,None,None,None,None,None,None,-633000000,-724000000,-101000000,None,0.0574,,5829000000,-884000000,None,None,None,None,None,,,,,1.754,20.82,4.795,,,,,,,,0.0452,,None,2025-10-22,quarterly,1.64,USD,pre-market,1008000000,None,0.0243,0.167,0.118,137.36,4821000000,None,None,None,527.04,603.36,-11.828,None,None,None,None,None,None,33006000000,None,107.53,None,731.0,251.84
2025-12-28,GEV,6.17,37669999000.0,107.53,None,31.87,,None,None,None,,,,,,,,,None,272083576,None,28061000000,28061000000,None,None,None,None,None,None,1176000000,,1.0,0.0015,,,,-0.6,-0.22,-692000000,484000000,1.86,2023-06-30,52.63,None,7416000000.0,4945000000,-864000000,-140000000,None,None,None,172000000,71000000,None,None,None,None,None,None,-633000000,-724000000,-101000000,None,0.0574,,5829000000,-884000000,None,None,None,None,None,,,,,1.754,20.82,4.795,,,,,,,,0.0452,,None,2025-10-22,quarterly,1.64,USD,pre-market,1008000000,None,0.0243,0.167,0.118,137.36,4821000000,None,None,None,527.04,603.36,-11.828,None,None,None,None,None,None,33006000000,None,107.53,None,731.0,251.84
2025-12-28,GEV,6.17,37669999000.0,107.53,None,31.87,,None,-2067000000,-2067000000,,,,,,,,,None,274000000,None,28061000000,28061000000,None,None,None,None,None,None,1176000000,,1.0,0.0015,,,,-0.6,-0.22,-692000000,484000000,1.86,2023-03-31,52.63,None,7416000000.0,4945000000,-864000000,-140000000,None,None,None,172000000,71000000,None,None,None,None,None,None,-633000000,-724000000,-101000000,None,0.0574,,5829000000,-884000000,None,None,None,None,None,,,,,1.754,20.82,4.795,,,,,,,,0.0452,,None,2025-10-22,quarterly,1.64,USD,pre-market,1008000000,None,0.0243,0.167,0.118,137.36,4821000000,None,None,4134000000,527.04,603.36,-11.828,None,2067000000,None,None,-2067000000,None,33006000000,11607000000,107.53,None,731.0,251.84
