date,symbol,eps,revenue_ttm,pe_ratio,accumulateddepreciationamortizationppe,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividend_per_share,dividend_yield,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,stockbasedcompensation,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,trailing_pe,treasurystock,week_52_high,week_52_low
2026-04-16,TTAM,1.01,1664188000.0,16.23,None,5.61,,66588000,211750000,211750000,,,,,,,,,None,184494930,None,956261000,956261000,144681000,None,5387000,153723000,None,None,81731000,,0.0,0.0,,,,0.107,-0.2496,95640000,177371000,0.2496,2025-12-31,221562000,453049000.0,196156000,74557000,15336000,30167000,30167000,None,21083000,471000,226414000,None,None,390438000,None,None,59221000,59221000,-22126000,None,0.148,,101981000,94175000,18068000,39988000,None,330000,None,,,,,2.872,1.816,,,,,,,,0.111,,None,2026-04-01,quarterly,0.0,USD,pre-market,None,777749000,0.0968,0.208,0.041,9.08,85458000,462413000,16555000,None,15.76,16.74,,-100.0,1893875000,609955000,201224000,859809000,1283920000,658585000,1152417000,1034066000,16.23,None,19.42,11.73
2026-04-16,TTAM,1.01,1664188000.0,16.23,None,5.61,,68211000,195640000,195640000,,,,,,,,,994605000,184402038,None,956261000,956261000,134038000,None,6183000,136475000,None,None,81731000,,0.0,0.0,,,,0.107,-0.2496,95640000,177371000,0.2496,2025-09-30,221562000,453049000.0,196156000,74557000,15336000,28825000,28825000,None,21083000,471000,216215000,None,None,390084000,None,None,59221000,59221000,-22126000,None,0.148,,101981000,94175000,41634000,48282000,None,7008000,None,,,,,2.872,1.816,,,,,,,,0.111,,None,2026-04-01,quarterly,0.0,USD,pre-market,None,None,0.0968,0.208,0.041,9.08,85458000,464478000,17547000,None,15.76,16.74,,-100.0,1851400000,589964000,199867000,856795000,1261436000,656928000,1152417000,994605000,16.23,None,19.42,11.73
2026-04-16,TTAM,1.01,1664188000.0,16.23,None,5.61,,65974000,148770000,148770000,,,,,,,,,None,184362000,None,956261000,956261000,149719000,None,16455000,170192000,None,None,81731000,,0.0,0.0,,,,0.107,-0.2496,95640000,177371000,0.2496,2025-06-30,221562000,453049000.0,196156000,74557000,15336000,29045000,29045000,None,21083000,471000,219376000,None,None,389330000,None,None,59221000,59221000,-22126000,None,0.148,,101981000,94175000,10118000,32705000,None,6635000,None,,,,,2.872,1.816,,,,,,,,0.111,,None,2026-04-01,quarterly,0.0,USD,pre-market,None,None,0.0968,0.208,0.041,9.08,85458000,471759000,28472000,142000,15.76,16.74,,-100.0,1791637000,548598000,210896000,847607000,1243039000,636711000,1152417000,944030000,16.23,None,19.42,11.73
2026-04-16,TTAM,1.01,1664188000.0,16.23,None,5.61,,65806000,143246000,143246000,,,,,,,,,1753625000,180262000,None,956261000,956261000,133699000,None,37014000,162438000,None,None,81731000,,0.0,0.0,,,,0.107,-0.2496,95640000,177371000,0.2496,2025-03-31,221562000,453049000.0,196156000,74557000,15336000,29748000,29748000,None,21083000,471000,220128000,None,None,359157000,None,None,59221000,59221000,-22126000,None,0.148,,101981000,94175000,12579000,43242000,None,5154000,None,,,,,2.872,1.816,,,,,,,,0.111,,None,2026-04-01,quarterly,0.0,USD,pre-market,None,597296000,0.0968,0.208,0.041,9.08,85458000,461977000,48991000,None,15.76,16.74,,-100.0,1724171000,538391000,233607000,807727000,1185780000,574120000,1152417000,916444000,16.23,None,19.42,11.73
2026-04-16,TTAM,1.01,1664188000.0,16.23,None,5.61,,68353000,12124000,12124000,,,,,,,,,None,184362465,None,956261000,956261000,139831000,None,33608000,48119000,None,None,81731000,,0.0,0.0,,,,0.107,-0.2496,95640000,177371000,0.2496,2024-12-31,221562000,453049000.0,196156000,74557000,15336000,30167000,30167000,None,21083000,471000,227638000,None,None,358222000,None,None,59221000,59221000,-22126000,None,0.148,,101981000,94175000,14308000,1318000,None,330000,None,,,,,2.872,1.816,,,,,,,,0.111,,None,2026-04-01,quarterly,0.0,USD,pre-market,None,597296000,0.0968,0.208,0.041,9.08,85458000,None,None,None,15.76,16.74,,-100.0,1566252000,384256000,239046000,816238000,1181996000,577192000,1152417000,750014000,16.23,None,19.42,11.73
2026-04-16,TTAM,1.01,1664188000.0,16.23,None,5.61,,69516000,12149000,12149000,,,,,,,,,25419000,184362233,None,956261000,956261000,124490000,None,141817000,129573000,None,None,81731000,,0.0,0.0,,,,0.107,-0.2496,95640000,177371000,0.2496,2024-09-30,221562000,453049000.0,196156000,74557000,15336000,30435000,30435000,None,21083000,471000,208463000,None,None,227858000,None,None,59221000,59221000,-22126000,None,0.148,,101981000,94175000,22315000,60522000,None,307000,None,,,,,2.872,1.816,,,,,,,,0.111,,None,2026-04-01,quarterly,0.0,USD,pre-market,None,560269000,0.0968,0.208,0.041,9.08,85458000,439191000,153718000,None,15.76,16.74,,-100.0,1547516000,372500000,341300000,784854000,1175016000,443554000,1152417000,762662000,16.23,None,19.42,11.73
2026-04-16,TTAM,1.01,1664188000.0,16.23,None,5.61,,None,None,None,,,,,,,,,None,184362465,None,956261000,956261000,None,None,None,None,None,None,81731000,,0.0,0.0,,,,0.107,-0.2496,95640000,177371000,0.2496,2024-06-30,None,453049000.0,196156000,74557000,15336000,None,None,None,21083000,471000,None,None,None,None,None,None,59221000,59221000,-22126000,None,0.148,,101981000,94175000,None,None,None,None,None,,,,,2.872,1.816,,,,,,,,0.111,,None,2026-04-01,quarterly,0.0,None,pre-market,None,None,0.0968,0.208,0.041,9.08,85458000,None,None,None,15.76,16.74,,-100.0,None,None,None,None,None,None,1152417000,None,16.23,None,19.42,11.73
2026-04-16,TTAM,1.01,1664188000.0,16.23,None,5.61,,None,22550000,22550000,,,,,,,,,None,184362465,None,956261000,956261000,None,None,None,None,None,None,81731000,,0.0,0.0,,,,0.107,-0.2496,95640000,177371000,0.2496,2024-03-31,None,453049000.0,196156000,74557000,15336000,None,None,None,21083000,471000,None,None,None,None,None,None,59221000,59221000,-22126000,None,0.148,,101981000,94175000,-22550000,None,None,None,None,,,,,2.872,1.816,,,,,,,,0.111,,None,2026-04-01,quarterly,0.0,None,pre-market,None,None,0.0968,0.208,0.041,9.08,85458000,None,None,None,15.76,16.74,,-100.0,None,None,None,-719771000,None,-719771000,1152417000,719771000,16.23,None,19.42,11.73
2026-04-16,TTAM,1.01,1664188000.0,16.23,None,5.61,,65481000,22036000,22036000,,,,,,,,,25219000,184362465,None,956261000,956261000,151229000,None,267670000,127381000,None,None,81731000,,0.0,0.0,,,,0.107,-0.2496,95640000,177371000,0.2496,2023-12-31,221562000,453049000.0,196156000,74557000,15336000,33213000,33213000,None,21083000,471000,189989000,None,None,76262000,None,None,59221000,59221000,-22126000,None,0.148,,101981000,94175000,33493000,52514000,None,114000,None,,,,,2.872,1.816,,,,,,,,0.111,,None,2026-04-01,quarterly,0.0,USD,pre-market,None,518621000,0.0968,0.208,0.041,9.08,85458000,409413000,279407000,None,15.76,16.74,,-100.0,1498803000,372899000,491974000,779032000,1125904000,287058000,1152417000,719771000,16.23,None,19.42,11.73
2026-04-16,TTAM,1.01,1664188000.0,16.23,None,5.61,,66588000,211750000,211750000,,,,,,,,,None,183463266,None,956261000,956261000,144681000,None,5387000,153723000,None,None,81731000,,0.0,0.0,,,,0.107,-0.2496,95640000,177371000,0.2496,2025-12-31,221562000,453049000.0,196156000,74557000,15336000,29020000,29020000,None,21083000,471000,226414000,None,None,390438000,None,None,59221000,59221000,-22126000,None,0.148,,101981000,94175000,18068000,39988000,None,330000,None,,,,,2.872,1.816,,,,,,,,0.111,,None,2026-04-01,annual,0.0,USD,pre-market,None,777749000,0.0968,0.208,0.041,9.08,85458000,462413000,16555000,None,15.76,16.74,,-100.0,1893875000,609955000,201224000,859809000,1283920000,658585000,1152417000,1034066000,16.23,None,19.42,11.73
