date,symbol,eps,revenue_ttm,pe_ratio,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividend_per_share,dividend_yield,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,forward_pe,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,stockbasedcompensation,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,trailing_pe,treasurystock,week_52_high,week_52_low
2025-09-30,NEXA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.074,,,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-30,,0.36,,pre-market,,,,,,,,,,,,,,25.8741,,,,,,,,,,,,
2025-12-31,NEXA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0984,,,0.5016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-26,,0.6,,pre-market,,,,,,,,,,,,,,19.6172,,,,,,,,,,,,
2026-04-16,NEXA,1.0,3002055000.0,11.94,,0.596,7.57,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0118,,,,0.0,0.0984,,,0.5016,,3.45,,702513000.0,,,,,,,,,,,,,,,,,,,0.239,,,,,,,,,,,,,1.597,0.527,,,,,,,,0.0442,,,2026-02-26,,0.6,,pre-market,,,0.0525,0.19,0.219,22.67,,,,,7.71,11.46,,19.6172,,,,,,,,,11.94,,14.94,4.438
2026-04-16,NEXA,1.0,3002055000.0,11.94,,0.596,7.57,,,,,,,,,,,,,,,None,691626000,691626000,,,,,,None,103298000,,0.0,0.0118,,,,0.0,0.0984,197812000,301110000,0.5016,2025-12-31,3.45,,702513000.0,204366000,98878000,17899000,,,None,87813000,3600000,,None,,,,,50354000,80979000,-90554000,None,0.239,,6554000,197812000,,,,,None,,,,,1.597,0.527,,,,,,,,0.0442,,,2026-02-26,quarterly,0.6,USD,pre-market,None,,0.0525,0.19,0.219,22.67,39242000,,,,7.71,11.46,,19.6172,,,,,,,895992000,,11.94,,14.94,4.438
2026-04-16,NEXA,1.0,3002055000.0,11.94,,0.596,7.57,,,,,,,,,,,,,,,None,626931000,626931000,,,,,,None,89906000,,0.0,0.0118,,,,0.0,0.0984,209262000,299168000,0.5016,2025-09-30,3.45,,702513000.0,124667000,138138000,37990000,,,None,71124000,3216000,,None,,,,,69340000,100148000,-70897000,None,0.239,,44160000,80507000,,,,,None,,,,,1.597,0.527,,,,,,,,0.0442,,,2026-02-26,quarterly,0.6,USD,pre-market,None,,0.0525,0.19,0.219,22.67,35693000,,,,7.71,11.46,,19.6172,,,,,,,751598000,,11.94,,14.94,4.438
2026-04-16,NEXA,1.0,3002055000.0,11.94,,0.596,7.57,,,,,,,,,,,,,,,None,575884000,575884000,,,,,,None,76567000,,0.0,0.0118,,,,0.0,0.0984,87154000,163721000,0.5016,2025-06-30,3.45,,702513000.0,132538000,36511000,23222000,,,None,66373000,2765000,,None,,,,,1083000,13289000,-67110000,None,0.239,,72607000,59931000,,,,,None,,,,,1.597,0.527,,,,,,,,0.0442,,,2026-02-26,quarterly,0.6,USD,pre-market,None,,0.0525,0.19,0.219,22.67,32151000,,,,7.71,11.46,,19.6172,,,,,,,708422000,,11.94,,14.94,4.438
2026-04-16,NEXA,1.0,3002055000.0,11.94,,0.596,7.57,,,,,,,,,,,,,,,None,500552000,500552000,,,,,,None,65809000,,0.0,0.0118,,,,0.0,0.0984,109177000,174986000,0.5016,2025-03-31,3.45,,702513000.0,126563000,58222000,29494000,,,None,48530000,3405000,,None,,,,,11849000,28728000,-45007000,None,0.239,,72603000,53960000,,,,,None,,,,,1.597,0.527,,,,,,,,0.0442,,,2026-02-26,quarterly,0.6,USD,pre-market,None,,0.0525,0.19,0.219,22.67,34519000,,,,7.71,11.46,,19.6172,,,,,,,627115000,,11.94,,14.94,4.438
2026-04-16,NEXA,1.0,3002055000.0,11.94,,0.596,7.57,,,,,,,,,,,,,,,None,597620000,597620000,,,,,,None,66323000,,0.0,0.0118,,,,0.0,0.0984,74886000,141209000,0.5016,2024-12-31,3.45,,702513000.0,143298000,-15175000,96220000,,,None,59747000,3226000,,None,,,,,-98501000,-111395000,-65799000,None,0.239,,21595000,121703000,,,,,None,,,,,1.597,0.527,,,,,,,,0.0442,,,2026-02-26,quarterly,0.6,USD,pre-market,None,,0.0525,0.19,0.219,22.67,29439000,,,,7.71,11.46,,19.6172,,,,,,,740918000,,11.94,,14.94,4.438
2026-04-16,NEXA,1.0,3002055000.0,11.94,,0.596,7.57,,,,,,,,,,,,,,,None,582896000,582896000,,,,,,None,94582000,,0.0,0.0118,,,,0.0,0.0984,91991000,186573000,0.5016,2024-09-30,3.45,,702513000.0,126580000,48743000,42760000,,,None,48690000,3698000,,None,,,,,-5152000,5983000,-52298000,None,0.239,,41819000,84761000,,,,,None,,,,,1.597,0.527,,,,,,,,0.0442,,,2026-02-26,quarterly,0.6,USD,pre-market,None,,0.0525,0.19,0.219,22.67,28631000,,,,7.71,11.46,,19.6172,,,,,,,709476000,,11.94,,14.94,4.438
2026-04-16,NEXA,1.0,3002055000.0,11.94,,0.596,7.57,,,,,,,,,,,,,,,None,566504000,566504000,,,,,,None,74291000,,0.0,0.0118,,,,0.0,0.0984,76890000,151181000,0.5016,2024-06-30,3.45,,702513000.0,169801000,-92988000,-23008000,,,None,52993000,3402000,,None,,,,,-77007000,-69272000,-54115000,None,0.239,,149666000,20135000,,,,,None,,,,,1.597,0.527,,,,,,,,0.0442,,,2026-02-26,quarterly,0.6,USD,pre-market,None,,0.0525,0.19,0.219,22.67,29199000,,,,7.71,11.46,,19.6172,,,,,,,736305000,,11.94,,14.94,4.438
