date,symbol,eps,revenue_ttm,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,peg_ratio,price_to_book,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,stockbasedcompensation,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock,week_52_high,week_52_low
2024-09-30,DYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2528,,,-0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-04,,-0.9628,,pre-market,,,,,,,,,,,,,,-35.6056,,,,,,,,,,,
2024-12-31,DYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032,,,-0.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03,,-0.88,,pre-market,,,,,,,,,,,,,,3.5088,,,,,,,,,,,
2025-03-31,DYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2136,,,-0.8364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-22,,-1.05,,pre-market,,,,,,,,,,,,,,-25.538,,,,,,,,,,,
2025-06-30,DYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03,,,-0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-28,,-0.97,,pre-market,,,,,,,,,,,,,,-3.1915,,,,,,,,,,,
2025-09-30,DYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,-0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-05,,-0.76,,pre-market,,,,,,,,,,,,,,9.5238,,,,,,,,,,,
2025-12-31,DYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0423,,,-0.7723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-26,,-0.73,,pre-market,,,,,,,,,,,,,,5.4771,,,,,,,,,,,
2026-04-16,DYN,-3.47,0.0,,1.285,5.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0423,,,-0.7723,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.19,3.171,,,,,,,,0.0,,,2026-02-26,,-0.73,,pre-market,,,-0.312,-0.557,0.0,0.0,,,,,15.86,17.27,,5.4771,,,,,,,,,,25.0,7.59
2026-04-16,DYN,-3.47,0.0,,1.285,5.89,,,,,,,,,,,,,,,None,521000,521000,,,,,,None,521000,,,,,0.0,0.0423,-101750000,-101229000,-0.7723,2025-12-31,,0.0,-521000,-111955000,None,,,None,3194000,7657000,,None,,,,,-111955000,-111955000,4463000,None,0.0,,115608000,-116129000,,,,,None,,,,,0.19,3.171,,,,,,,,0.0,,,2026-02-26,quarterly,-0.73,USD,pre-market,95431000,,-0.312,-0.557,0.0,0.0,20698000,,,,15.86,17.27,,5.4771,,,,,,,0,,,25.0,7.59
2026-04-16,DYN,-3.47,0.0,,1.285,5.89,,,,,,,,,,,,,,,None,None,None,,,,,,None,523000,,,,,0.0,0.0423,-105137000,-104614000,-0.7723,2025-09-30,,0.0,None,-108041000,None,,,None,2904000,8476000,,None,,,,,-108041000,-108041000,5572000,None,0.0,,113892000,-113892000,,,,,None,,,,,0.19,3.171,,,,,,,,0.0,,,2026-02-26,quarterly,-0.73,USD,pre-market,97219000,,-0.312,-0.557,0.0,0.0,16673000,,,,15.86,17.27,,5.4771,,,,,,,0,,,25.0,7.59
2026-04-16,DYN,-3.47,0.0,,1.285,5.89,,,,,,,,,,,,,,,None,500000,500000,,,,,,None,503000,,,,,0.0,0.0423,-110763000,-110260000,-0.7723,2025-06-30,,0.0,-500000,-110857000,None,,,None,94000,6625000,,None,,,,,-110857000,-110857000,6531000,None,0.0,,115791000,-115791000,,,,,None,,,,,0.19,3.171,,,,,,,,0.0,,,2026-02-26,quarterly,-0.73,USD,pre-market,99236000,,-0.312,-0.557,0.0,0.0,16555000,,,,15.86,17.27,,5.4771,,,,,,,0,,,25.0,7.59
