date,symbol,eps,revenue_ttm,pe_ratio,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,forward_pe,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,peg_ratio,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,trailing_pe,treasurystock,week_52_high,week_52_low
2012-06-30,LYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-08-07,,0.04,,pre-market,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2012-09-30,LYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-11-05,,0.31,,pre-market,,,,,,,,,,,,,10.7143,,,,,,,,,,,,
2012-12-31,LYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.49,,,-0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-02-26,,-0.85,,pre-market,,,,,,,,,,,,,-136.1111,,,,,,,,,,,,
2013-03-31,LYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,-0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-07,,-0.33,,pre-market,,,,,,,,,,,,,8.3333,,,,,,,,,,,,
2013-06-30,LYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-08-06,,0.3,,pre-market,,,,,,,,,,,,,200.0,,,,,,,,,,,,
2013-09-30,LYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-11-05,,0.4,,pre-market,,,,,,,,,,,,,14.2857,,,,,,,,,,,,
2013-12-31,LYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,,,-0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-02-24,,-0.42,,pre-market,,,,,,,,,,,,,-13.5135,,,,,,,,,,,,
2014-03-31,LYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,-0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-05-06,,-0.16,,pre-market,,,,,,,,,,,,,54.2857,,,,,,,,,,,,
2014-06-30,LYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-07-31,,0.11,,pre-market,,,,,,,,,,,,,-26.6667,,,,,,,,,,,,
2014-09-30,LYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-10-30,,0.49,,post-market,,,,,,,,,,,,,36.1111,,,,,,,,,,,,
2014-12-31,LYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-02-26,,-0.41,,post-market,,,,,,,,,,,,,-2.5,,,,,,,,,,,,
2015-03-31,LYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,-0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-30,,-0.31,,post-market,,,,,,,,,,,,,6.0606,,,,,,,,,,,,
2015-06-30,LYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-08-10,,0.06,,post-market,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2015-09-30,LYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-10-29,,0.38,,post-market,,,,,,,,,,,,,-11.6279,,,,,,,,,,,,
2015-12-31,LYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15,,,-0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-02-25,,-0.47,,post-market,,,,,,,,,,,,,-46.875,,,,,,,,,,,,
2016-03-31,LYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,-0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-03,,-0.29,,post-market,,,,,,,,,,,,,6.4516,,,,,,,,,,,,
2016-06-30,LYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-07-28,,0.13,,post-market,,,,,,,,,,,,,62.5,,,,,,,,,,,,
2016-09-30,LYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-11-07,,0.49,,post-market,,,,,,,,,,,,,2.0833,,,,,,,,,,,,
2016-12-31,LYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,-0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-02-23,,-0.57,,post-market,,,,,,,,,,,,,1.7241,,,,,,,,,,,,
2017-03-31,LYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,-0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-05-04,,-0.22,,post-market,,,,,,,,,,,,,33.3333,,,,,,,,,,,,
2017-06-30,LYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-09,,0.29,,post-market,,,,,,,,,,,,,52.6316,,,,,,,,,,,,
2017-09-30,LYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-02,,0.53,,post-market,,,,,,,,,,,,,-5.3571,,,,,,,,,,,,
2017-12-31,LYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.21,,,-1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-02-27,,-1.29,,post-market,,,,,,,,,,,,,-19.4444,,,,,,,,,,,,
2018-03-31,LYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,-0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-05-03,,-0.24,,post-market,,,,,,,,,,,,,17.2414,,,,,,,,,,,,
2018-06-30,LYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-26,,0.24,,post-market,,,,,,,,,,,,,26.3158,,,,,,,,,,,,
2018-09-30,LYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-11-01,,0.7,,post-market,,,,,,,,,,,,,11.1111,,,,,,,,,,,,
2018-12-31,LYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06,,,-0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-28,,-0.8,,post-market,,,,,,,,,,,,,-8.1081,,,,,,,,,,,,
2019-03-31,LYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,-0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-02,,-0.31,,post-market,,,,,,,,,,,,,8.8235,,,,,,,,,,,,
2019-06-30,LYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-07-25,,0.41,,post-market,,,,,,,,,,,,,2.5,,,,,,,,,,,,
2019-09-30,LYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-10-31,,0.71,,post-market,,,,,,,,,,,,,-7.7922,,,,,,,,,,,,
2019-12-31,LYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17,,,-0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-27,,-0.88,,post-market,,,,,,,,,,,,,-23.9437,,,,,,,,,,,,
2020-03-31,LYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,-0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05-07,,-0.94,,post-market,,,,,,,,,,,,,3.0928,,,,,,,,,,,,
2020-06-30,LYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.59,,,-2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-08-05,,-2.67,,post-market,,,,,,,,,,,,,-28.3654,,,,,,,,,,,,
2020-09-30,LYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.25,,,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-11-05,,-2.45,,post-market,,,,,,,,,,,,,-11.3636,,,,,,,,,,,,
2020-12-31,LYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-02-25,,-2.04,,post-market,,,,,,,,,,,,,11.3043,,,,,,,,,,,,
2021-03-31,LYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,-1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-05-06,,-1.44,,post-market,,,,,,,,,,,,,7.0968,,,,,,,,,,,,
