date,symbol,eps,revenue_ttm,pe_ratio,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividend_per_share,dividend_yield,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,trailing_pe,treasurystock,week_52_high,week_52_low
2022-03-31,TUYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,-0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-14,,-0.07,,post-market,,,,,,,,,,,,,22.2222,,,,,,,,,,,,
2022-06-30,TUYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-29,,-0.03,,post-market,,,,,,,,,,,,,62.5,,,,,,,,,,,,
2022-09-30,TUYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-09,,-0.03,,post-market,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2022-12-31,TUYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-01,,-0.01,,post-market,,,,,,,,,,,,,50.0,,,,,,,,,,,,
2023-03-31,TUYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-07,,-0.01,,post-market,,,,,,,,,,,,,50.0,,,,,,,,,,,,
2023-06-30,TUYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-23,,-0.03,,post-market,,,,,,,,,,,,,-200.0,,,,,,,,,,,,
2023-09-30,TUYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-28,,0.02,,post-market,,,,,,,,,,,,,300.0,,,,,,,,,,,,
2023-12-31,TUYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-27,,0.02,,post-market,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2024-03-31,TUYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-20,,0.02,,post-market,,,,,,,,,,,,,100.0,,,,,,,,,,,,
2024-06-30,TUYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-26,,0.04,,post-market,,,,,,,,,,,,,100.0,,,,,,,,,,,,
2024-09-30,TUYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-18,,0.04,,post-market,,,,,,,,,,,,,33.3333,,,,,,,,,,,,
2024-12-31,TUYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26,,0.04,,pre-market,,,,,,,,,,,,,33.3333,,,,,,,,,,,,
2025-03-31,TUYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-20,,0.03,,post-market,,,,,,,,,,,,,50.0,,,,,,,,,,,,
2025-06-30,TUYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-26,,0.03,,pre-market,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2025-09-30,TUYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-17,,0.03,,post-market,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2025-12-28,TUYA,0.08,319363000.0,27.62,,0.441,1.633,,,,,,,,,,,,,,,,,,,,,,,,,,0.115,0.0519,,,,2.579,0.0,,,0.03,,,154037000.0,,,,,,,,,,,,,,,,,,,0.046,,,,,,,,,,,,,1.347,4.215,,,,,,,,0.151,,,2025-11-17,,0.03,,post-market,,,-0.0002,0.0486,0.011,0.524,,,,,2.49,2.236,0.0,,,,,,,,,27.62,,4.462,1.513
2025-12-28,TUYA,0.08,319363000.0,27.62,,0.441,1.633,,,,,,,,,,,,,,,None,42741427,42741427,,,,,,None,None,,0.115,0.0519,,,,2.579,0.0,None,15253138,0.03,2025-09-30,,154037000.0,39854616,15233000,261000,,,None,None,11376000,,None,,,,,14972000,14972000,11376000,None,0.046,,39293876,540603,,,,,None,,,,,1.347,4.215,,,,,,,,0.151,,,2025-11-17,quarterly,0.03,USD,post-market,22805107,,-0.0002,0.0486,0.011,0.524,8474000,,,,2.49,2.236,0.0,,,,,,,82596044,,27.62,,4.462,1.513
2025-12-28,TUYA,0.08,319363000.0,27.62,,0.441,1.633,,,,,,,,,,,,,,,None,41384000,41384000,,,,,,None,None,,0.115,0.0519,,,,2.579,0.0,None,1088000,0.03,2025-06-30,,154037000.0,38882000,13222000,635000,,,None,None,10761000,,None,,,,,12631000,12587000,10761000,None,0.046,,37658000,1088000,,,,,None,,,,,1.347,4.215,,,,,,,,0.151,,,2025-11-17,quarterly,0.03,USD,post-market,22452000,,-0.0002,0.0486,0.011,0.524,9386000,,,,2.49,2.236,0.0,,,,,,,80130000,,27.62,,4.462,1.513
2025-12-28,TUYA,0.08,319363000.0,27.62,,0.441,1.633,,,,,,,,,,,,,,,None,38436000,38436000,,,,,,None,612250,,0.115,0.0519,,,,2.579,0.0,-3796250,-1452000,0.03,2025-03-31,,154037000.0,36251000,11754000,737000,,,None,None,12395000,,None,,,,,11017000,11017000,12395000,None,0.046,,37703000,-1452000,,,,,None,,,,,1.347,4.215,,,,,,,,0.151,,,2025-11-17,quarterly,0.03,USD,post-market,22810000,,-0.0002,0.0486,0.011,0.524,8929000,,,,2.49,2.236,0.0,,,,,,,74687000,,27.62,,4.462,1.513
2025-12-28,TUYA,0.08,319363000.0,27.62,,0.441,1.633,,,,,,,,,,,,,,,None,42821000,42821000,,,,,,None,612250,,0.115,0.0519,,,,2.579,0.0,-3796000,-3183750,0.03,2024-12-31,,154037000.0,39238000,10309000,524000,,,None,None,12180000,,None,,,,,9785000,9785000,12180000,None,0.046,,85855000,-3796000,,,,,None,,,,,1.347,4.215,,,,,,,,0.151,,,2025-11-17,quarterly,0.03,USD,post-market,23705000,,-0.0002,0.0486,0.011,0.524,22666000,,,,2.49,2.236,0.0,,,,,,,82059000,,27.62,,4.462,1.513
2025-12-28,TUYA,0.08,319363000.0,27.62,,0.441,1.633,,,,,,,,,,,,,,,None,44102000,44102000,,,,,,None,612250,,0.115,0.0519,,,,2.579,0.0,-17113000,-16500750,0.03,2024-09-30,,154037000.0,37515000,-4000000,373000,,,None,None,12985000,,None,,,,,-4373000,-4373000,12985000,None,0.046,,54628000,-17113000,,,,,None,,,,,1.347,4.215,,,,,,,,0.151,,,2025-11-17,quarterly,0.03,USD,post-market,24877000,,-0.0002,0.0486,0.011,0.524,22301000,,,,2.49,2.236,0.0,,,,,,,81617000,,27.62,,4.462,1.513
2025-12-28,TUYA,0.08,319363000.0,27.62,,0.441,1.633,,,,,,,,,,,,,,,None,38087000,38087000,,,,,,None,1324000,,0.115,0.0519,,,,2.579,0.0,3714263,-10344000,0.03,2024-06-30,,154037000.0,35192000,3720000,592000,,,None,None,12452000,,None,,,,,3128000,3128000,12452000,None,0.046,,45536000,-10344000,,,,,None,,,,,1.347,4.215,,,,,,,,0.151,,,2025-11-17,quarterly,0.03,USD,post-market,22993000,,-0.0002,0.0486,0.011,0.524,16861000,,,,2.49,2.236,0.0,,,,,,,73279000,,27.62,,4.462,1.513
2025-12-28,TUYA,0.08,319363000.0,27.62,,0.441,1.633,,,,,,,,,,,,,,,None,32177000,32177000,,,,,,None,612250,,0.115,0.0519,,,,2.579,0.0,-16367000,-15754750,0.03,2024-03-31,,154037000.0,29485000,-2887000,656000,,,None,None,12807000,,None,,,,,-3543000,-3543000,12807000,None,0.046,,45852000,-16367000,,,,,None,,,,,1.347,4.215,,,,,,,,0.151,,,2025-11-17,quarterly,0.03,USD,post-market,23474000,,-0.0002,0.0486,0.011,0.524,15474000,,,,2.49,2.236,0.0,,,,,,,61662000,,27.62,,4.462,1.513
2025-12-28,TUYA,0.08,319363000.0,27.62,,0.441,1.633,,,,,,,,,,,,,,,None,33948000,33948000,,,,,,None,612250,,0.115,0.0519,,,,2.579,0.0,-23624000,-23011750,0.03,2023-12-31,,154037000.0,30463000,-9694000,1122000,,,None,None,13211000,,None,,,,,-10816000,-10816000,13211000,None,0.046,,57497000,-27034000,,,,,None,,,,,1.347,4.215,,,,,,,,0.151,,,2025-11-17,quarterly,0.03,USD,post-market,22806000,,-0.0002,0.0486,0.011,0.524,23754000,,,,2.49,2.236,0.0,,,,,,,64411000,,27.62,,4.462,1.513
2025-12-28,TUYA,0.08,319363000.0,27.62,,0.441,1.633,,,,,,,,,,,,,,,None,32567000,32567000,,,,,,None,860750,,0.115,0.0519,,,,2.579,0.0,-18487000,-17626250,0.03,2023-09-30,,154037000.0,28523000,-4893000,12000,,,None,None,13066000,,None,,,,,-4905000,-4905000,13066000,None,0.046,,47010000,-18487000,,,,,None,,,,,1.347,4.215,,,,,,,,0.151,,,2025-11-17,quarterly,0.03,USD,post-market,24946000,,-0.0002,0.0486,0.011,0.524,15843000,,,,2.49,2.236,0.0,,,,,,,61090000,,27.62,,4.462,1.513
2025-12-28,TUYA,0.08,319363000.0,27.62,,0.441,1.633,,,,,,,,,,,,,,,None,30363000,30363000,,,,,,None,646500,,0.115,0.0519,,,,2.579,0.0,-31418000,-30771500,0.03,2023-06-30,,154037000.0,26641000,-22398000,1151000,,,None,None,7305000,,None,,,,,-23549000,-23549000,7305000,None,0.046,,58059000,-31418000,,,,,None,,,,,1.347,4.215,,,,,,,,0.151,,,2025-11-17,quarterly,0.03,USD,post-market,26474000,,-0.0002,0.0486,0.011,0.524,25893000,,,,2.49,2.236,0.0,,,,,,,57004000,,27.62,,4.462,1.513
2025-12-28,TUYA,0.08,319363000.0,27.62,,0.441,1.633,,,,,,,,,,,,,,,None,26457000,26457000,,,,,,None,860750,,0.115,0.0519,,,,2.579,0.0,-32295000,-31434250,0.03,2023-03-31,,154037000.0,21028000,-20081000,964000,,,None,7518000,11470000,,None,,,,,-21045000,-21045000,11470000,None,0.046,,53323000,-32295000,,,,,None,,,,,1.347,4.215,,,,,,,,0.151,,,2025-11-17,quarterly,0.03,USD,post-market,28051000,,-0.0002,0.0486,0.011,0.524,16793000,,,,2.49,2.236,0.0,,,,,,,47485000,,27.62,,4.462,1.513
2025-12-28,TUYA,0.08,319363000.0,27.62,,0.441,1.633,,,,,,,,,,,,,,,None,26457000,26457000,,,,,,None,860750,,0.115,0.0519,,,,2.579,0.0,-32295000,-31434250,0.03,2022-12-31,,154037000.0,21028000,-20081000,964000,,,None,12214000,10234000,,None,,,,,-21045000,-22730000,10234000,None,0.046,,53323000,-32295000,,,,,None,,,,,1.347,4.215,,,,,,,,0.151,,,2025-11-17,quarterly,0.03,USD,post-market,28051000,,-0.0002,0.0486,0.011,0.524,16793000,,,,2.49,2.236,0.0,,,,,,,47485000,,27.62,,4.462,1.513
2025-12-28,TUYA,0.08,319363000.0,27.62,,0.441,1.633,,,,,,,,,,,,,,,None,25368000,25368000,,,,,,None,842250,,0.115,0.0519,,,,2.579,0.0,-40414000,-39571750,0.03,2022-09-30,,154037000.0,19647000,-31856000,767000,,,None,6763000,6763000,,None,,,,,-32623000,-32623000,6763000,None,0.046,,60061000,-40414000,,,,,None,,,,,1.347,4.215,,,,,,,,0.151,,,2025-11-17,quarterly,0.03,USD,post-market,32341000,,-0.0002,0.0486,0.011,0.524,16172000,,,,2.49,2.236,0.0,,,,,,,45015000,,27.62,,4.462,1.513
2025-12-28,TUYA,0.08,319363000.0,27.62,,0.441,1.633,,,,,,,,,,,,,,,None,35777000,35777000,,,,,,None,981500,,0.115,0.0519,,,,2.579,0.0,-39460000,-38478500,0.03,2022-06-30,,154037000.0,26770000,-35711000,158000,,,None,1428000,1428000,,None,,,,,-35869000,-35869000,1428000,None,0.046,,66230000,-39460000,,,,,None,,,,,1.347,4.215,,,,,,,,0.151,,,2025-11-17,quarterly,0.03,USD,post-market,37221000,,-0.0002,0.0486,0.011,0.524,17130000,,,,2.49,2.236,0.0,,,,,,,62547000,,27.62,,4.462,1.513
2025-12-28,TUYA,0.08,319363000.0,27.62,,0.441,1.633,,,,,,,,,,,,,,,None,32504000,32504000,,,,,,None,842250,,0.115,0.0519,,,,2.579,0.0,-55482000,-54639750,0.03,2022-03-31,,154037000.0,22820000,-54809000,144000,,,None,1428000,121000,,None,,,,,-54953000,-54953000,121000,None,0.046,,78302000,-55482000,,,,,None,,,,,1.347,4.215,,,,,,,,0.151,,,2025-11-17,quarterly,0.03,USD,post-market,47588000,,-0.0002,0.0486,0.011,0.524,18030000,,,,2.49,2.236,0.0,,,,,,,55324000,,27.62,,4.462,1.513
2025-12-28,TUYA,0.08,319363000.0,27.62,,0.441,1.633,,,,,,,,,,,,,,,None,42616000,42616000,,,,,,None,842250,,0.115,0.0519,,,,2.579,0.0,-51556000,-50713750,0.03,2021-12-31,,154037000.0,32351000,-48709000,135000,,,None,673000,2619000,,None,,,,,-48844000,-48844000,2619000,None,0.046,,83907000,-51556000,,,,,None,,,,,1.347,4.215,,,,,,,,0.151,,,2025-11-17,quarterly,0.03,USD,post-market,46187000,,-0.0002,0.0486,0.011,0.524,21011000,,,,2.49,2.236,0.0,,,,,,,74967000,,27.62,,4.462,1.513
2025-12-28,TUYA,0.08,319363000.0,27.62,,0.441,1.633,,,,,,,,,,,,,,,None,49147000,49147000,,,,,,None,415500,,0.115,0.0519,,,,2.579,0.0,-49209000,-48793500,0.03,2021-09-30,,154037000.0,36431000,-47830000,87000,,,None,777000,777000,,None,,,,,-47917000,-47917000,777000,None,0.046,,85640000,-49209000,,,,,None,,,,,1.347,4.215,,,,,,,,0.151,,,2025-11-17,quarterly,0.03,USD,post-market,50736000,,-0.0002,0.0486,0.011,0.524,18224000,,,,2.49,2.236,0.0,,,,,,,85578000,,27.62,,4.462,1.513
2025-12-28,TUYA,0.08,319363000.0,27.62,,0.441,1.633,,,,,,,,,,,,,,,None,48961000,48961000,,,,,,None,812000,,0.115,0.0519,,,,2.579,0.0,-41518000,-40706000,0.03,2021-06-30,,154037000.0,35702000,-37888000,242000,,,None,777000,2795000,,None,,,,,-38130000,-38130000,2795000,None,0.046,,77220000,-41518000,,,,,None,,,,,1.347,4.215,,,,,,,,0.151,,,2025-11-17,quarterly,0.03,USD,post-market,42657000,,-0.0002,0.0486,0.011,0.524,16292000,,,,2.49,2.236,0.0,,,,,,,84663000,,27.62,,4.462,1.513
2025-12-28,TUYA,0.08,319363000.0,27.62,,0.441,1.633,,,,,,,,,,,,,,,None,33485000,33485000,,,,,,None,415500,,0.115,0.0519,,,,2.579,0.0,-41277000,-40861500,0.03,2021-03-31,,154037000.0,23383000,-40507000,26000,,,None,770000,1095000,,None,,,,,-40533000,-40533000,1095000,None,0.046,,64660000,-41277000,,,,,None,,,,,1.347,4.215,,,,,,,,0.151,,,2025-11-17,quarterly,0.03,USD,post-market,34709000,,-0.0002,0.0486,0.011,0.524,16062000,,,,2.49,2.236,0.0,,,,,,,56868000,,27.62,,4.462,1.513
2025-12-28,TUYA,0.08,319363000.0,27.62,,0.441,1.633,,,,,,,,,,,,,,,None,38895000,38895000,,,,,,None,512000,,0.115,0.0519,,,,2.579,0.0,-18705000,-18193000,0.03,2020-12-31,,154037000.0,24120000,-18364000,17000,,,None,341000,461000,,None,,,,,-18381000,-18381000,461000,None,0.046,,42825000,-18705000,,,,,None,,,,,1.347,4.215,,,,,,,,0.151,,,2025-11-17,quarterly,0.03,USD,post-market,25467000,,-0.0002,0.0486,0.011,0.524,6220000,,,,2.49,2.236,0.0,,,,,,,63015000,,27.62,,4.462,1.513
2025-12-28,TUYA,0.08,319363000.0,27.62,,0.441,1.633,,,,,,,,,,,,,,,None,38750000,38750000,,,,,,None,383333,,0.115,0.0519,,,,2.579,0.0,-13780000,-13396667,0.03,2020-09-30,,154037000.0,20330000,-13075000,75000,,,None,654000,654000,,None,,,,,-13150000,-13150000,654000,None,0.046,,34110000,-13780000,,,,,None,,,,,1.347,4.215,,,,,,,,0.151,,,2025-11-17,quarterly,0.03,USD,post-market,20052000,,-0.0002,0.0486,0.011,0.524,4393000,,,,2.49,2.236,0.0,,,,,,,59080000,,27.62,,4.462,1.513
2025-12-28,TUYA,0.08,319363000.0,27.62,,0.441,1.633,,,,,,,,,,,,,,,None,27085000,27085000,,,,,,None,189500,,0.115,0.0519,,,,2.579,0.0,-15578000,-15388500,0.03,2020-06-30,,154037000.0,11748000,-14666000,76000,,,None,912000,766000,,None,,,,,-14742000,-14742000,766000,None,0.046,,27326000,-15578000,,,,,None,,,,,1.347,4.215,,,,,,,,0.151,,,2025-11-17,quarterly,0.03,USD,post-market,16086000,,-0.0002,0.0486,0.011,0.524,3825000,,,,2.49,2.236,0.0,,,,,,,38833000,,27.62,,4.462,1.513
2025-12-28,TUYA,0.08,319363000.0,27.62,,0.441,1.633,,,,,,,,,,,,,,,None,13207000,13207000,,,,,,None,189500,,0.115,0.0519,,,,2.579,0.0,-21783000,-21593500,0.03,2020-03-31,,154037000.0,5739000,-20601000,38000,,,None,1182000,1192000,,None,,,,,-20639000,-20639000,1192000,None,0.046,,27522000,-21783000,,,,,None,,,,,1.347,4.215,,,,,,,,0.151,,,2025-11-17,quarterly,0.03,USD,post-market,15825000,,-0.0002,0.0486,0.011,0.524,3430000,,,,2.49,2.236,0.0,,,,,,,18946000,,27.62,,4.462,1.513
2025-12-28,TUYA,0.08,319363000.0,27.62,,0.441,1.633,,,,,,,,,,,,,,,None,24649000,24649000,,,,,,None,326000,,0.115,0.0519,,,,2.579,0.0,-25274000,-24948000,0.03,2019-12-31,,154037000.0,9584000,-24207000,12000,,,None,None,None,,None,,,,,-27649000,None,None,None,0.046,,34858000,-25274000,,,,,None,,,,,1.347,4.215,,,,,,,,0.151,,,2025-11-17,quarterly,0.03,USD,post-market,17155000,,-0.0002,0.0486,0.011,0.524,3919000,,,,2.49,2.236,0.0,,,,,,,34233000,,27.62,,4.462,1.513
2025-12-28,TUYA,0.08,319363000.0,27.62,,0.441,1.633,,,,,,,,,,,,,,,None,19500750,19500750,,,,,,None,849500,,0.115,0.0519,,,,2.579,0.0,-17588250,-16738750,0.03,2019-09-30,,154037000.0,6946500,-17588250,31000,,,None,None,None,,None,,,,,-17619250,None,None,None,0.046,,25304000,-18357500,,,,,None,,,,,1.347,4.215,,,,,,,,0.151,,,2025-11-17,quarterly,0.03,USD,post-market,13000750,,-0.0002,0.0486,0.011,0.524,3049000,,,,2.49,2.236,0.0,,,,,,,26447250,,27.62,,4.462,1.513
2025-12-28,TUYA,0.08,319363000.0,27.62,,0.441,1.633,,,,,,,,,,,,,,,None,19500750,19500750,,,,,,None,849500,,0.115,0.0519,,,,2.579,0.0,-17588250,-16738750,0.03,2019-06-30,,154037000.0,6946500,-17588250,31000,,,None,None,None,,None,,,,,-17619250,None,None,None,0.046,,25304000,-18357500,,,,,None,,,,,1.347,4.215,,,,,,,,0.151,,,2025-11-17,quarterly,0.03,USD,post-market,13000750,,-0.0002,0.0486,0.011,0.524,3049000,,,,2.49,2.236,0.0,,,,,,,26447250,,27.62,,4.462,1.513
