date,symbol,eps,revenue_ttm,pe_ratio,accumulateddepreciationamortizationppe,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,forward_pe,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,stockbasedcompensation,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,trailing_pe,treasurystock,week_52_high,week_52_low
2026-04-16,ECG,3.95,3746387000.0,33.13,,12.35,,,,,,,,,,,,,,,None,2510234000,2510234000,,,,,,None,25272000,,,,,0.602,0.31,194782000,220054000,0.77,2024-12-31,31.35,,454088000.0,339451000,192944000,49523000,,,None,14023000,14023000,,None,,,,,143421000,143421000,-14023000,None,0.0681,,149544000,189907000,,,,,None,,,,,10.56,1.783,,,,,,,,0.0539,,,2026-02-24,annual,1.08,USD,post-market,None,,0.11,0.383,0.332,73.39,30400000,,,,89.96,112.21,,40.2597,,,,,,,2849685000,,33.13,,137.64,35.2
2026-04-16,ECG,3.95,3746387000.0,33.13,,12.35,,,,,,,,,,,,,,,None,2532472000,2532472000,,,,,,None,23148000,,,,,0.602,0.31,184359000,207507000,0.77,2023-12-31,31.35,,454088000.0,321918000,182516000,45286000,,,None,27885000,16954000,,None,,,,,137230000,118783000,-27885000,None,0.0681,,131375000,190543000,,,,,None,,,,,10.56,1.783,,,,,,,,0.0539,,,2026-02-24,annual,1.08,USD,post-market,None,,0.11,0.383,0.332,73.39,27100000,,,,89.96,112.21,,40.2597,,,,,,,2854390000,,33.13,,137.64,35.2
2026-04-16,ECG,3.95,3746387000.0,33.13,,12.35,,,,,,,,,,,,,,,None,2423204000,2423204000,,,,,,None,21469000,,,,,0.602,0.31,166023000,187492000,0.77,2022-12-31,31.35,,454088000.0,276046000,165569000,40788000,,,None,6354000,6354000,,None,,,,,124781000,124781000,-6354000,None,0.0681,,111402000,164644000,,,,,None,,,,,10.56,1.783,,,,,,,,0.0539,,,2026-02-24,annual,1.08,USD,post-market,None,,0.11,0.383,0.332,73.39,21200000,,,,89.96,112.21,,40.2597,,,,,,,2699250000,,33.13,,137.64,35.2
2026-04-16,ECG,3.95,3746387000.0,33.13,,12.35,,,,,,,,,,,,,,,None,1803699000,1803699000,,,,,,None,20270000,,,,,0.602,0.31,147491000,167761000,0.77,2021-12-31,31.35,,454088000.0,247938000,144829000,35427000,,,None,3540000,None,,None,,,,,109402000,109402000,-3540000,None,0.0681,,102184000,145754000,,,,,None,,,,,10.56,1.783,,,,,,,,0.0539,,,2026-02-24,annual,1.08,USD,post-market,None,,0.11,0.383,0.332,73.39,18900000,,,,89.96,112.21,,40.2597,,,,,,,2051637000,,33.13,,137.64,35.2
2026-04-16,ECG,3.95,3746387000.0,33.13,None,12.35,,90539000,170500000,170500000,,,,,,,,,510000,51168000,None,1803699000,1803699000,226264000,None,15000000,769828000,None,None,20270000,,,,,0.602,0.31,147491000,167761000,0.77,2025-12-31,31.35,143224000,454088000.0,247938000,144829000,35427000,None,None,None,3540000,None,45271000,None,None,266549000,None,27082000,109402000,109402000,-3540000,None,0.0681,,102184000,145754000,310782000,454538000,None,24671000,None,,,,,10.56,1.783,,,,,,,,0.0539,,None,2026-02-24,quarterly,1.08,USD,post-market,None,485742000,0.11,0.383,0.332,73.39,18900000,105539000,48905000,None,89.96,112.21,,40.2597,1728731000,1296381000,736190000,1098913000,432350000,362723000,2051637000,629818000,33.13,None,137.64,35.2
2026-04-16,ECG,3.95,3746387000.0,33.13,None,12.35,,84509000,149167000,149167000,,,,,,,,,510000,51137000,None,1803699000,1803699000,213055000,None,15000000,994212000,None,None,20270000,,,,,0.602,0.31,147491000,167761000,0.77,2025-09-30,31.35,143224000,454088000.0,247938000,144829000,35427000,None,None,None,3540000,None,47957000,None,None,270074000,None,25740000,109402000,109402000,-3540000,None,0.0681,,102184000,145754000,24055000,421110000,None,22746000,None,,,,,10.56,1.783,,,,,,,,0.0539,,234968000,2026-02-24,quarterly,1.08,USD,post-market,None,430464000,0.11,0.383,0.332,73.39,18900000,99509000,45933000,None,89.96,112.21,,40.2597,1623736000,1215391000,691854000,1050690000,408345000,358836000,2051637000,573046000,33.13,None,137.64,35.2
2026-04-16,ECG,3.95,3746387000.0,33.13,None,12.35,,74409000,84708000,84708000,,,,,,,,,510000,51094000,None,1803699000,1803699000,199091000,None,15000000,927453000,None,None,20270000,,,,,0.602,0.31,147491000,167761000,0.77,2025-06-30,31.35,143224000,454088000.0,247938000,144829000,35427000,0,0,None,3540000,None,48052000,None,None,273599000,None,20375000,109402000,109402000,-3540000,None,0.0681,,102184000,145754000,28813000,130679000,None,22721000,None,,,,,10.56,1.783,,,,,,,,0.0539,,224151000,2026-02-24,quarterly,1.08,USD,post-market,None,373487000,0.11,0.383,0.332,73.39,18900000,363008000,43909000,None,89.96,112.21,,40.2597,1481377000,1089026000,614314000,966968000,392351000,352654000,2051637000,514409000,33.13,None,137.64,35.2
2026-04-16,ECG,3.95,3746387000.0,33.13,None,12.35,,68235000,54300000,54300000,,,,,,,,,510000,51091000,None,1803699000,1803699000,182335000,None,15000000,814719000,None,None,20270000,,,,,0.602,0.31,147491000,167761000,0.77,2025-03-31,31.35,143224000,454088000.0,247938000,144829000,35427000,0,0,None,3540000,None,47400000,None,None,277123000,None,23504000,109402000,109402000,-3540000,None,0.0681,,102184000,145754000,54548000,109763000,None,22904000,None,,,,,10.56,1.783,,,,,,,,0.0539,,213543000,2026-02-24,quarterly,1.08,USD,post-market,None,320644000,0.11,0.383,0.332,73.39,18900000,360358000,42762000,None,89.96,112.21,,40.2597,1355847000,970967000,545939000,895648000,384880000,349709000,2051637000,460199000,33.13,None,137.64,35.2
2026-04-16,ECG,3.95,3746387000.0,33.13,None,12.35,,67554000,86012000,86012000,,,,,,,,,510000,51075000,None,1803699000,1803699000,138097000,None,15000000,757077000,None,None,20270000,,,,,0.602,0.31,147491000,167761000,0.77,2024-12-31,31.35,143224000,454088000.0,247938000,144829000,35427000,116000,116000,None,3540000,None,43750000,None,None,280648000,None,21286000,109402000,109402000,-3540000,None,0.0681,,102184000,145754000,30390000,119847000,None,22472000,None,,,,,10.56,1.783,,,,,,,,0.0539,,201454000,2026-02-24,quarterly,1.08,USD,post-market,None,283972000,0.11,0.383,0.332,73.39,18900000,363202000,41354000,None,89.96,112.21,,40.2597,1288463000,917229000,513370000,865851000,371234000,352481000,2051637000,422612000,33.13,None,137.64,35.2
2026-04-16,ECG,3.95,3746387000.0,33.13,None,12.35,,69357000,553000,553000,,,,,,,,,1000,50972000,None,1803699000,1803699000,160873000,None,None,818503000,None,None,20270000,,,,,0.602,0.31,147491000,167761000,0.77,2024-09-30,31.35,143224000,454088000.0,247938000,144829000,35427000,466000,466000,None,3540000,None,46900000,None,None,214525000,None,17648000,109402000,109402000,-3540000,None,0.0681,,102184000,145754000,20576000,136910000,None,7691000,None,,,,,10.56,1.783,,,,,,,,0.0539,,198213000,2026-02-24,quarterly,1.08,USD,post-market,None,315355000,0.11,0.383,0.332,73.39,18900000,283882000,26110000,None,89.96,112.21,,40.2597,1279292000,886532000,559561000,825989000,392760000,266428000,2051637000,453303000,33.13,None,137.64,35.2
