date,symbol,eps,revenue_ttm,accumulateddepreciationamortizationppe,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,forward_pe,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,stockbasedcompensation,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock,week_52_high,week_52_low
2025-06-30,SNDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-14,,0.29,,post-market,,,,,,,,,,,,,,866.6667,,,,,,,,,,,
2025-09-30,SNDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-06,,1.22,,post-market,,,,,,,,,,,,,,37.0787,,,,,,,,,,,
2025-12-31,SNDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.66,,,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-29,,6.2,,post-market,,,,,,,,,,,,,,75.1412,,,,,,,,,,,
2026-04-16,SNDK,-8.38,8929000000.0,,69.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.18,2.66,,,3.54,,16.75,,3108000000.0,,,,,,,,,,,,,,,,,,,0.355,,,,,,,,,,,,,12.31,15.75,,,,,,,,-0.117,,,2026-01-29,,6.2,,post-market,,,0.0587,-0.0937,0.612,61.37,,,,,287.1,656.38,,75.1412,,,,,,,,,,965.0,28.94
2026-04-16,SNDK,-8.38,8929000000.0,,69.01,,,,,,,,,,,,,,,None,1484000000,1484000000,,,,,,None,38000000,,,,,6.18,2.66,962000000,1000000000,3.54,2025-12-31,16.75,,3108000000.0,1541000000,937000000,134000000,,,None,25000000,12000000,,None,,,,,803000000,803000000,-13000000,None,0.355,,476000000,1065000000,,,,,None,,,,,12.31,15.75,,,,,,,,-0.117,,,2026-01-29,quarterly,6.2,USD,post-market,327000000,,0.0587,-0.0937,0.612,61.37,139000000,,,,287.1,656.38,,75.1412,,,,,,,3025000000,,,965.0,28.94
2026-04-16,SNDK,-8.38,8929000000.0,,69.01,,,,,,,,,,,,,,,None,1621000000,1621000000,,,,,,None,36000000,,,,,6.18,2.66,164000000,200000000,3.54,2025-09-30,16.75,,3108000000.0,687000000,124000000,12000000,,,None,40000000,16000000,,None,,,,,112000000,112000000,-24000000,None,0.355,,511000000,176000000,,,,,None,,,,,12.31,15.75,,,,,,,,-0.117,,,2026-01-29,quarterly,6.2,USD,post-market,316000000,,0.0587,-0.0937,0.612,61.37,179000000,,,,287.1,656.38,,75.1412,,,,,,,2308000000,,,965.0,28.94
2026-04-16,SNDK,-8.38,8929000000.0,,69.01,,,,,,,,,,,,,,,None,1403000000,1403000000,,,,,,None,36000000,,,,,6.18,2.66,23000000,59000000,3.54,2025-06-30,16.75,,3108000000.0,498000000,-18000000,5000000,,,None,41000000,11000000,,None,,,,,-23000000,-23000000,-30000000,None,0.355,,480000000,18000000,,,,,None,,,,,12.31,15.75,,,,,,,,-0.117,,,2026-01-29,quarterly,6.2,USD,post-market,285000000,,0.0587,-0.0937,0.612,61.37,133000000,,,,287.1,656.38,,75.1412,,,,,,,1901000000,,,965.0,28.94
2026-04-16,SNDK,-8.38,8929000000.0,,69.01,,,,,,,,,,,,,,,None,1313000000,1313000000,,,,,,None,37000000,,,,,6.18,2.66,-1885000000,-1848000000,3.54,2025-03-31,16.75,,3108000000.0,382000000,-1901000000,32000000,,,None,16000000,6000000,,None,,,,,-1933000000,-1933000000,-10000000,None,0.355,,2263000000,-1881000000,,,,,None,,,,,12.31,15.75,,,,,,,,-0.117,,,2026-01-29,quarterly,6.2,USD,post-market,285000000,,0.0587,-0.0937,0.612,61.37,139000000,,,,287.1,656.38,,75.1412,,,,,,,1695000000,,,965.0,28.94
2026-04-16,SNDK,-8.38,8929000000.0,,69.01,,,,,,,,,,,,,,,None,1270000000,1270000000,,,,,,None,36000000,,,,,6.18,2.66,177000000,213000000,3.54,2024-12-31,16.75,,3108000000.0,606000000,173000000,69000000,,,None,4000000,2000000,,None,,,,,104000000,104000000,-2000000,None,0.355,,411000000,195000000,,,,,None,,,,,12.31,15.75,,,,,,,,-0.117,,,2026-01-29,quarterly,6.2,USD,post-market,279000000,,0.0587,-0.0937,0.612,61.37,142000000,,,,287.1,656.38,,75.1412,,,,,,,1876000000,,,965.0,28.94
2026-04-16,SNDK,-8.38,8929000000.0,,69.01,,,,,,,,,,,,,,,None,1157000000,1157000000,,,,,,None,54000000,,,,,6.18,2.66,269000000,323000000,3.54,2024-09-30,16.75,,3108000000.0,726000000,267000000,56000000,,,None,2000000,3000000,,None,,,,,211000000,211000000,1000000,None,0.355,,435000000,291000000,,,,,None,,,,,12.31,15.75,,,,,,,,-0.117,,,2026-01-29,quarterly,6.2,USD,post-market,283000000,,0.0587,-0.0937,0.612,61.37,130000000,,,,287.1,656.38,,75.1412,,,,,,,1883000000,,,965.0,28.94
2026-04-16,SNDK,-8.38,8929000000.0,,69.01,,,,,,,,,,,,,,,None,1157000000,1157000000,,,,,,None,54000000,,,,,6.18,2.66,269000000,323000000,3.54,2024-06-30,16.75,,3108000000.0,726000000,267000000,56000000,,,None,2000000,3000000,,None,,,,,211000000,120000000,-6000000,None,0.355,,435000000,291000000,,,,,None,,,,,12.31,15.75,,,,,,,,-0.117,,,2026-01-29,quarterly,6.2,USD,post-market,283000000,,0.0587,-0.0937,0.612,61.37,86000000,,,,287.1,656.38,,75.1412,,,,,,,1883000000,,,965.0,28.94
2026-04-16,SNDK,-8.38,8929000000.0,,69.01,,,,,,,,,,,,,,,None,1242000000,1242000000,,,,,,None,56000000,,,,,6.18,2.66,63000000,119000000,3.54,2024-03-31,16.75,,3108000000.0,463000000,54000000,27000000,,,None,9000000,3000000,,None,,,,,27000000,27000000,-6000000,None,0.355,,398000000,65000000,,,,,None,,,,,12.31,15.75,,,,,,,,-0.117,,,2026-01-29,quarterly,6.2,USD,post-market,277000000,,0.0587,-0.0937,0.612,61.37,107000000,,,,287.1,656.38,,75.1412,,,,,,,1705000000,,,965.0,28.94
2026-04-16,SNDK,-8.38,8929000000.0,,69.01,,,,,,,,,,,,,,,None,1504000000,1504000000,,,,,,None,114000000,,,,,6.18,2.66,-997000000,-249000000,3.54,2023-12-31,16.75,,3108000000.0,161000000,-260000000,41000000,,,None,11000000,None,,None,,,,,-301000000,None,None,None,0.355,,406000000,-245000000,,,,,None,,,,,12.31,15.75,,,,,,,,-0.117,,,2026-01-29,quarterly,6.2,None,post-market,246000000,,0.0587,-0.0937,0.612,61.37,424000000,,,,287.1,656.38,,75.1412,,,,,,,1665000000,,,965.0,28.94
2026-04-16,SNDK,-8.38,8929000000.0,,69.01,,,,,,,,,,,,,,,None,1721000000,1721000000,,,,,,None,57000000,,,,,6.18,2.66,-546000000,-489000000,3.54,2023-09-30,16.75,,3108000000.0,-188000000,-494000000,24000000,,,None,8000000,None,,None,,,,,-518000000,None,None,None,0.355,,299000000,-487000000,,,,,None,,,,,12.31,15.75,,,,,,,,-0.117,,,2026-01-29,quarterly,6.2,None,post-market,240000000,,0.0587,-0.0937,0.612,61.37,None,,,,287.1,656.38,,75.1412,,,,,,,1533000000,,,965.0,28.94
2026-04-16,SNDK,-8.38,8929000000.0,,69.01,,,,,,,,,,,,,,,None,5143000000,5143000000,,,,,,None,163000000,,,,,6.18,2.66,-1416000000,-1253000000,3.54,2025-06-30,16.75,,3108000000.0,2212000000,-1479000000,162000000,,,None,63000000,22000000,,None,,,,,-1641000000,-1641000000,-41000000,None,0.355,,3589000000,-1377000000,,,,,None,,,,,12.31,15.75,,,,,,,,-0.117,,,2026-01-29,annual,6.2,USD,post-market,1132000000,,0.0587,-0.0937,0.612,61.37,544000000,,,,287.1,656.38,,75.1412,,,,,,,7355000000,,,965.0,28.94
2026-04-16,SNDK,-8.38,8929000000.0,,69.01,,,,,,,,,,,,,,,None,5591000000,5591000000,,,,,,None,224000000,,,,,6.18,2.66,-463000000,-239000000,3.54,2024-06-30,16.75,,3108000000.0,1072000000,-503000000,169000000,,,None,40000000,12000000,,None,,,,,-672000000,-672000000,-28000000,None,0.355,,1540000000,-468000000,,,,,None,,,,,12.31,15.75,,,,,,,,-0.117,,,2026-01-29,annual,6.2,USD,post-market,1061000000,,0.0587,-0.0937,0.612,61.37,424000000,,,,287.1,656.38,,75.1412,,,,,,,6663000000,,,965.0,28.94
2026-04-16,SNDK,-8.38,8929000000.0,,69.01,,,,,,,,,,,,,,,None,5656000000,5656000000,,,,,,None,448000000,,,,,6.18,2.66,-1971000000,-1523000000,3.54,2023-06-30,16.75,,3108000000.0,430000000,-2002000000,141000000,,,None,31000000,21000000,,None,,,,,-2143000000,-2143000000,-10000000,None,0.355,,2465000000,-2035000000,,,,,None,,,,,12.31,15.75,,,,,,,,-0.117,,,2026-01-29,annual,6.2,USD,post-market,1167000000,,0.0587,-0.0937,0.612,61.37,523000000,,,,287.1,656.38,,75.1412,,,,,,,6086000000,,,965.0,28.94
2026-04-16,SNDK,-8.38,8929000000.0,,69.01,,,,,,,,,,,,,,,None,6510000000,6510000000,,,,,,None,525000000,,,,,6.18,2.66,1216000000,1741000000,3.54,2022-06-30,16.75,,3108000000.0,3244000000,1234000000,170000000,,,None,9000000,None,,None,,,,,1064000000,None,None,None,0.355,,2044000000,1200000000,,,,,None,,,,,12.31,15.75,,,,,,,,-0.117,,,2026-01-29,annual,6.2,None,post-market,1362000000,,0.0587,-0.0937,0.612,61.37,619000000,,,,287.1,656.38,,75.1412,,,,,,,9754000000,,,965.0,28.94
2026-04-16,SNDK,-8.38,8929000000.0,None,69.01,,186000000,1539000000,1539000000,,,,,,,,,1000000,156000000,None,6510000000,6510000000,436000000,None,20000000,1284000000,None,None,525000000,,,,,6.18,2.66,1216000000,1741000000,3.54,2025-12-31,16.75,4995000000,3108000000.0,3244000000,1234000000,170000000,None,None,None,9000000,None,1970000000,None,None,583000000,None,None,1064000000,None,None,None,0.355,,2044000000,1200000000,357000000,1099000000,None,72000000,None,,,,,12.31,15.75,,,,,,,,-0.117,,None,2026-01-29,quarterly,6.2,USD,post-market,1362000000,-869000000,0.0587,-0.0937,0.612,61.37,619000000,789000000,20000000,None,287.1,656.38,,75.1412,12998000000,5150000000,1654000000,2785000000,7848000000,1131000000,9754000000,10213000000,None,965.0,28.94
2026-04-16,SNDK,-8.38,8929000000.0,None,69.01,,188000000,1442000000,1442000000,,,,,,,,,1000000,149000000,None,6510000000,6510000000,398000000,None,20000000,1265000000,None,None,525000000,,,,,6.18,2.66,1216000000,1741000000,3.54,2025-09-30,16.75,4998000000,3108000000.0,3244000000,1234000000,170000000,None,None,None,9000000,None,1907000000,None,None,1331000000,None,None,1064000000,None,None,None,0.355,,2044000000,1200000000,370000000,1098000000,None,68000000,None,,,,,12.31,15.75,,,,,,,,-0.117,,None,2026-01-29,quarterly,6.2,USD,post-market,1362000000,-1672000000,0.0587,-0.0937,0.612,61.37,619000000,1539000000,20000000,None,287.1,656.38,,75.1412,12749000000,4984000000,1516000000,3368000000,7765000000,1852000000,9754000000,9381000000,None,965.0,28.94
2026-04-16,SNDK,-8.38,8929000000.0,None,69.01,,193000000,1481000000,1481000000,,,,,,,,,1000000,145000000,None,6510000000,6510000000,366000000,None,20000000,1134000000,None,None,525000000,,,,,6.18,2.66,1216000000,1741000000,3.54,2025-06-30,16.75,4999000000,3108000000.0,3244000000,1234000000,170000000,None,None,None,9000000,None,2079000000,None,None,1829000000,None,None,1064000000,None,None,None,0.355,,2044000000,1200000000,392000000,998000000,None,62000000,None,,,,,12.31,15.75,,,,,,,,-0.117,,None,2026-01-29,quarterly,6.2,USD,post-market,1362000000,-1784000000,0.0587,-0.0937,0.612,61.37,619000000,2042000000,20000000,None,287.1,656.38,,75.1412,12985000000,5086000000,1427000000,3769000000,7899000000,2342000000,9754000000,9216000000,None,965.0,28.94
2026-04-16,SNDK,-8.38,8929000000.0,None,69.01,,196000000,1507000000,1507000000,,,,,,,,,1000000,145000000,None,6510000000,6510000000,363000000,None,20000000,1032000000,None,None,525000000,,,,,6.18,2.66,1216000000,1741000000,3.54,2025-03-31,16.75,4997000000,3108000000.0,3244000000,1234000000,170000000,None,None,None,9000000,None,2160000000,None,None,1927000000,None,None,1064000000,None,None,None,0.355,,2044000000,1200000000,391000000,955000000,None,55000000,None,,,,,12.31,15.75,,,,,,,,-0.117,,None,2026-01-29,quarterly,6.2,USD,post-market,1362000000,-1761000000,0.0587,-0.0937,0.612,61.37,619000000,2143000000,20000000,None,287.1,656.38,,75.1412,12960000000,5090000000,1375000000,3799000000,7870000000,2424000000,9754000000,9161000000,None,965.0,28.94
2026-04-16,SNDK,-8.38,8929000000.0,None,69.01,,179000000,804000000,804000000,,,,,,,,,12435000000,144000000,None,6510000000,6510000000,320000000,None,553000000,912000000,None,None,525000000,,,,,6.18,2.66,1216000000,1741000000,3.54,2024-12-31,16.75,6825000000,3108000000.0,3244000000,1234000000,170000000,None,None,None,9000000,None,2172000000,None,None,None,None,None,1064000000,None,None,None,0.355,,2044000000,1200000000,568000000,995000000,None,62000000,None,,,,,12.31,15.75,,,,,,,,-0.117,,None,2026-01-29,quarterly,6.2,USD,post-market,1362000000,None,0.0587,-0.0937,0.612,61.37,619000000,732000000,553000000,None,287.1,656.38,,75.1412,14234000000,4456000000,1873000000,2233000000,9778000000,360000000,9754000000,12001000000,None,965.0,28.94
2026-04-16,SNDK,-8.38,8929000000.0,None,69.01,,None,322000000,322000000,,,,,,,,,12369000000,144000000,None,6510000000,6510000000,649000000,None,None,1037000000,None,None,525000000,,,,,6.18,2.66,1216000000,1741000000,3.54,2024-09-30,16.75,6932000000,3108000000.0,3244000000,1234000000,170000000,None,None,None,9000000,None,2069000000,None,None,None,None,None,1064000000,None,None,None,0.355,,2044000000,1200000000,960000000,518000000,None,None,None,,,,,12.31,15.75,,,,,,,,-0.117,,None,2026-01-29,quarterly,6.2,USD,post-market,1362000000,None,0.0587,-0.0937,0.612,61.37,619000000,475000000,305000000,None,287.1,656.38,,75.1412,13890000000,4388000000,1472000000,1764000000,9502000000,292000000,9754000000,12126000000,None,965.0,28.94
2026-04-16,SNDK,-8.38,8929000000.0,None,69.01,,171000000,328000000,328000000,,,,,,,,,11534000000,144000000,None,6510000000,6510000000,357000000,None,814000000,1044000000,None,None,525000000,,,,,6.18,2.66,1216000000,1741000000,3.54,2024-06-30,16.75,7207000000,3108000000.0,3244000000,1234000000,170000000,None,None,None,9000000,None,1955000000,None,None,None,None,None,1064000000,None,None,None,0.355,,2044000000,1200000000,221000000,932000000,None,59000000,None,,,,,12.31,15.75,,,,,,,,-0.117,,None,2026-01-29,quarterly,6.2,USD,post-market,1362000000,0,0.0587,-0.0937,0.612,61.37,619000000,985000000,814000000,None,287.1,656.38,,75.1412,13506000000,3548000000,2123000000,2424000000,9958000000,301000000,9754000000,11082000000,None,965.0,28.94
2026-04-16,SNDK,-8.38,8929000000.0,None,69.01,,None,None,None,,,,,,,,,None,145000000,None,6510000000,6510000000,None,None,None,None,None,None,525000000,,,,,6.18,2.66,1216000000,1741000000,3.54,2024-03-31,16.75,None,3108000000.0,3244000000,1234000000,170000000,None,None,None,9000000,None,None,None,None,None,None,None,1064000000,None,None,None,0.355,,2044000000,1200000000,None,None,None,None,None,,,,,12.31,15.75,,,,,,,,-0.117,,None,2026-01-29,quarterly,6.2,USD,post-market,1362000000,None,0.0587,-0.0937,0.612,61.37,619000000,None,None,None,287.1,656.38,,75.1412,None,None,None,None,None,None,9754000000,None,None,965.0,28.94
2026-04-16,SNDK,-8.38,8929000000.0,None,69.01,,None,None,None,,,,,,,,,None,144000000,None,6510000000,6510000000,None,None,None,None,None,None,525000000,,,,,6.18,2.66,1216000000,1741000000,3.54,2023-12-31,16.75,None,3108000000.0,3244000000,1234000000,170000000,None,None,None,9000000,None,None,None,None,None,None,None,1064000000,None,None,None,0.355,,2044000000,1200000000,None,None,None,None,None,,,,,12.31,15.75,,,,,,,,-0.117,,None,2026-01-29,quarterly,6.2,USD,post-market,1362000000,None,0.0587,-0.0937,0.612,61.37,619000000,None,None,None,287.1,656.38,,75.1412,None,None,None,None,None,None,9754000000,None,None,965.0,28.94
2026-04-16,SNDK,-8.38,8929000000.0,None,69.01,,None,292000000,292000000,,,,,,,,,None,144000000,None,6510000000,6510000000,None,None,None,None,None,None,525000000,,,,,6.18,2.66,1216000000,1741000000,3.54,2023-09-30,16.75,None,3108000000.0,3244000000,1234000000,170000000,None,None,None,9000000,None,None,None,None,None,None,None,1064000000,None,None,None,0.355,,2044000000,1200000000,-292000000,None,None,None,None,,,,,12.31,15.75,,,,,,,,-0.117,,None,2026-01-29,quarterly,6.2,USD,post-market,1362000000,None,0.0587,-0.0937,0.612,61.37,619000000,None,None,None,287.1,656.38,,75.1412,None,None,None,-11439000000,None,-11439000000,9754000000,11439000000,None,965.0,28.94
2026-04-16,SNDK,-8.38,8929000000.0,None,69.01,,None,292000000,292000000,,,,,,,,,11782000000,None,None,6510000000,6510000000,626000000,None,None,539000000,None,None,525000000,,,,,6.18,2.66,1216000000,1741000000,3.54,2023-06-30,16.75,7212000000,3108000000.0,3244000000,1234000000,170000000,None,None,None,9000000,None,2269000000,None,None,None,None,None,1064000000,None,None,None,0.355,,2044000000,1200000000,300000000,616000000,None,None,None,,,,,12.31,15.75,,,,,,,,-0.117,,None,2026-01-29,quarterly,6.2,USD,post-market,1362000000,None,0.0587,-0.0937,0.612,61.37,619000000,1020000000,932000000,None,287.1,656.38,,75.1412,13820000000,3400000000,2174000000,2381000000,10420000000,207000000,9754000000,11439000000,None,965.0,28.94
