date,symbol,eps,revenue_ttm,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,stockbasedcompensation,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock,week_52_high,week_52_low
2022-12-31,DNLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,-0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-27,,-0.75,,post-market,,,,,,,,,,,,,,5.0633,,,,,,,,,,,
2023-03-31,DNLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,-0.8,,post-market,,,,,,,,,,,,,,-14.2857,,,,,,,,,,,
2023-06-30,DNLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,,,-0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-08,,1.3,,post-market,,,,,,,,,,,,,,291.1765,,,,,,,,,,,
2023-09-30,DNLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-07,,-0.72,,post-market,,,,,,,,,,,,,,10.0,,,,,,,,,,,
2023-12-31,DNLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06,,,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-27,,-0.86,,pre-market,,,,,,,,,,,,,,-7.5,,,,,,,,,,,
2024-03-31,DNLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08,,,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-07,,-0.78,,post-market,,,,,,,,,,,,,,-11.4286,,,,,,,,,,,
2024-06-30,DNLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,-0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-01,,-0.59,,pre-market,,,,,,,,,,,,,,14.4928,,,,,,,,,,,
2024-09-30,DNLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,,,-0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-05,,-0.63,,pre-market,,,,,,,,,,,,,,-3.2787,,,,,,,,,,,
2024-12-31,DNLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1759,,,-0.8459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-25,,-0.67,,pre-market,,,,,,,,,,,,,,20.7944,,,,,,,,,,,
2025-03-31,DNLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0757,,,-0.7043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-05,,-0.78,,pre-market,,,,,,,,,,,,,,-10.7483,,,,,,,,,,,
