date,open,high,low,close,volume,adx_14_adx,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_7_sma
2026-02-13,11.14,11.24,10.29,10.77,7208797,18.2182,1.7043,10.7852,14.914,19.0428,15.1094,14.2783,,,,70.7884,-4.96,-31.5321,29.7887,18.306,15.5436,15.3786
2026-02-20,10.75,11.82,10.74,11.27,3548886,19.2229,1.6597,10.3141,14.7385,19.1629,14.5975,13.5262,,,,65.913,-4.65,-29.2085,32.5089,18.1456,15.3357,14.7343
2026-02-27,11.38,13.94,10.93,13.33,5628883,18.7535,1.7562,10.2431,14.7015,19.1599,14.4285,13.4771,,,,63.6329,-3.27,-19.6988,42.4088,17.9885,15.1857,14.13
2026-03-06,13.2,13.85,12.46,12.87,5217053,18.3175,1.73,10.1643,14.6675,19.1707,14.2207,13.3254,,,,62.7867,-3.51,-21.4286,40.9638,17.8345,14.9821,13.4371
2026-03-13,12.75,12.76,11.49,11.61,5603271,18.3687,1.705,9.894,14.57,19.246,13.8726,12.8965,,,,56.8827,-4.17,-26.4259,37.2226,17.6837,14.6879,12.5629
2026-03-20,11.61,12.14,10.47,10.66,9321383,18.8578,1.7025,9.5891,14.483,19.3769,13.4443,12.3374,-1.1746,-0.5162,-0.6583,49.7878,-6.9,-39.2938,34.6529,17.5358,14.3121,11.6586
2026-03-27,10.83,11.34,10.16,10.22,7375585,19.4422,1.6648,9.2213,14.3785,19.5357,13.0144,11.808,-1.3126,-0.5234,-0.7892,43.5875,-7.5,-42.3251,33.4994,17.3909,13.8564,11.5329
2026-04-02,10.09,11.89,10.05,11.48,8164392,19.5775,1.6771,8.9335,14.2435,19.5535,12.8098,11.726,-1.3053,-0.4129,-0.8924,45.3725,-6.25,-35.251,39.6906,17.1739,13.5064,11.6343
2026-04-10,11.51,12.13,10.34,10.43,6560091,19.5255,1.6848,8.4642,13.9935,19.5228,12.4925,11.402,-1.3685,-0.3809,-0.9876,46.0291,-6.56,-38.6109,36.6301,16.8891,13.1243,11.5143
2026-04-15,10.31,11.16,10.27,10.84,6677756,19.5169,1.628,8.1175,13.7498,19.382,12.2728,11.2628,-1.3693,-0.3053,-1.064,39.2548,-0.255,-2.2973,38.6438,16.6157,12.6446,11.1593
