date,open,high,low,close,volume,adx_14_adx,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_7_sma
2025-12-05,19.05,19.05,17.81,17.95,416409,,1.9425,16.4929,19.6645,22.8361,19.0441,18.5868,,,,27.4174,-1.57,-8.043,40.5898,22.032,19.0157,18.6571
2025-12-12,18.1,20.48,17.8,20.22,649262,,1.9952,16.5169,19.61,22.7031,19.2009,18.9951,,,,32.7057,2.53,14.3019,49.7424,21.8615,18.9386,18.84
2025-12-19,20.25,21.12,19.8,20.68,472871,,1.9473,16.5227,19.649,22.7753,19.3981,19.4164,,,,37.2675,3.04,17.2336,51.3771,21.6962,18.9157,19.0186
2025-12-26,20.58,21.63,20.44,21.48,347270,23.9701,1.8932,16.5553,19.7685,22.9817,19.6757,19.9323,,,,48.323,3.57,19.933,54.1691,16.35,18.9814,19.54
2026-01-02,21.46,21.9,20.03,20.16,315077,22.4811,1.8915,16.5791,19.703,22.8269,19.7403,19.9892,,,,51.5772,1.22,6.4414,49.1538,16.4028,19.0271,19.6657
2026-01-09,20.07,20.78,18.53,18.65,336357,21.7747,1.9171,16.6615,19.5025,22.3435,19.5949,19.6544,,,,59.1778,-0.78,-4.0144,44.1213,16.5127,19.0957,19.7386
2026-01-16,18.65,19.12,18.05,18.05,389304,21.4301,1.857,16.7603,19.273,21.7857,19.3889,19.2533,,,,66.1332,0.22,1.2339,42.2694,16.6205,19.125,19.5986
2026-01-23,18.05,18.82,17.55,18.2,375505,21.4247,1.8154,16.7461,19.118,21.4899,19.2304,18.99,,,,59.1336,-1.08,-5.6017,42.9145,16.7261,19.1457,19.6343
2026-01-30,18.16,18.5,16.73,17.81,398692,21.9005,1.8121,16.6874,18.9585,21.2296,19.041,18.695,,,,49.5654,-0.33,-1.8192,41.6126,21.9,19.065,19.29
2026-02-06,17.85,19.18,17.49,18.65,448224,21.6925,1.8034,16.7118,18.863,21.0142,18.9889,18.6837,-0.7637,0.1003,-0.864,47.7608,-0.38,-1.9968,45.4511,21.8483,19.0093,19.0
2026-02-13,18.61,18.61,16.75,17.3,426211,21.944,1.8103,16.5203,18.752,20.9837,18.7637,18.3378,-0.8258,0.0305,-0.8563,47.7179,-0.65,-3.6212,40.8078,21.7971,18.9714,18.4029
2026-02-20,17.53,21.64,17.06,21.63,1397474,20.839,2.0082,16.4477,18.949,21.4503,19.1459,19.1609,-0.5196,0.2694,-0.789,55.8886,1.41,6.9733,56.2472,21.7464,19.1393,18.6129
2026-02-27,22.0,23.88,21.68,22.12,931753,20.931,2.0251,16.3938,19.173,21.9522,19.5424,19.9006,-0.2348,0.4434,-0.6782,65.3661,1.44,6.9632,57.5952,16.73,19.4236,19.1086
2026-03-06,21.79,23.1,21.0,21.11,448992,20.5627,2.0311,16.4952,19.333,22.1708,19.7514,20.203,-0.0895,0.4709,-0.5604,59.6552,-0.37,-1.7225,53.9085,16.8014,19.5721,19.5457
2026-03-13,20.79,21.0,19.51,19.76,470118,19.3197,2.0003,16.5364,19.374,22.2116,19.7526,20.0922,-0.0823,0.3825,-0.4648,58.9141,-0.4,-1.9841,49.3604,16.8722,19.7014,19.7686
2026-03-20,19.92,20.73,19.28,19.36,840285,18.0367,1.9607,16.533,19.3705,22.208,19.7002,19.9092,-0.1077,0.2857,-0.3934,49.0353,0.71,3.807,48.0665,16.9422,19.64,19.99
2026-03-27,19.92,19.92,18.44,19.02,613368,17.129,1.9263,16.6756,19.43,22.1844,19.6095,19.6869,-0.1534,0.192,-0.3454,42.0797,0.97,5.374,46.9401,17.0115,19.5214,20.0429
2026-04-02,19.33,20.21,19.16,19.93,350392,16.1071,1.8737,16.7006,19.4625,22.2244,19.6523,19.7477,-0.115,0.1844,-0.2993,41.9175,1.73,9.5055,50.2973,17.0802,19.4107,20.4186
2026-04-10,19.9,21.28,19.9,20.58,286158,15.3897,1.8385,16.8516,19.5845,22.3174,19.776,19.9557,-0.0316,0.2141,-0.2458,45.9459,2.77,15.5531,52.604,17.1481,19.4407,20.2686
2026-04-15,20.32,20.9,20.12,20.47,144341,14.7236,1.7625,16.91,19.6565,22.403,19.8685,20.0843,0.0252,0.2168,-0.1916,47.0355,1.82,9.7587,52.1628,17.2154,19.5707,20.0329
