date,open,high,low,close,volume,adx_14_adx,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_50_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_50_sma,sma_7_sma
2008-05-09,38.1,39.07,36.76,20.11,412900,11.9039,1.6712,18.3318,20.1169,21.9021,20.4186,20.8435,20.4909,-0.0927,0.1275,-0.2202,47.4393,0.0423,0.2106,47.9097,19.0778,20.3606,21.6637,20.6461
2008-05-16,37.42,38.54,36.3,20.88,1185800,11.502,1.6389,18.527,20.2239,21.9207,20.4801,20.8449,20.5882,-0.0504,0.1358,-0.1862,65.0592,0.9964,5.0111,51.4915,19.1764,20.5218,21.5412,20.7503
2008-05-23,38.53,38.94,37.38,20.46,1988800,11.3299,1.5824,18.5556,20.2501,21.9446,20.4776,20.8299,20.5564,-0.0501,0.1089,-0.159,73.0205,0.4353,2.1739,49.4902,19.2721,20.528,21.4311,20.6065
2008-05-30,37.78,38.07,36.32,20.16,263100,10.5546,1.5374,18.8741,20.3387,21.8033,20.4348,20.8035,20.4564,-0.0736,0.0683,-0.1419,69.8402,-0.653,-3.1381,48.0281,19.3649,20.4864,21.3071,20.5241
2008-06-06,36.9,36.9,34.78,19.05,448600,10.5561,1.5155,18.9802,20.359,21.7379,20.2503,20.7348,20.1052,-0.1793,-0.0299,-0.1494,69.5631,-1.0992,-5.455,43.0618,22.3659,20.4136,21.1586,20.2465
2008-06-13,34.54,34.54,30.5,16.78,468600,12.1393,1.5825,18.1198,20.2,22.2801,19.788,20.5798,19.2745,-0.4411,-0.2334,-0.2077,70.9253,-4.6854,-21.8251,35.0452,22.3315,20.1921,20.9659,19.7241
2008-06-20,30.99,31.13,28.35,15.96,537800,14.1772,1.5775,17.2322,19.9168,22.6014,19.2769,20.3984,18.4447,-0.7072,-0.3996,-0.3076,65.82,-4.7779,-23.0446,32.6586,22.2168,19.9014,20.7319,19.0571
2008-06-27,28.67,29.9,26.92,15.19,621800,16.4002,1.5807,16.396,19.7453,23.0945,18.7325,20.1943,17.6319,-0.9684,-0.5286,-0.4398,58.9559,-5.8009,-27.6309,30.5921,22.0131,19.5002,20.4924,18.3544
2008-07-03,28.69,29.11,22.86,13.49,708100,19.217,1.7107,15.1011,19.401,23.701,18.0335,19.9314,16.5965,-1.2978,-0.6864,-0.6114,52.3905,-6.9492,-33.9989,26.5476,21.7186,19.0245,20.2444,17.2987
2008-07-11,25.57,26.08,23.05,12.68,485900,21.8326,1.7063,13.8485,18.9981,24.1478,17.3196,19.647,15.6172,-1.6058,-0.7956,-0.8103,48.1532,-7.945,-38.5224,24.8624,21.2546,18.3967,20.0303,16.187
2008-07-18,24.55,28.21,22.39,14.93,734800,23.0938,1.8106,13.3254,18.7412,24.157,17.0013,19.4621,15.446,-1.6491,-0.6711,-0.978,53.0679,-5.1806,-25.7576,36.8557,20.8139,17.9824,19.8428,15.4407
2008-07-25,28.23,28.78,26.0,14.35,457900,23.9724,1.7894,12.7531,18.4645,24.1759,16.6478,19.2616,15.172,-1.7107,-0.5861,-1.1246,56.6969,-6.5301,-31.2744,35.2879,20.2961,17.5078,19.6603,14.769
