date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2024-12-20,169.27,180.36,157.22,170.71,36089401,159965279.8114,46655889.7509,53.3028,,32.6144,0.0,92.8571,92.8571,16.2997,13.3839,97.5095,181.6351,0.0622,131.6611,62.4515,159.5345,87.0621,130.8333,125.1315,102.5067,21.7195,,45.0665,-3.7421,,,,0,150.7386,28.5508,9.0605,19.4903,32.6144,16.2239,16.3905,1.1894,21.77,93.7346,119.41,118.98,2.8455,97.46,9.5482,426428431.0,41.1421,36.1527,133.0512,2.889,81.2258,108.8023,97.5095,,87.7251,88.7751,88.7751,82.1148,74.2607,75.6184,,,23.14,114.0477,,68.2299,-8.1201,135.2115
2024-12-27,171.25,182.2,166.37,173.54,10877834,158939071.6503,41471211.8786,55.7322,,36.8271,0.0,100.0,100.0,16.2659,15.8489,103.541,191.2331,0.1447,121.2454,63.3802,166.9957,87.314,137.4035,131.586,107.7684,23.5061,,42.6088,-11.1462,,,,0,156.806,29.8248,8.2676,21.5572,36.8271,16.6451,20.182,1.2999,23.2877,93.7713,120.31,122.9,2.6467,92.64,9.373,437306265.0,39.0798,38.9992,114.5117,2.6226,81.6901,117.4348,103.541,,86.5299,83.5513,83.5513,82.5842,86.5772,84.1133,,177.2068,15.8269,123.6491,,63.4163,-7.3019,143.0437
2025-01-03,167.38,181.22,156.04,177.74,24492187,176662532.8362,41219380.2283,56.5782,41.3243,41.505,0.0,92.8571,92.8571,16.9029,19.3086,109.682,200.0554,0.4116,103.9296,64.7727,173.7617,67.5767,143.6091,137.7398,112.9515,24.5302,,34.4936,-20.8494,,,,0,162.4498,30.8182,7.4088,23.4094,41.505,17.2843,24.2207,1.4175,24.8322,86.6866,125.06,123.3575,6.7528,96.38,9.5099,461798452.0,34.9011,42.1542,118.4612,2.6497,82.3863,125.8543,109.682,,85.7126,84.8115,84.8115,89.7353,82.6708,88.2807,,183.1417,25.1843,132.9707,5.7747,68.9448,-3.7898,150.4133
2025-01-10,182.0,187.69,159.8,167.08,17823847,168143641.459,34658585.4579,57.5174,42.255,45.1009,0.0,100.0,100.0,17.6877,24.5194,115.0755,205.6316,-0.535,92.8882,49.2591,176.2612,69.7268,147.22,141.6519,116.961,25.276,,30.5768,5.6257,,,,0,163.3459,30.3949,5.5884,24.8065,45.1009,16.8344,28.2665,1.5417,26.2547,81.7907,125.495,128.495,5.989,54.1,10.5864,443974605.0,33.5775,44.1967,47.8846,2.3084,74.6296,133.1792,115.0755,,80.0051,71.6527,71.6527,42.6385,57.4646,0.0,,183.1664,27.89,141.6264,5.6771,63.4927,-17.4086,155.3077
2025-01-17,160.44,179.87,156.58,175.33,21164123,181056573.5256,32932503.6677,57.9734,43.1944,48.6767,0.0,92.8571,92.8571,18.0879,30.3552,120.8405,211.3258,0.6393,83.3244,52.9511,180.0287,63.9015,151.5446,146.1423,121.2847,26.1447,,41.8827,1.9123,,,,0,165.7773,30.3749,4.4547,25.9202,48.6767,16.3061,32.3706,1.6727,27.7454,76.492,129.32,130.255,6.7125,40.53,10.3165,465138728.0,30.4775,45.7915,30.0668,2.3936,76.4755,140.8107,120.8405,,73.6355,64.4423,64.4423,60.9532,37.3597,23.7983,,185.3867,23.29,149.5741,5.532,66.6442,-10.76,160.4002
2025-01-24,177.5,191.0,175.6,182.4,19966576,178722817.8892,28489956.7176,58.6889,44.2281,49.8448,0.0,100.0,100.0,17.9152,37.8492,127.118,216.3868,0.3182,95.6851,55.9116,184.5347,67.9909,156.2916,150.9766,125.8117,26.8102,,36.0706,-34.9578,,,,0,169.1379,30.5772,3.7256,26.8516,49.8448,13.6495,36.1953,1.8108,29.292,77.1565,131.88,133.77,6.2917,57.62,9.8219,485105304.0,33.02,44.9386,46.1773,2.2546,77.9558,147.3738,127.118,,65.2533,59.665,59.665,75.4035,22.2268,42.882,,188.8937,15.67,156.6682,5.3652,62.2057,-7.5135,165.4631
2025-01-31,174.22,208.62,170.2,199.55,22771980,190743009.3103,27907161.4432,59.7235,46.3211,49.7803,0.0,100.0,100.0,19.3798,45.2852,134.141,222.9968,0.6593,103.5947,62.1358,192.1496,73.1724,162.9468,157.4531,131.2738,27.4484,,23.8174,-35.5458,,,,0,175.8641,31.7552,3.9229,27.8323,49.7803,10.1743,39.6059,1.9568,30.9946,78.2115,156.265,143.86,5.398,52.88,9.7118,507877284.0,34.844,42.7746,36.0537,2.4527,81.0679,153.9178,134.141,,65.7145,73.0361,73.0361,82.7515,49.8944,83.0028,,196.9141,38.42,162.7809,5.2199,63.7542,-7.0028,171.8461
2025-02-07,189.12,227.05,188.95,225.23,24541345,212939721.8746,32194320.8792,60.9796,48.5306,51.5234,0.0,100.0,100.0,20.717,50.5638,142.094,233.6242,0.9478,128.9957,69.1573,204.3924,77.3097,172.5288,166.49,138.2335,28.3285,,17.4612,-36.2705,,,,0,186.4651,34.3649,5.2261,29.1388,51.5234,8.833,42.6903,2.1117,32.9369,76.8603,175.005,167.8674,4.687,84.54,9.1981,532418629.0,36.6259,41.887,60.0896,1.9935,84.5786,162.6701,142.094,,72.6306,85.1908,85.1908,97.4173,75.2949,100.0,,211.2999,38.1,168.237,5.137,68.9493,-1.5376,180.5274
2025-02-14,228.8,230.41,192.57,196.38,51262436,171999974.6194,17995119.1692,62.1937,50.6461,50.2251,0.0,100.0,100.0,21.94,60.9544,148.559,236.1636,-0.8568,108.9202,38.1605,206.778,77.9766,176.1982,170.4753,142.5407,29.3301,,4.8236,-25.4275,,,,0,187.2129,33.7165,3.6621,30.0544,50.2251,5.1032,45.122,2.274,34.5714,63.1844,175.005,176.775,4.1083,33.62,11.1722,481156193.0,33.1998,39.102,20.6562,1.4568,69.0802,170.2,148.559,,78.7508,78.0255,78.0255,53.9076,61.0009,0.0,,211.3782,37.8399,173.07,4.9976,60.9468,-31.7237,184.293
2025-02-21,193.4,196.76,161.88,166.4,34029099,146785753.9095,2527728.3193,60.4704,51.3364,48.2449,0.0,92.8571,92.8571,22.864,72.7046,153.26,233.8154,-0.7742,47.0069,14.6496,200.9233,38.0672,174.6908,169.932,144.308,30.8367,,2.8515,25.9734,,,,0,186.4449,30.4326,0.3026,30.13,48.2449,1.3862,46.8587,2.442,35.8896,56.3046,182.96,177.535,13.2665,-6.25,13.7404,447127094.0,29.5751,36.3923,-3.62,1.3335,57.3248,230.41,153.26,,71.9517,52.6388,52.6388,6.5916,33.3333,0.0,,200.307,34.875,177.0087,4.7455,53.8244,-60.5296,183.4749
