date,open,high,low,close,volume,ema_12_ema,ema_26_ema,sma_200_sma,sma_20_sma,sma_50_sma
2014-12-05,39.35,39.62,37.7,19.85,3677631,22.0651,23.3363,21.809,23.4972,24.4879
2014-12-12,36.91,37.11,34.04,17.79,3724090,21.4072,22.9254,21.7914,23.0323,24.359
2014-12-19,34.27,36.97,32.6,19.29,3039594,21.082,22.6563,21.7797,22.7083,24.2686
2014-12-26,36.29,36.46,35.64,18.93,1039381,20.7513,22.3805,21.7702,22.3968,24.1709
2015-01-02,35.59,36.05,34.68,18.26,1285583,20.3687,22.0756,21.7555,22.0502,24.0737
2015-01-09,33.22,33.44,31.8,16.85,3147764,19.8273,21.6885,21.7353,21.6423,23.9507
2015-01-16,32.22,33.68,31.65,17.5,2404046,19.4695,21.3784,21.7216,21.2438,23.8477
2015-01-23,33.27,34.77,32.9,17.53,2120754,19.1717,21.0936,21.7046,20.8256,23.7459
2015-01-30,33.58,34.67,33.47,17.7,2386677,18.9453,20.8422,21.6854,20.4697,23.626
2015-02-06,34.36,36.32,34.15,18.32,2707835,18.8486,20.6551,21.6668,20.1441,23.517
2015-02-13,34.81,36.31,33.96,18.96,1229990,18.8656,20.5295,21.6548,19.8645,23.4179
2015-02-20,35.86,37.64,35.55,19.65,1492883,18.9867,20.4646,21.6442,19.6822,23.3288
2015-02-27,37.1,37.8,36.92,19.46,1393595,19.0596,20.3902,21.626,19.558,23.2416
2015-03-06,37.2,37.22,35.08,18.33,1117702,18.9469,20.2373,21.6109,19.3935,23.1156
2015-03-13,35.8,36.02,32.06,17.16,2130524,18.6716,20.0092,21.5927,19.1624,22.9599
2015-03-20,32.31,35.25,32.0,18.16,3946579,18.5929,19.8722,21.5801,18.9609,22.8275
2015-03-27,35.4,35.5,34.48,18.17,922049,18.5279,19.7462,21.5685,18.7985,22.6899
2015-04-02,34.91,35.22,34.42,18.32,669276,18.4962,19.6407,21.5566,18.6481,22.5385
2015-04-10,35.55,36.69,35.39,18.83,1217140,18.5481,19.5809,21.5503,18.4766,22.4071
2015-04-17,36.22,37.49,35.95,19.04,3093009,18.6233,19.5406,21.5457,18.4053,22.2714
2015-04-24,36.19,37.16,36.1,19.23,3374383,18.7159,19.5172,21.545,18.3743,22.1332
2015-05-01,37.63,38.97,37.61,20.2,1162618,18.9436,19.5675,21.5402,18.4946,22.0254
2015-05-08,39.03,39.11,37.37,20.31,1346720,19.154,19.6226,21.5417,18.5455,21.9083
2015-05-15,38.22,39.33,37.39,20.3,1492369,19.3311,19.6731,21.5472,18.6142,21.795
2015-05-22,37.29,37.68,36.95,19.74,928360,19.3946,19.6784,21.5454,18.6881,21.6595
2015-05-29,35.98,36.45,35.64,19.21,731813,19.3661,19.6437,21.5462,18.8061,21.5011
2015-06-05,35.83,36.8,34.83,18.89,4041462,19.2935,19.5881,21.5552,18.8757,21.3258
2015-06-12,35.1,37.2,34.97,19.31,2320511,19.2954,19.5672,21.5695,18.9644,21.1575
2015-06-19,35.33,37.04,34.99,19.4,2603649,19.3118,19.555,21.5885,19.0494,20.9805
2015-06-26,37.36,38.31,37.28,19.99,5419424,19.4161,19.5872,21.6048,19.1331,20.8402
2015-07-02,36.28,36.68,35.23,18.89,2670900,19.335,19.5355,21.6138,19.1296,20.6735
2015-07-10,33.96,35.53,32.09,18.82,4127195,19.2565,19.4828,21.6281,19.0882,20.5083
2015-07-17,35.01,35.26,34.43,18.51,1041457,19.1416,19.4107,21.6375,19.0407,20.363
2015-07-24,34.73,35.12,34.32,18.34,882045,19.018,19.3313,21.6535,19.0412,20.2265
2015-07-31,34.34,35.27,33.8,18.7,1709412,18.9694,19.2847,21.6675,19.1185,20.0966
2015-08-07,34.9,35.53,34.14,18.78,962697,18.9406,19.2475,21.6744,19.1496,19.9721
2015-08-14,35.02,35.87,34.34,18.35,1528262,18.8496,19.1809,21.6673,19.1585,19.8297
2015-08-21,34.08,34.51,32.0,17.15,840546,18.5885,19.0307,21.6521,19.1,19.6548
2015-08-28,31.08,32.64,30.03,17.23,1929828,18.3791,18.8971,21.6331,19.0197,19.5029
2015-09-04,33.0,33.29,31.81,17.09,2013976,18.1805,18.7631,21.6214,18.9223,19.3481
2015-09-11,32.84,33.73,32.57,17.71,1142117,18.1078,18.6849,21.6123,18.8464,19.2113
2015-09-18,32.58,34.54,31.89,17.38,1223235,17.9965,18.5886,21.6031,18.7058,19.093
2015-09-25,32.44,32.48,30.5,17.01,1695424,17.8445,18.4716,21.6009,18.5407,18.9943
2015-10-02,30.48,32.82,30.27,17.89,1732354,17.8517,18.4286,21.5943,18.42,18.9198
2015-10-09,33.45,35.42,33.41,19.24,1441033,18.0659,18.489,21.593,18.395,18.8691
2015-10-16,35.12,36.02,34.61,19.64,1064553,18.3074,18.5739,21.6024,18.4163,18.818
2015-10-23,35.56,35.56,34.2,18.74,655376,18.3734,18.586,21.6026,18.4084,18.7643
2015-10-30,33.95,34.01,32.37,17.77,1586244,18.2809,18.5256,21.5981,18.3317,18.6932
2015-11-06,32.65,33.3,31.69,17.6,1458702,18.1757,18.4569,21.5924,18.2415,18.5998
2015-11-13,32.26,32.41,30.45,16.78,1719402,17.9609,18.3326,21.5826,18.081,18.5262
2015-11-20,30.88,32.05,30.85,17.05,1680472,17.8211,18.2378,21.5668,17.9891,18.4703
2015-11-27,31.76,32.53,31.5,17.67,1467354,17.7984,18.196,21.5546,17.9316,18.468
2015-12-04,32.55,32.78,31.59,17.34,1345537,17.7271,18.1322,21.5382,17.8729,18.4288
2015-12-11,31.0,31.17,29.54,16.22,1284954,17.495,17.9904,21.5172,17.7668,18.3745
2015-12-18,29.47,30.47,29.05,15.96,2386040,17.2591,17.8402,21.4935,17.6298,18.3285
2015-12-24,29.66,30.76,29.01,16.68,1414557,17.1694,17.7539,21.4703,17.5245,18.325
2015-12-31,30.44,30.76,29.55,16.25,1114433,17.0272,17.6422,21.4472,17.4193,18.2999
2016-01-08,29.39,29.56,27.55,15.02,1609188,16.7182,17.4478,21.4169,17.3126,18.2496
2016-01-15,28.14,28.85,27.31,15.0,1916219,16.4542,17.2667,21.3819,17.2014,18.1956
2016-01-22,27.6,28.48,26.22,15.5,1595406,16.308,17.1361,21.3524,17.1222,18.1394
2016-01-29,28.0,29.4,27.44,15.78,1696125,16.2271,17.0358,21.3254,17.0259,18.0758
2016-02-05,28.58,28.99,26.93,15.19,1768275,16.068,16.8993,21.3002,16.9163,17.9866
2016-02-12,27.21,27.25,24.73,14.27,2464801,15.7916,16.7047,21.2759,16.7795,17.8829
2016-02-19,26.72,27.5,26.07,14.53,1489514,15.5972,16.5434,21.2501,16.6113,17.8069
2016-02-26,27.0,28.08,25.76,15.11,1652860,15.5225,16.4373,21.2243,16.4047,17.766
2016-03-04,27.86,30.02,27.68,16.28,2375037,15.6387,16.4255,21.209,16.2368,17.7283
2016-03-11,29.43,30.11,28.82,16.29,1857483,15.7396,16.4158,21.1927,16.1147,17.6908
2016-03-18,29.48,31.34,29.25,16.93,1755854,15.9222,16.4537,21.1863,16.0724,17.6629
2016-03-24,31.02,31.13,29.2,16.17,996275,15.961,16.433,21.1758,16.0013,17.6097
2016-04-01,29.43,31.02,29.01,15.92,1227445,15.9544,16.3948,21.1669,15.9582,17.5473
2016-04-08,29.1,29.41,27.94,15.98,1622822,15.9581,16.364,21.1539,15.9045,17.4824
2016-04-15,29.55,30.98,28.99,16.67,5446509,16.0676,16.3867,21.1415,15.8544,17.4119
2016-04-22,29.92,32.0,29.92,17.27,1445471,16.2526,16.4521,21.1333,15.8511,17.3511
2016-04-29,31.77,33.0,31.42,17.86,2554730,16.5006,16.5567,21.124,15.9334,17.3022
2016-05-06,32.21,32.26,30.5,16.78,1830628,16.5435,16.5732,21.1114,15.9743,17.243
2016-05-13,30.8,31.4,30.27,16.58,1579857,16.5488,16.5736,21.0982,15.9694,17.1903
2016-05-20,30.98,31.15,28.93,16.27,1991617,16.5055,16.5509,21.087,15.9705,17.1378
2016-05-27,29.16,31.19,29.0,17.21,3219272,16.6145,16.6,21.0775,16.0803,17.096
2016-06-03,31.09,31.18,30.07,17.03,1200923,16.6785,16.6319,21.0616,16.1817,17.0485
2016-06-10,31.09,32.36,30.98,17.33,6295924,16.7781,16.6833,21.0459,16.2728,16.9952
2016-06-17,30.31,31.3,28.99,17.39,3356756,16.8718,16.7354,21.0301,16.353,16.9652
