date,open,high,low,close,volume,adx_14_adx,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_12_ema,ema_26_ema,ema_5_ema,mfi_14_mfi,mom_10_mom,rsi_14_rsi,sar_14_sar,sma_100_sma,sma_20_sma,sma_50_sma,sma_8_sma,stochrsi_14_fastd,stochrsi_14_fastk
2015-02-27,88.73,89.7,88.23,69.3,8080294,31.6944,2.162,59.3672,65.4664,71.5656,66.8476,63.9642,68.3729,79.1458,3.2216,67.4548,64.1571,53.8412,65.4664,58.7272,67.3989,81.5904,100.0
2015-03-06,88.88,90.23,85.84,67.08,12829100,30.0419,2.2521,61.529,66.0022,70.4753,66.8835,64.195,67.9421,70.6978,0.6201,59.1554,64.8547,54.0928,66.0022,59.0211,67.5388,57.236,0.0
2015-03-13,86.4,87.0,84.64,67.38,7960350,28.1549,2.1956,63.2285,66.4162,69.604,66.9594,64.4307,67.7538,64.7798,2.4066,59.866,65.5735,54.3333,66.4162,59.3317,67.7149,36.1873,8.5619
2015-03-20,86.52,88.0,85.56,68.86,11840954,27.0513,2.1758,63.6436,66.6881,69.7326,67.2518,64.7588,68.1225,72.2407,2.8987,63.3038,66.1989,54.5931,66.6881,59.6872,67.8539,19.5153,49.984
2015-03-27,88.02,88.02,83.91,66.4,7492871,25.2205,2.2506,63.7422,66.7361,69.73,67.1202,64.8801,67.5471,65.5478,0.4274,54.8913,70.3841,54.8193,66.7361,60.0216,68.1062,19.5153,0.0
2015-04-02,84.96,86.58,84.33,67.41,6024714,23.5204,2.216,63.8501,66.8202,69.7903,67.1646,65.0674,67.5009,65.5451,-0.339,57.3962,70.3386,55.0383,66.8202,60.3415,68.1038,26.5866,29.7758
2015-04-10,85.66,86.79,85.42,67.74,6830641,22.0444,2.1347,64.0397,66.9444,69.8491,67.2528,65.2652,67.5799,70.2486,3.3603,58.2098,70.2935,55.2553,66.9444,60.6767,67.9174,23.0746,39.4479
2015-04-17,86.12,86.7,83.3,65.53,7608682,21.2687,2.1728,63.9385,66.9003,69.862,66.9883,65.2851,66.8978,63.3547,-1.8943,51.1687,70.2489,55.4374,66.9003,60.9425,67.4617,23.0746,0.0
2015-04-24,83.84,86.12,83.6,66.68,6145814,20.5483,2.1627,63.9472,66.9066,69.8659,66.9413,65.3886,66.8261,62.6529,-2.5468,54.2742,70.151,55.6451,66.9066,61.2242,67.1346,27.8508,44.1043
2015-05-01,85.42,86.28,84.32,67.49,9301370,19.7855,2.1181,64.3386,67.0636,69.7886,67.0264,65.5446,67.049,63.2068,-1.6841,56.3845,70.055,55.8683,67.0636,61.5255,67.1864,39.3935,74.076
