date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2023-02-17,21.36,21.88,19.89,16.92,9304079,-35690354.6404,-3483728.6237,,,,35.7143,0.0,-35.7143,1.1476,15.3897,17.0119,18.634,-0.2714,-7.9908,6.1189,,15.46,16.9665,16.9882,,,,,,,,,0,16.5242,,,,,,,,,53.1476,16.6607,16.8211,19.4969,0.9827,6.7823,30482072.0,14.2756,,6.1659,0.9345,53.0594,18.2557,17.0119,,69.5789,58.4028,58.4028,41.7978,47.0343,0.0,,,1.6173,16.6845,,,-46.7696,16.9094
2023-02-24,20.2,20.61,19.86,16.52,8396229,-33563309.9604,-2641021.7341,,,,28.5714,0.0,-28.5714,1.1213,15.4625,17.0371,18.6116,0.1733,-63.318,0.4096,,15.8858,16.8982,16.926,,,,,,,,,0,16.5241,,,,,,,,,51.7043,16.6607,16.7287,18.6476,1.1865,6.7869,22085843.0,13.5351,,7.7371,0.9379,50.2048,18.1963,17.0371,,58.1267,42.5352,42.5352,20.8426,21.4762,0.0,,,0.7802,16.7225,,,-57.1673,16.8583
2023-03-03,20.5,20.78,20.0,16.85,8937486,-25771655.4988,422977.6616,,,,21.4286,0.0,-21.4286,1.0865,15.5593,17.0753,18.5913,0.2949,-47.9516,4.9072,,12.4299,16.8903,16.9155,,,,,,,,,0,16.5329,,,,,,,,,54.8866,16.5282,16.6484,17.838,0.3738,6.4493,31023329.0,13.8937,,2.2694,0.9367,52.4536,18.1381,17.0753,,44.8928,33.7404,33.7404,38.5809,12.2231,36.6693,,,0.6339,16.7812,,,-42.7037,16.8609
2023-03-10,20.66,20.92,17.81,14.52,9497555,-34902391.5094,-1267254.74,,,,100.0,0.0,-100.0,1.1893,15.0613,16.9323,18.8032,-0.898,-169.5304,-22.161,,38.0571,16.5261,16.5965,,,,,,,,,0,16.3744,,,,,,,,,52.2998,16.0303,16.2234,26.1042,-1.7798,8.189,21525774.0,11.7123,,-10.9172,0.8195,38.9195,18.0811,16.9323,,32.1827,20.2724,20.2724,1.3937,12.2231,0.0,,,2.525,16.8162,,,-98.6063,16.5645
2023-03-17,17.56,17.91,15.45,12.88,12086536,-45024220.5998,-5064090.4567,,,-0.2786,100.0,64.2857,-35.7143,1.2347,14.2044,16.652,19.0996,-0.7629,-292.8558,-34.9466,,52.6699,15.9649,16.1008,16.6433,,,,,,,,0,16.1106,,,,,,,,,50.9598,15.2083,15.3516,33.6658,-3.4482,9.5868,9439238.0,10.4369,-1.6738,-21.1195,0.8081,32.5267,17.9729,16.652,,22.7722,14.3036,14.3036,2.9362,12.2231,0.0,,,1.8248,16.7835,,,-97.1707,16.0794
2023-03-24,15.89,16.92,14.01,12.0,10378614,-51479647.1771,-8210968.9375,,,-0.4803,100.0,57.1429,-42.8571,1.3177,13.2337,16.3775,19.5212,-0.457,-280.729,-40.5831,14.4008,59.6466,15.3545,15.5536,16.2991,,,,,,,,0,15.7723,,,,,,,,,53.5373,14.7675,14.7583,35.7779,-4.98,10.9839,-939376.0,9.0435,-2.9133,-29.3335,0.7823,29.7084,17.7632,16.3775,,12.9295,4.2125,4.2125,8.3076,0.0,0.0,,,2.3978,16.627,,,-92.9506,15.5058
2023-03-31,14.97,16.17,14.75,13.2,10994556,-42807884.6983,-5992679.4421,22.3128,,-0.6472,92.8571,50.0,-42.8571,1.3184,12.806,16.1322,19.4584,0.7394,-197.4321,-24.7056,13.9687,59.6466,15.0231,15.2398,16.0696,,,,,,,,0,15.5693,,,,,,,,,53.7845,14.7675,14.7583,33.1414,-3.6551,9.9876,10055180.0,8.3771,-3.9479,-21.6851,0.8013,37.6472,17.4522,16.1322,,10.7947,13.8681,13.8681,30.3604,11.6344,34.9031,,,1.3266,16.3608,,,-74.2376,15.1244
2023-04-06,16.06,16.35,15.1,13.13,9937745,-39389300.4183,-3452676.9738,24.7409,,-0.8565,85.7143,42.8571,-42.8571,1.2978,12.4124,15.9081,19.4037,-0.096,-152.2898,-25.2041,13.6142,56.3065,14.7325,14.9591,15.8521,,,,,,,,0,15.3833,,,,,,,,,55.7505,14.7675,14.7583,31.218,-4.4037,9.8809,117435.0,8.7266,-5.2605,-25.1094,0.8057,37.398,17.1568,15.9081,,13.5624,22.6067,22.6067,29.152,39.4615,83.4814,,,1.03,16.0111,,36.5755,-75.2629,14.7654
2023-04-14,15.75,16.54,15.58,13.32,7968299,-37729238.1266,-1571503.6918,26.7362,,-1.0451,78.5714,35.7143,-42.8571,1.2616,12.1415,15.6745,19.2076,0.4271,-117.5054,-22.7964,13.3844,52.6753,14.5145,14.7399,15.6642,,,,,,,,0,15.2409,,,,,,,,,55.3426,14.7675,14.7583,29.7881,-4.0111,9.4746,8085734.0,9.2334,-6.4609,-23.1499,0.8156,38.6018,16.8762,15.6745,,25.3073,39.4472,39.4472,58.829,72.7948,100.0,,,0.791,15.5931,,37.6171,-72.4432,14.4608
2023-04-21,16.25,17.2,16.14,13.71,6135805,-38049114.2166,-760847.5876,27.7231,,-1.2227,71.4286,28.5714,-42.8571,1.2336,11.9733,15.474,18.9748,0.3697,-82.6398,-17.488,13.3091,40.5532,14.3909,14.6027,15.5195,,,,,,,,0,15.1163,,,,,,,,,54.0042,14.7675,14.7583,28.2565,-3.6481,8.9969,14221539.0,11.951,-7.6258,-21.0154,0.8076,41.256,16.6096,15.474,,39.6352,56.8519,56.8519,82.5746,94.4938,100.0,,,0.8693,15.1156,,35.9249,-66.2909,14.2375
