date,open,high,low,close,volume,adx_14_adx,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_12_ema,ema_26_ema,ema_5_ema,mfi_14_mfi,mom_10_mom,rsi_14_rsi,sar_14_sar,sma_100_sma,sma_20_sma,sma_50_sma,sma_8_sma,stochrsi_14_fastd,stochrsi_14_fastk
2015-12-18,23.38,23.91,23.09,19.21,22022,15.9458,0.7067,17.3029,18.6535,20.0041,19.0355,18.7844,19.2532,45.4564,0.9675,54.2578,17.097,,18.6535,18.5171,19.2474,44.8113,14.968
2015-12-24,23.44,23.79,23.16,19.58,5974,14.8154,0.6835,17.282,18.672,20.0619,19.1188,18.8431,19.3612,43.763,1.2745,57.1597,17.2175,,18.672,18.5731,19.3399,35.4702,62.7638
2015-12-31,23.0,23.63,23.0,19.48,8900,14.2265,0.6725,17.2706,18.6842,20.0978,19.1738,18.89,19.3995,49.2582,0.902,56.0979,17.3333,,18.6842,18.639,19.3345,41.0023,45.2751
2016-01-08,22.94,22.94,21.25,17.87,12156,14.8349,0.7395,17.2883,18.6893,20.0903,18.9733,18.8145,18.8899,53.7421,-0.9665,42.5495,17.4444,,18.6893,18.6522,19.247,36.013,0.0
2016-01-15,21.55,21.55,19.34,16.57,16150,16.7525,0.8194,16.9277,18.6015,20.2754,18.604,18.6485,18.1176,47.6712,-2.9465,35.1576,20.1112,,18.6015,18.6472,18.8941,15.0917,0.0
2016-01-22,20.15,20.15,18.49,16.58,7977,18.9703,0.8605,16.7109,18.5527,20.3945,18.2923,18.4951,17.6044,45.0696,-1.9925,35.2047,20.0726,,18.5527,18.6258,18.5141,0.0714,0.2141
2016-01-29,19.65,19.65,18.52,15.97,4459,21.0296,0.8712,16.3035,18.4522,20.601,17.9356,18.3083,17.0608,42.1668,-3.4225,32.1874,19.982,,18.4522,18.5864,18.0452,0.0714,0.0
2016-02-05,18.9,19.48,17.16,14.42,10123,23.5496,0.9485,15.4781,18.2536,21.0291,17.3954,18.0206,16.182,37.3784,-5.1937,26.0281,19.8932,,18.2536,18.5072,17.4607,0.0714,0.0
2016-02-12,17.15,17.15,16.14,14.1,6918,26.2525,0.9419,14.7626,18.0728,21.3831,16.8892,17.7306,15.4896,32.2859,-5.6199,24.9673,19.7292,,18.0728,18.4251,16.8222,-0.0,0.0
2016-02-19,17.1,18.39,17.06,15.09,6126,27.2388,0.9713,14.3821,17.9385,21.4948,16.6124,17.535,15.3565,36.9784,-4.0102,33.9134,19.4827,,17.9385,18.3682,16.2614,29.1289,87.3866
2016-02-26,18.34,18.99,17.85,15.96,4769,27.5115,0.9703,14.1694,17.8243,21.4792,16.5122,17.4184,15.5581,37.3143,-3.2516,40.6532,19.246,,17.8243,18.3334,15.822,62.4622,100.0
2016-03-04,19.29,20.05,19.29,16.79,3640,26.7411,0.9647,14.0744,17.7489,21.4234,16.5557,17.3722,15.9703,34.2712,-2.7823,46.2945,19.0189,,17.7489,18.3021,15.6875,95.7955,100.0
2016-03-11,19.63,19.81,19.43,16.65,4892,26.0257,0.9289,13.969,17.6527,21.3364,16.5703,17.3188,16.1971,22.0149,-2.8257,45.4885,18.8008,,17.6527,18.2757,15.6972,98.7403,96.2208
2016-03-18,19.93,20.3,19.7,17.07,2462,24.8962,0.8988,13.9136,17.5642,21.2147,16.6466,17.3001,16.4868,27.7555,-0.8044,48.2834,18.5914,,17.5642,18.2607,15.7583,98.7403,100.0
2016-03-24,20.19,20.42,20.0,16.82,1418,23.738,0.8595,13.8791,17.4289,20.9787,16.6725,17.2641,16.5962,36.1399,0.2421,46.7238,18.3905,,17.4289,18.2263,15.8634,91.927,79.5601
2016-04-01,20.22,20.76,19.98,17.45,6084,22.3353,0.8449,13.8618,17.3729,20.8841,16.7922,17.2779,16.881,35.684,0.8725,51.0307,18.1975,,17.3729,18.2076,16.2417,93.1867,100.0
2016-04-08,20.81,20.88,20.44,17.43,14391,20.916,0.811,13.8875,17.2744,20.6613,16.8896,17.2888,17.0623,38.604,1.4515,50.8545,18.0123,,17.2744,18.1759,16.6567,92.1265,96.8194
2016-04-15,20.64,21.23,20.55,17.72,4423,19.5902,0.7939,13.9583,17.1795,20.4006,17.0172,17.3207,17.2814,47.3434,3.2951,52.8927,13.567,,17.1795,18.1622,16.9854,98.9398,100.0
2016-04-22,21.16,21.39,21.0,17.9,4204,18.5171,0.7606,14.0632,17.0884,20.1137,17.1537,17.364,17.489,60.0491,3.7994,54.1788,13.6098,,17.0884,18.149,17.2283,98.9398,100.0
2016-04-29,21.18,21.22,20.72,17.43,9437,17.2151,0.7411,14.1174,17.0051,19.8928,17.1968,17.3691,17.4706,58.5001,2.3435,50.4065,13.6972,,17.0051,18.1204,17.3081,66.6667,0.0
2016-05-06,20.95,21.03,20.1,17.13,5368,16.6016,0.744,14.1948,16.901,19.6072,17.1867,17.3515,17.3574,57.6121,1.1696,48.0884,13.7828,,16.901,18.0791,17.3682,33.3333,0.0
2016-05-13,20.45,20.6,20.18,17.12,6098,16.032,0.7156,14.3613,16.778,19.1946,17.1759,17.3341,17.2772,59.6798,0.3219,47.9762,13.8668,,16.778,18.0412,17.3745,0.0,0.0
2016-05-20,20.59,20.88,20.5,17.53,3389,15.1555,0.6956,14.569,16.6806,18.7922,17.2302,17.3485,17.361,65.9532,0.8781,51.4896,13.949,,16.6806,18.0067,17.4637,18.881,56.643
2016-05-27,21.05,21.68,21.04,18.22,5324,14.6966,0.6955,14.5418,16.6983,18.8548,17.383,17.4134,17.6486,66.0676,1.1575,56.793,14.0296,,16.6983,17.9869,17.5603,52.2143,100.0
2016-06-03,22.0,22.06,21.88,18.51,4724,14.6487,0.6687,14.5003,16.7951,19.0899,17.5564,17.4946,17.9357,66.3943,1.6949,58.7896,14.1555,,16.7951,17.9654,17.6959,85.5477,100.0
