date,open,high,low,close,volume,adx_14_adx,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_50_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_50_sma,sma_7_sma
2008-10-17,8.46,9.78,8.41,1.84,300100,26.4353,0.1678,1.8244,2.2608,2.6973,2.1514,2.3002,2.0168,-0.109,-0.0695,-0.0396,36.8543,-0.6112,-24.963,34.273,2.4673,2.2529,2.3274,2.093
2008-10-24,9.54,9.69,7.88,1.74,274700,29.93,0.1817,1.7409,2.2297,2.7184,2.0965,2.2782,1.9475,-0.1317,-0.0737,-0.058,28.9543,-0.7717,-30.73,31.8321,2.4352,2.2125,2.3138,2.0025
2008-10-31,8.51,9.45,8.41,1.87,244000,33.175,0.1835,1.6961,2.2079,2.7197,2.0662,2.2622,1.9278,-0.1377,-0.0638,-0.074,27.7748,-0.5536,-22.8524,38.1096,2.4042,2.1749,2.3028,1.9306
2008-11-07,9.35,9.91,9.16,1.88,246400,35.1808,0.1811,1.6575,2.1877,2.7178,2.041,2.2471,1.9152,-0.1402,-0.053,-0.0872,26.9393,-0.4993,-21.0084,38.5049,2.374,2.1354,2.2931,1.8735
2008-11-14,9.41,9.51,8.07,1.71,311000,37.5146,0.1887,1.5922,2.1614,2.7305,1.9965,2.2259,1.8633,-0.154,-0.0535,-0.1006,21.1058,-0.665,-28.0303,33.7999,2.3448,2.0824,2.2787,1.8062
2008-11-21,8.55,8.55,6.38,1.4,372100,40.1374,0.2031,1.4636,2.1197,2.7758,1.9176,2.1937,1.7486,-0.1873,-0.0694,-0.1179,15.6904,-0.9681,-40.8028,27.3704,2.3165,2.0034,2.2579,1.7127
2008-11-28,6.87,7.56,6.8,1.55,363300,42.5729,0.1998,1.3862,2.0842,2.7823,1.8682,2.1684,1.6982,-0.1999,-0.0656,-0.1343,22.5557,-0.7297,-32.0506,33.7528,2.2765,1.9408,2.2409,1.7117
2008-12-05,7.22,7.9,6.77,1.62,549000,44.1856,0.2022,1.3316,2.05,2.7684,1.835,2.1468,1.6785,-0.2017,-0.0539,-0.1478,31.1827,-0.5595,-25.6809,36.7872,2.2382,1.8868,2.2249,1.6806
2008-12-12,7.92,8.52,7.59,1.66,436500,44.5876,0.2015,1.2944,2.0133,2.7323,1.812,2.1278,1.6745,-0.1973,-0.0396,-0.1577,38.6614,-0.3963,-19.2493,38.6043,2.2014,1.836,2.2092,1.6696
2008-12-19,8.05,8.54,7.75,1.76,433300,44.9265,0.1987,1.28,1.98,2.68,1.8056,2.1136,1.6968,-0.1836,-0.0207,-0.1629,46.5923,0.2101,13.5239,42.7404,2.166,1.7926,2.1954,1.6546
