date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2025-02-07,1.0,1.0,1.0,1.0,0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,1.0,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,
2025-02-14,1.0,1.0,1.0,1.0,0,0.0,0.0,,,,,,,,,,,0.0,,,,,1.0,,,,,,0,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,1.0,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,
2025-02-21,1.0,1.0,1.0,1.0,0,0.0,0.0,,,,,,,,,,,0.0,,,,,1.0,,,,,,0,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,1.0,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,
2025-02-28,1.0,1.0,1.0,1.0,0,0.0,0.0,,,,,,,,,,,0.0,,,,,1.0,1.0,,,,,0,,,,,,,,,,,1.0,1.0,,0.0,,0.0,,,0.0,,,1.0,,,0.0,0.0,0.0,0.0,,,,0.0,1.0,,,0.0,1.0
2025-03-07,1.0,1.0,1.0,1.0,0,0.0,0.0,,,,100.0,100.0,0.0,0.0,,,,0.0,,0.0,,0.0,1.0,1.0,,,,,0,1.0,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,,,,0.0,1.0,,,0.0,1.0
2025-03-14,1.0,1.0,0.47,0.47,5000,-5000.0,-1590.9091,,,,100.0,100.0,0.0,0.0379,,,,-1.0,,-100.0,,100.0,0.9185,0.9293,,,,,0,0.7644,,,,,,,,,0.0,0.735,0.735,100.0,-0.53,8.0547,-5000.0,0.0,,-53.0,0.47,0.0,1.0,,,0.0,0.0,0.0,0.0,,,,0.53,0.9905,,,-100.0,0.9293
2025-03-21,0.47,0.57,0.47,0.57,328630,323630.0,102466.9835,,,,100.0,92.8571,-7.1429,0.0423,,,,1.0,,-66.2244,,100.0,0.8649,0.8814,,,,,0,0.7205,,,,,,,,,0.0,0.735,0.735,83.1122,-0.43,7.4203,323630.0,0.0,,-43.0,0.57,16.8878,1.0,,,2.0964,6.2893,6.2893,18.8679,,,,0.1,0.9734,,,-81.1321,0.877
2025-03-28,0.59,1.05,0.59,1.05,831233,1154863.0,400204.1683,,,,92.8571,100.0,7.1429,0.0736,,,,1.0,,11.2509,,2.4558,0.8933,0.9039,,,,,0,0.7232,,,,,,,,,80.5827,0.76,0.76,44.3745,0.05,7.0058,1154863.0,46.6089,,5.0,1.05,55.6255,0.47,,,15.304,39.6226,39.6226,100.0,,,,0.48,0.9571,,,-0.0,0.8929
2025-04-04,1.05,1.36,0.85,1.31,482101,1542434.3922,608941.717,,,,85.7143,100.0,14.2857,0.1047,,,,0.5098,,30.2224,,28.0804,0.9574,0.958,,,,,0,0.7469,,,,,,,,,87.9513,0.89,0.915,28.9403,0.31,7.995,1636964.0,51.5393,,31.0,1.31,65.1112,0.47,,,38.9984,71.0833,71.0833,94.382,,,,0.51,0.9464,,,-5.618,0.9429
2025-04-11,1.32,1.76,1.31,1.72,353542,1833124.481,731468.3137,,,,78.5714,100.0,21.4286,0.1294,0.5408,1.006,1.4712,0.8889,448.7775,48.8067,,47.3132,1.0748,1.0596,,,,,0,0.8393,,,,,,,,,91.2608,1.095,1.115,21.7514,0.72,7.5231,1990506.0,60.8172,,72.0,1.72,74.4033,0.4878,1.006,,69.2666,97.0937,97.0937,96.8992,,,,0.45,0.9486,,,-3.1008,1.0446
2025-04-17,1.77,1.91,1.55,1.9,140285,1965615.8699,757252.0621,,,,71.4286,100.0,28.5714,0.1459,0.4442,1.051,1.6578,0.3611,344.3976,54.5321,,52.4486,1.2017,1.1717,,,,,0,0.9626,,,,,,,,,92.2108,1.185,1.19,17.9169,0.9,7.6773,2130791.0,57.4412,,90.0,1.9,77.2661,0.526,1.051,,88.3464,96.8623,96.8623,99.3056,100.0,100.0,,0.36,0.9668,,,-0.6944,1.1634
2025-04-25,1.9,1.91,0.68,1.55,398791,2130968.2358,751570.979,,,,64.2857,100.0,35.7143,0.2233,0.4348,1.0785,1.7222,-0.2846,126.6026,25.209,,5.2416,1.2553,1.2221,,,,,0,0.988,,,,,,,,,74.4428,1.185,1.19,38.6963,0.55,14.4069,1732000.0,34.8417,,55.0,1.55,62.6045,0.5813,1.0785,,94.5333,89.644,89.644,72.7273,77.4166,32.2497,,1.23,0.9948,,,-25.0,1.227
2025-05-02,1.5,1.5,0.1,0.2,424791,1766805.3105,565052.2434,,,,100.0,92.8571,-7.1429,0.3109,0.2894,1.0385,1.7876,-0.9286,-158.3835,-29.9808,,25.4835,1.0929,1.0858,,,,,0,0.9577,,,,,,,,,68.3435,1.05,1.005,39.1292,-0.8,155.46,1307209.0,23.2363,,-80.0,0.2,35.0096,1.91,1.0385,,81.8968,59.1842,59.1842,5.5196,44.0832,0.0,,1.4499,1.018,,,-94.4804,1.1054
2025-05-09,0.14,0.15,0.01,0.05,94433,1724910.9015,424050.6994,,,,100.0,85.7143,-14.2857,0.3022,0.1266,0.991,1.8554,-0.6857,-280.579,-33.4866,,28.0109,0.9325,0.9477,,,,,0,0.9159,,,,,,,,,68.1974,0.975,0.9608,39.4785,-0.9499,603.131,1212776.0,22.2014,,-94.99,0.0501,33.2567,1.91,0.991,,58.5288,26.7583,26.7583,2.028,10.7499,0.0,,0.1884,1.0414,,,-97.972,0.9714
2025-05-16,0.04,0.15,0.04,0.15,16004,1740885.7769,332901.1008,,,,92.8571,78.5714,-14.2857,0.2884,0.0096,0.9485,1.8874,0.9991,-198.5166,-28.8607,,28.0109,0.8121,0.8414,,,,,0,0.8866,,,,,,,,,68.2159,0.975,0.9608,38.4041,-0.8501,192.4184,1228780.0,21.5972,,-85.01,0.1499,35.5697,1.872,0.9485,,30.2956,4.9442,4.9442,7.2851,1.7519,5.2557,,0.1099,1.0564,,,-92.7149,0.8598
2025-05-23,0.06,0.06,0.06,0.06,9301,1740885.7769,265348.8922,,,-0.0884,85.7143,71.4286,-14.2857,0.2743,-0.1134,0.9015,1.9164,0.0,-166.727,-31.1745,,28.0109,0.6964,0.7372,0.9242,,,,0,0.8515,,,,,,,,,68.2037,0.975,0.9608,37.5049,-0.41,457.0901,1219479.0,21.0915,-9.5644,-87.234,0.06,34.4128,1.8348,0.9015,,11.8856,3.9542,3.9542,2.5495,3.065,3.9392,,0.0899,1.0482,,,-97.4505,0.7443
2025-05-30,0.06,0.06,0.06,0.06,3189,1744074.7769,214605.9531,,,-0.1304,78.5714,64.2857,-14.2857,0.255,-0.2219,0.8547,1.9314,1.0,-136.1699,-30.9194,0.339,27.7052,0.5993,0.6476,0.8606,,,,0,0.8184,,,,,,,,,68.2058,0.975,0.9608,37.4524,-0.505,392.341,1222668.0,21.202,-14.6749,-88.5965,0.065,34.5403,1.7984,0.8547,,4.4575,4.4741,4.4741,3.5877,21.5634,55.4954,,0.005,1.0049,,,-97.1871,0.6384
2025-06-06,0.06,0.1,0.06,0.1,11594,1755668.7769,178026.8459,35.5863,,-0.1266,71.4286,57.1429,-14.2857,0.2397,-0.3131,0.8097,1.9326,0.875,-112.5886,-29.0282,0.2438,25.4473,0.5225,0.5746,0.8042,,,,0,0.7901,,,,,,,,,68.216,0.975,0.9608,37.0059,-0.95,239.6629,1234262.0,21.9924,-14.8269,-90.4762,0.1,35.4859,1.7626,0.8097,,10.5883,23.3367,23.3367,63.8728,51.9374,96.3775,,0.04,0.9166,,,-95.3434,0.546
2025-06-13,0.1,0.1,0.01,0.01,50676,1709979.0785,132340.7756,35.0127,,-0.1351,100.0,50.0,-50.0,0.2292,-0.4108,0.7603,1.9314,-0.9508,-104.375,-31.726,0.1477,27.5558,0.4438,0.4994,0.7455,,,,0,0.7561,,,,,,,,,68.1726,0.9556,0.9582,37.5948,-1.2989,2065.0697,1183586.0,21.3516,-16.5654,-99.1527,0.0111,34.137,1.7276,0.7603,,17.1221,23.5554,23.5554,3.2056,50.6243,0.0,,0.0935,0.7848,,31.1746,-99.7583,0.4504
2025-06-20,0.02,0.02,0.02,0.02,1200,1708779.0785,101238.2218,34.4801,,-0.1833,92.8571,42.8571,-50.0,0.2135,-0.497,0.7113,1.9196,-1.0,-94.9561,-31.1884,0.0753,27.5558,0.3786,0.4355,0.6918,,,,0,0.7418,,,,,,,,,68.2428,0.9556,0.9582,37.4816,-1.7,1067.4627,1184786.0,21.2873,-23.5564,-98.8372,0.0426,34.4058,1.676,0.7113,,24.6881,27.1723,27.1723,14.4385,38.7688,19.9289,,0.009,0.6399,,46.2169,-99.2908,0.3654
2025-06-27,0.02,0.02,0.0,0.01,15301,1705972.3862,78417.9366,34.0385,,-0.2535,100.0,35.7143,-64.2857,0.1995,-0.5759,0.6618,1.8995,-0.5917,-86.6542,-31.5265,0.0174,28.2987,0.3219,0.3788,0.6413,,,,0,0.723,,,,,,,,,72.3273,0.955,0.9566,37.86,-1.89,1994.5021,1169485.0,21.1585,-34.2648,-99.4737,0.0175,34.2367,1.6259,0.6618,,19.6609,8.2549,8.2549,7.1207,9.1075,7.3938,,0.0169,0.4991,,51.3873,-99.6382,0.2834
2025-07-03,0.01,0.01,0.01,0.01,5970,1705972.3862,61953.4621,33.6286,,-0.3579,92.8571,28.5714,-64.2857,0.1852,-0.6463,0.6123,1.8709,0.0,-78.6572,-31.5265,-0.0262,28.2987,0.2739,0.3296,0.5945,,,,0,0.6707,,,,,,,,,62.9437,0.955,0.9566,37.86,-1.54,1852.0377,1169485.0,21.1585,-51.0039,-99.3548,0.0095,34.2367,1.561,0.6123,,14.9957,9.56,9.56,7.1207,11.5721,7.3938,,0.0,0.3651,,37.308,-99.6382,0.2066
2025-07-11,0.01,0.01,0.01,0.01,3789,1705972.3862,49585.8623,33.2479,,-0.4774,85.7143,21.4286,-64.2857,0.172,-0.7087,0.5628,1.8343,0.0,-71.4627,-31.5265,-0.0583,28.2987,0.2333,0.287,0.5512,13.5004,-0.0879,0.3317,0,0.5915,,,,,,,0.0084,0.1062,50.1063,0.955,0.9566,37.86,-0.19,1719.7493,1169485.0,21.1585,-71.9236,-95.0,0.0076,34.2367,1.4987,0.5628,,8.3119,7.1207,7.1207,7.1207,17.2961,37.1008,,0.0,0.2463,,43.9961,-99.6382,0.1398
2025-07-18,0.01,0.01,0.0,0.0,14645,1701090.7195,38465.3265,32.9233,,-0.5678,100.0,14.2857,-85.7143,0.1602,-0.764,0.5131,1.7901,-0.6667,-65.6977,-31.736,-0.0824,28.704,0.1982,0.2494,0.5107,13.9129,-0.0608,0.1093,0,0.445,-0.2759,-0.0591,-0.2168,-0.5678,-0.31,-0.2578,0.0089,0.1052,23.7417,0.9525,0.9562,38.0678,-0.0451,3204.5344,1154840.0,21.0878,-90.7916,-90.02,0.0029,34.132,1.4388,0.5131,,8.7209,9.482,9.482,14.2045,14.8315,0.0,,0.0075,0.1487,,41.2504,-99.8689,0.0847
2025-07-25,0.0,0.4,0.0,0.16,122777,1674670.3524,22012.688,30.7315,,-0.5389,92.8571,7.1429,-85.7143,0.177,-0.7944,0.4711,1.7365,0.3924,-37.618,-19.5271,-0.0604,2.2387,0.1923,0.2375,0.4848,14.3908,-0.0591,0.0655,0,0.3706,-0.2615,-0.0357,-0.2258,-0.5389,-0.231,-0.3079,0.0094,0.1057,3.109,0.7775,0.9562,31.9995,0.0101,110.6226,1277617.0,33.4651,-90.852,6.7378,0.0842,40.2364,1.367,0.4711,,12.3062,20.316,20.316,39.6226,45.7003,100.0,,0.395,0.0817,,37.4181,-91.7431,0.0666
2025-08-01,0.2,0.4,0.2,0.21,37599,1640795.5155,2502.5526,28.6963,,-0.4952,85.7143,0.0,-85.7143,0.1815,-0.8125,0.4581,1.7286,0.0495,-24.1839,-15.7989,-0.0276,2.2387,0.195,0.2338,0.4644,14.8905,-0.0395,0.0387,0,0.3368,-0.2431,-0.0139,-0.2292,-0.4952,-0.1468,-0.3484,0.0098,0.1068,12.0694,0.1075,0.7512,28.9771,0.15,86.4269,1315216.0,30.3042,-87.9902,250.0,0.1355,42.1005,1.2988,0.4581,,21.7136,35.3428,35.3428,52.2013,66.6667,100.0,,0.24,0.0505,,31.9496,-86.1436,0.0717
2025-08-08,0.16,0.16,0.16,0.16,5547,1635701.3318,-7327.2479,26.6897,,-0.462,78.5714,0.0,-78.5714,0.1721,-0.8383,0.4376,1.7134,0.0408,-36.3258,-18.5195,-0.011,0.6038,0.1897,0.224,0.4419,15.3947,-0.036,0.0547,0,0.3352,-0.23,-0.0006,-0.2294,-0.462,-0.0763,-0.3857,0.0103,0.1073,77.6556,0.1075,0.2013,30.0371,0.0953,107.3592,1309669.0,29.6766,-87.0956,146.6154,0.8015,40.7403,1.234,0.4376,,33.1665,43.8407,43.8407,39.6981,94.3098,82.9294,,0.0499,0.0492,,34.1333,-60.3019,0.083
2025-08-15,0.16,0.16,0.16,0.16,904,1635701.3318,-10682.4165,24.8264,,-0.4213,71.4286,85.7143,14.2857,0.1598,-0.856,0.3931,1.6422,0.0,-33.4515,-18.5195,0.0045,0.6038,0.1852,0.2155,0.421,15.901,-0.0083,0.0853,0,0.3298,-0.2171,0.0098,-0.2269,-0.4213,-0.0039,-0.4175,0.0108,0.1078,90.2416,0.1075,0.2013,30.0371,0.0603,99.6907,1309669.0,29.6766,-84.581,60.3,3.1996,40.7403,1.1724,0.3931,,41.0164,43.8658,43.8658,39.6981,88.6196,82.9294,,0.0,0.0539,,34.6692,-60.3019,0.0947
2025-08-22,0.16,0.17,0.1,0.1,3600,1632101.3318,-12229.3112,23.4202,,-0.3838,64.2857,78.5714,14.2857,0.153,-0.8483,0.3326,1.5136,-0.9123,-35.7519,-22.0066,0.0041,5.1384,0.1722,0.2002,0.3973,16.4242,0.0116,0.1199,0,0.3266,-0.2092,0.0142,-0.2234,-0.3838,0.056,-0.4397,0.0113,0.1078,88.7603,0.1075,0.2013,31.8937,0.0899,151.5172,1306069.0,28.7762,-82.7838,809.9099,0.6738,38.9967,1.1139,0.3326,,40.7577,34.5667,34.5667,24.3038,55.2863,0.0,,0.065,0.0608,,30.4841,-75.2201,0.0973
2025-08-29,0.12,0.18,0.12,0.18,10311,1639239.7165,-9479.072,21.9979,,-0.3458,57.1429,71.4286,14.2857,0.1481,-0.74,0.2554,1.2507,0.8462,-23.7695,-15.3711,0.024,3.509,0.1726,0.1969,0.3808,16.9894,0.0804,0.1716,0,0.321,-0.1948,0.0229,-0.2177,-0.3458,0.1042,-0.45,0.0118,0.1084,90.4647,0.1075,0.2013,30.6016,0.155,84.6294,1316380.0,28.5268,-80.0715,775.0,2.9167,42.3144,1.0583,0.2554,,36.0054,29.5837,29.5837,24.7492,60.9765,100.0,0.112,0.084,0.0733,,36.1635,-56.6038,0.1104
2025-09-05,0.18,0.18,0.18,0.18,6000,1639239.7165,-7492.2403,20.6773,28.1318,-0.3004,50.0,64.2857,14.2857,0.1375,-0.48,0.1691,0.8182,0.0,-4.0895,-15.3711,0.0416,3.509,0.173,0.194,0.3656,17.6024,0.1557,0.042,0,0.3158,-0.1812,0.0292,-0.2104,-0.3004,0.1432,-0.4436,0.0123,0.1091,90.6629,0.1075,0.2013,30.6016,0.165,78.5845,1316380.0,28.5268,-75.0773,1650.0,2.6923,42.3144,1.0055,0.1691,,36.6221,45.7161,45.7161,88.0952,66.6667,100.0,0.1356,0.0,0.0896,-6.0114,36.0708,-56.6038,0.1223
2025-09-12,0.1,0.3,0.1,0.18,21034,1635791.8752,-7095.3732,19.7034,27.3581,-0.2758,42.8571,57.1429,14.2857,0.1416,-0.0451,0.1007,0.2466,0.418,49.3834,-14.6771,0.059,7.0433,0.1744,0.1924,0.352,18.2781,0.1179,-0.1092,0,0.3123,-0.168,0.0339,-0.2019,-0.2758,0.1454,-0.4212,0.0128,0.1098,91.3122,0.1075,0.2013,27.606,0.1721,77.7358,1337414.0,31.7894,-70.8956,1721.0,1.821,42.6614,0.9554,0.1007,,42.2831,51.5495,51.5495,41.8041,100.0,100.0,0.1569,0.194,0.1074,-6.0048,35.1543,-54.8176,0.1341
2025-09-19,0.18,0.29,0.18,0.29,7127,1642918.8752,-4020.3027,18.7991,26.6396,-0.2416,35.7143,50.0,14.2857,0.1398,-0.0577,0.1054,0.2684,1.0,135.7185,-4.1828,0.1017,7.0433,0.1926,0.2057,0.3476,18.9333,0.0637,-0.1501,0,0.3094,-0.1469,0.044,-0.1909,-0.2416,0.1434,-0.385,0.0133,0.1117,95.8265,0.1488,0.2013,25.9491,0.2825,47.8081,1344541.0,29.8814,-63.8525,2825.0,26.3514,47.9086,0.9078,0.1054,,57.823,76.2036,76.2036,98.7113,100.0,100.0,0.212,0.1175,0.1256,-5.9198,49.8269,-27.044,0.1599
2025-09-26,0.29,0.29,0.18,0.28,3990,1646561.9187,-1237.6871,17.9594,25.999,-0.1893,28.5714,42.8571,14.2857,0.1382,-0.0614,0.1171,0.2956,-0.0435,116.4737,-4.82,0.1353,7.0433,0.2068,0.2163,0.343,19.4343,-0.0033,-0.1191,0,0.3061,-0.1293,0.0493,-0.1786,-0.1893,0.1569,-0.3461,0.0138,0.1134,93.7363,0.1488,0.2013,24.3737,0.28,48.5063,1340551.0,28.0673,-54.2369,5600.0,14.25,47.59,0.8625,0.1171,,68.7356,78.4536,78.4536,94.8454,98.1015,94.3045,0.2508,0.1175,0.1425,-5.7704,59.0536,-28.9308,0.182
2025-10-03,0.28,0.3,0.05,0.05,62330,1584231.9187,-19819.1,17.0689,25.3487,-0.1375,21.4286,35.7143,14.2857,0.1459,-0.068,0.1121,0.2923,-0.9388,11.4458,-22.2648,0.1047,5.4916,0.1827,0.1941,0.3213,19.8169,-0.0177,0.0365,0,0.3037,-0.1328,0.0366,-0.1694,-0.1375,0.1689,-0.3064,0.0143,0.1128,79.4307,0.1488,0.2013,27.5706,-0.11,291.7369,1278221.0,24.7,-45.7467,-68.75,5.0,38.8676,0.8195,0.1121,,73.0587,64.5189,64.5189,0.0,64.7682,0.0,0.1976,0.245,0.1549,-5.6787,45.2735,-88.0503,0.1702
2025-10-10,0.18,0.3,0.18,0.18,17987,1566244.9187,-31341.9871,16.2419,24.7449,-0.0639,14.2857,28.5714,14.2857,0.1529,-0.0626,0.1179,0.2983,-0.0833,76.9206,-10.6479,0.1118,5.4916,0.1815,0.1916,0.3104,20.1641,0.0325,0.0819,0,0.2997,-0.124,0.0363,-0.1603,-0.0639,0.1983,-0.2621,0.0147,0.1134,80.9232,0.1488,0.2013,24.416,-0.035,87.3996,1296208.0,21.8739,-26.4952,-16.6667,17.5,44.676,0.7786,0.1179,,63.8648,48.6219,48.6219,51.0204,52.85,64.2456,0.2008,0.245,0.166,-5.5689,47.5862,-56.6038,0.1747
2025-10-17,0.28,0.28,0.18,0.18,1554,1564690.9187,-33701.0785,15.4741,24.1987,0.0037,7.1429,21.4286,14.2857,0.1499,-0.057,0.1234,0.3038,-1.0,67.7329,-10.6479,0.1184,5.4916,0.1805,0.1894,0.3004,20.51,0.0431,0.0559,0,0.2957,-0.1157,0.0357,-0.1514,0.0037,0.2186,-0.2149,0.0152,0.114,80.4546,0.1488,0.2013,23.1361,0.0147,85.6466,1296208.0,20.7273,2.1347,9.1703,17.5,44.676,0.7398,0.1234,,49.0515,34.0136,34.0136,51.0204,42.8304,64.2456,0.203,0.11,0.1754,-5.4421,41.4294,-56.6038,0.1776
2025-10-24,0.18,0.8,0.06,0.65,219011,1694913.6755,9832.0866,16.8098,23.7706,0.075,0.0,100.0,100.0,0.192,-0.1405,0.1509,0.4422,0.6351,262.3047,22.0096,0.2425,34.1739,0.2527,0.2508,0.3263,20.8949,0.0864,0.0686,0,0.3398,-0.07,0.0651,-0.1351,0.075,0.2389,-0.1639,0.0158,0.1194,93.4011,0.35,0.4025,16.7679,0.4897,29.5435,1515219.0,34.178,53.5458,305.4897,130.0,61.0048,0.0025,0.1509,,47.7719,60.6803,60.6803,80.0,76.1637,100.0,0.3701,0.74,0.1904,-5.029,53.9034,-18.8679,0.2423
2025-10-31,0.55,1.4,0.31,1.39,435114,2122043.9323,162652.3644,19.5572,24.1268,0.1317,0.0,100.0,100.0,0.2562,-0.3877,0.2198,0.8273,0.7706,423.0036,47.8388,0.5271,55.2739,0.4277,0.4027,0.4051,21.2531,0.1071,-0.1581,0,0.5503,0.0256,0.1286,-0.103,0.1317,0.2426,-0.1109,0.0163,0.1321,98.1435,0.72,0.725,11.6717,1.289,18.4297,1950333.0,40.5203,70.87,1276.2376,8.6875,73.9194,0.0105,0.2198,,57.1513,76.7599,76.7599,99.2593,88.0819,100.0,0.7528,1.09,0.2239,-3.9432,70.0209,-0.7407,0.3996
2025-11-07,1.4,1.6,0.07,1.2,267554,2249700.416,251001.1442,20.7628,23.7262,0.1741,64.2857,100.0,35.7143,0.3472,-0.4556,0.2788,1.0132,-0.1307,267.0913,35.4362,0.709,36.435,0.5465,0.509,0.464,21.5568,-0.0505,-0.145,0,0.6308,0.0851,0.1504,-0.0654,0.1741,0.2323,-0.0582,0.017,0.1427,68.1888,0.72,0.825,12.9355,1.025,28.9301,1682779.0,27.7645,75.6817,585.7143,5.7143,67.7181,0.0383,0.2788,0.596,73.9562,84.4284,84.4284,74.026,92.9314,78.7942,0.97,1.53,0.2732,-2.4768,70.6951,-25.8065,0.5198
2025-11-14,1.21,1.65,0.48,1.47,332921,2479832.7711,337549.4722,22.0025,23.4145,0.2374,57.1429,100.0,42.8571,0.4056,-0.5355,0.3518,1.2391,0.223,242.1585,42.7822,0.9215,38.1194,0.6886,0.6371,0.5385,21.8996,-0.0665,0.3884,0,0.7708,0.1522,0.1741,-0.0219,0.2374,0.2386,-0.0011,0.0177,0.156,78.5126,0.76,0.85,10.2796,1.295,27.5952,2015700.0,22.9445,84.5419,740.0,9.1703,71.3911,0.07,0.3518,0.6054,82.8366,87.3215,87.3215,88.6792,90.0495,91.3543,1.2209,1.166,0.3422,-0.625,74.7982,-11.25,0.6665
2025-11-21,1.53,1.78,0.51,1.77,297183,2772335.3553,435338.2948,23.459,23.4396,0.3046,50.0,100.0,50.0,0.4674,-0.6257,0.4398,1.5053,0.189,205.8808,49.6386,1.1655,42.3937,0.855,0.7882,0.6297,22.8749,0.0942,0.8263,0,0.9627,0.2271,0.1991,0.0279,0.3046,0.245,0.0596,0.0184,0.1722,83.788,0.91,0.915,8.2846,1.5879,26.4057,2312883.0,20.4783,87.8725,871.9934,11.0418,74.8193,0.07,0.4398,0.6208,86.3748,87.3746,87.3746,99.4186,90.0495,100.0,1.5056,1.2699,0.4397,1.5596,81.3511,-0.578,0.8408
2025-11-28,1.84,1.99,1.58,1.9,293755,2937124.7455,488199.5923,25.2529,23.6254,0.3778,42.8571,100.0,57.1429,0.4633,-0.6859,0.5343,1.7545,0.1463,222.446,52.3057,1.3919,48.5733,1.0157,0.9364,0.7238,22.9871,0.3949,1.5784,0,1.1708,0.2935,0.2124,0.081,0.3778,0.2552,0.1226,0.0193,0.1894,87.7964,0.975,1.02,7.7609,1.6075,24.3833,2606638.0,22.4216,90.5463,549.5726,18.8119,76.1529,0.1555,0.5343,0.6388,89.7221,94.4701,94.4701,95.3125,97.1181,100.0,1.7544,0.41,0.5699,3.8324,82.0171,-4.6392,1.0171
