date,open,high,low,close,volume,ad_14_chaikin a/d,adx_14_adx,adxr_14_adxr,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_200_ema,ema_20_ema,ema_30_ema,ema_50_ema,ema_7_ema,ema_90_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_200_sma,sma_20_sma,sma_30_sma,sma_50_sma,sma_7_sma,sma_90_sma,stochrsi_14_fastd,stochrsi_14_fastk
2015-11-11,31.76,31.87,31.5,19.79,640514,22109523.1816,16.7567,15.9446,0.4106,18.0854,19.1733,20.2613,19.435,19.6515,19.2834,19.1507,19.1577,19.6656,19.4236,0.3096,0.0747,0.2349,62.8624,0.0172,0.0869,60.1357,18.5876,19.4876,20.308,19.1733,18.8761,18.7766,19.6358,19.5002,45.5706,18.8861
2015-11-12,31.52,31.71,31.26,19.61,1680948,20727410.3816,16.3451,15.8273,0.4014,18.1891,19.2335,20.2778,19.4586,19.6511,19.3147,19.1804,19.1755,19.6522,19.4278,0.2958,0.0487,0.2471,53.9002,0.1027,0.5266,56.7469,18.6904,19.5172,20.3083,19.2335,18.9222,18.7944,19.6834,19.4963,25.1659,0.0
2015-11-13,31.22,31.4,30.9,19.46,651201,20466929.9816,15.2974,15.1486,0.3951,18.2765,19.278,20.2795,19.4581,19.6491,19.3281,19.1981,19.1865,19.6029,19.4284,0.2691,0.0176,0.2515,48.4442,0.3563,1.8655,53.9257,18.7861,19.5328,20.3095,19.278,18.9755,18.8089,19.7192,19.4896,6.2954,0.0
2015-11-16,30.99,31.35,30.82,19.57,809174,20909685.5665,14.2279,14.7981,0.3906,18.4159,19.3369,20.2579,19.4728,19.6483,19.3509,19.222,19.2015,19.5941,19.4314,0.2541,0.0021,0.252,54.5092,0.1645,0.848,55.6359,18.875,19.5624,20.3097,19.3369,19.0162,18.8308,19.7192,19.48,9.1797,27.5391
2015-11-17,31.28,31.48,30.93,19.58,997775,21072350.4865,13.4272,14.6275,0.3873,18.5638,19.3936,20.2235,19.4871,19.6476,19.3728,19.2451,19.2163,19.5907,19.4347,0.2405,-0.0092,0.2497,55.3209,0.3014,1.5632,55.832,18.9577,19.5484,20.3076,19.3936,19.061,18.8422,19.6565,19.464,19.4124,30.6981
2015-11-18,31.44,31.63,31.3,19.77,1526088,21858517.0319,12.959,14.1891,0.3766,18.835,19.4721,20.1093,19.5246,19.6488,19.4104,19.2789,19.238,19.6351,19.442,0.2421,-0.0061,0.2482,58.1218,0.5639,2.9364,58.7766,19.0346,19.5669,20.305,19.4721,19.0997,18.8608,19.6511,19.4557,52.7457,100.0
2015-11-19,31.62,31.69,31.46,19.77,1201180,21701841.3798,12.6362,13.8381,0.36,19.0093,19.5292,20.0492,19.558,19.6501,19.4451,19.3109,19.259,19.67,19.4494,0.2411,-0.0057,0.2468,64.6048,0.2068,1.0567,58.875,19.1062,19.6152,20.3009,19.5292,19.137,18.8796,19.6502,19.4479,76.8994,100.0
2015-11-20,31.64,31.67,31.4,19.72,877279,21279447.7872,12.1986,13.5231,0.3464,19.0524,19.5552,20.0581,19.5793,19.6508,19.4711,19.3371,19.277,19.6821,19.4553,0.233,-0.011,0.244,58.0885,-0.3008,-1.5023,57.5435,19.1727,19.6377,20.294,19.5552,19.1792,18.8927,19.6395,19.4348,86.2972,58.8916
2015-11-23,31.44,31.62,31.38,19.69,479518,20963169.9574,11.7439,13.1429,0.3322,19.0942,19.5778,20.0614,19.5937,19.6511,19.4917,19.3597,19.2931,19.6833,19.4604,0.2215,-0.018,0.2395,53.6106,-0.119,-0.6011,56.7752,19.2346,19.6668,20.2879,19.5778,19.2242,18.9074,19.6502,19.4234,63.2955,30.9949
2015-11-24,31.12,31.18,30.85,19.41,1121338,20725310.3816,11.6483,13.2075,0.334,19.1402,19.5906,20.0411,19.5694,19.6487,19.484,19.363,19.2977,19.6153,19.4593,0.1881,-0.0412,0.2292,52.5339,-0.3697,-1.8689,50.3985,19.2921,19.6816,20.2791,19.5906,19.2688,18.9087,19.644,19.4094,29.9622,0.0
