date,open,high,low,close,volume,ad_14_chaikin a/d,adx_14_adx,adxr_14_adxr,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_200_ema,ema_20_ema,ema_30_ema,ema_50_ema,ema_7_ema,ema_90_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_200_sma,sma_20_sma,sma_30_sma,sma_50_sma,sma_7_sma,sma_90_sma,stochrsi_14_fastd,stochrsi_14_fastk
2007-07-13,51.46,51.47,50.74,27.17,49100,4872632.5742,25.6857,22.556,0.5927,25.8705,26.8977,27.9248,27.0875,22.902,26.9144,26.6309,26.0707,27.2765,25.0433,0.4018,-0.0044,0.4062,64.3128,0.7263,2.7471,54.7466,26.0201,27.0419,22.3364,26.8977,26.623,26.1908,27.4297,24.7859,12.5093,0.0
2007-07-16,51.11,51.63,50.97,27.24,46100,4885205.3014,26.23,22.7135,0.5754,25.9361,26.9422,27.9483,27.1085,22.9452,26.9459,26.6705,26.1168,27.2686,25.0917,0.3799,-0.021,0.4009,64.8371,0.827,3.1306,55.4939,26.1304,27.0946,22.3826,26.9422,26.631,26.2187,27.4024,24.8396,17.9697,16.3812
2007-07-17,51.41,51.89,51.34,27.28,36800,4863125.3014,26.8876,22.6587,0.5551,25.9931,26.9833,27.9734,27.1309,22.9883,26.9774,26.7096,26.1623,27.2706,25.1397,0.361,-0.032,0.3929,69.6906,-0.1697,-0.6181,55.8083,26.2351,27.1563,22.4291,26.9833,26.6289,26.2447,27.3479,24.8924,13.2177,23.2721
2007-07-18,50.71,50.88,50.1,26.94,53200,4908140.6861,26.1353,22.1056,0.5666,26.0582,27.0108,27.9635,27.1058,23.0276,26.9741,26.7247,26.1929,27.1887,25.1793,0.3154,-0.062,0.3774,66.0797,-0.1431,-0.5285,51.6804,26.3347,27.2044,22.4732,27.0108,26.6508,26.2566,27.1987,24.9429,13.2177,0.0
2007-07-19,50.15,50.28,49.7,26.51,48900,4909826.893,25.0489,21.5341,0.5685,26.0048,26.9809,27.957,27.0261,23.0623,26.9297,26.7107,26.2052,27.0185,25.2085,0.2414,-0.1088,0.3502,59.1901,-0.9278,-3.3816,46.8255,28.2257,27.2093,22.5151,26.9809,26.6662,26.2774,27.1093,24.9917,7.7574,0.0
2007-07-20,49.15,49.29,48.48,25.89,60100,4903149.1152,23.5322,21.2329,0.5855,25.8727,26.9464,28.0202,26.875,23.0904,26.8309,26.6579,26.193,26.7371,25.2236,0.1316,-0.1749,0.3065,51.5106,-1.7654,-6.383,40.9632,28.2069,27.1718,22.5548,26.9464,26.6822,26.2938,26.9412,25.0395,0.0,0.0
2007-07-23,48.6,48.68,48.0,25.56,45500,4887090.2917,22.4901,21.1364,0.5755,25.6833,26.9008,28.1184,26.7003,23.115,26.7103,26.5874,26.1683,26.4439,25.231,0.0179,-0.2309,0.2488,42.9648,-2.4228,-8.6569,38.2097,28.1568,27.0374,22.5924,26.9008,26.6688,26.3173,26.6564,25.0891,0.0,0.0
2007-07-24,47.58,47.9,47.05,24.95,111500,4780837.3505,22.1861,21.6204,0.5787,25.345,26.8232,28.3013,26.4675,23.1333,26.5431,26.482,26.1207,26.0716,25.225,-0.12,-0.2951,0.175,37.888,-2.179,-8.0305,33.6866,28.0756,26.8852,22.6262,26.8232,26.6388,26.3215,26.3406,25.1288,0.0,0.0
2007-07-25,47.43,47.67,46.76,25.02,62900,4777381.3065,22.0932,22.2218,0.5718,25.0851,26.7535,28.4218,26.2743,23.1521,26.3979,26.3876,26.0775,25.8083,25.2204,-0.2217,-0.3173,0.0957,29.123,-2.0517,-7.5793,34.5571,27.9503,26.7125,22.6603,26.7535,26.6347,26.3224,26.0225,25.1692,2.2086,6.6257
2007-07-26,45.54,45.79,44.75,24.03,49400,4782131.3065,23.1089,23.5324,0.6234,24.5985,26.6413,28.6841,25.9746,23.1608,26.1721,26.2353,25.9971,25.3629,25.1942,-0.3778,-0.3788,0.001,23.3625,-3.5309,-12.8126,28.3183,27.7923,26.4531,22.6905,26.6413,26.5796,26.2959,25.5582,25.1957,2.2086,0.0
2007-07-27,44.26,44.73,43.67,23.38,53000,4772131.3065,24.5133,24.4609,0.6413,23.9987,26.4884,28.9781,25.6287,23.163,25.9062,26.0511,25.8944,24.8672,25.1543,-0.5475,-0.4388,-0.1087,17.4502,-3.7853,-13.9344,25.1306,27.5482,26.124,22.7168,26.4884,26.4921,26.2609,25.0493,25.2145,2.2086,0.0
2007-07-30,44.1,44.82,43.7,23.58,97900,4810592.0208,25.7255,25.1186,0.6379,23.5525,26.3466,29.1407,25.3557,23.1671,25.6848,25.8918,25.8037,24.5458,25.1198,-0.6581,-0.4395,-0.2186,28.0471,-3.6634,-13.4462,27.8547,27.2405,25.8703,22.7441,26.3466,26.3997,26.2315,24.6312,25.2277,9.6327,28.8982
2007-07-31,45.74,46.28,44.41,23.79,98300,4760653.5181,25.4757,25.3368,0.6632,23.2073,26.1637,29.12,25.1467,23.1733,25.5041,25.7561,25.7247,24.3564,25.0905,-0.7208,-0.4018,-0.319,36.6723,-3.4885,-12.7891,30.6439,26.9543,25.6359,22.772,26.1637,26.3108,26.204,24.3305,25.2398,29.1282,58.4863
2007-08-01,45.56,45.58,44.42,24.07,46000,4792377.6561,25.2437,25.4647,0.6597,22.954,26.0128,29.0717,25.0031,23.1822,25.3675,25.6472,25.6598,24.2846,25.068,-0.7393,-0.3362,-0.4031,32.0296,-2.8735,-10.6651,34.3578,26.6882,25.3867,22.801,26.0128,26.2334,26.184,24.117,25.2535,62.4615,100.0
2007-08-02,45.57,46.29,45.57,24.32,36400,4786310.9894,24.406,25.318,0.6463,22.7864,25.857,28.9275,24.9118,23.1935,25.2676,25.5615,25.6072,24.2931,25.0516,-0.7254,-0.2579,-0.4675,36.8937,-2.1896,-8.26,37.5514,26.4406,25.1833,22.8324,25.857,26.1404,26.1524,24.0261,25.2712,86.1621,100.0
2007-08-03,46.04,46.56,45.62,24.31,45700,4762974.8192,23.3981,25.1429,0.6357,22.665,25.6894,28.7138,24.8313,23.2046,25.1762,25.4806,25.5562,24.2968,25.0352,-0.7072,-0.1917,-0.5155,36.4738,-1.5852,-6.122,37.4679,26.2104,24.9736,22.8636,25.6894,26.0646,26.1199,23.9246,25.2913,99.7128,99.1385
2007-08-06,44.89,45.47,44.47,23.87,52200,4768194.8192,23.1999,24.6676,0.6426,22.5534,25.4835,28.4135,24.7028,23.2112,25.0516,25.3766,25.49,24.1895,25.0096,-0.7199,-0.1635,-0.5564,31.3291,-1.6965,-6.6363,34.0796,25.9964,24.7301,22.8922,25.4835,25.9777,26.0686,23.9019,25.3064,82.9593,49.7393
2007-08-07,44.3,45.2,44.24,23.77,59800,4781898.9858,23.153,24.1009,0.633,22.3968,25.3151,28.2334,24.578,23.2168,24.9292,25.2727,25.4224,24.0839,24.9823,-0.7297,-0.1387,-0.591,31.3412,-1.1876,-4.7589,33.3365,25.7973,24.5032,22.919,25.3151,25.8863,26.0215,23.9572,25.3168,49.6259,0.0
2007-08-08,46.32,47.15,45.91,24.58,53900,4767119.9536,21.5256,22.5289,0.6757,22.3715,25.1905,28.0096,24.5781,23.2303,24.8958,25.2279,25.3893,24.2075,24.9734,-0.6644,-0.0587,-0.6057,37.5374,-0.44,-1.7588,43.9385,25.6121,24.3654,22.949,25.1905,25.8251,25.9942,24.0996,25.3337,49.9131,100.0
2007-08-09,45.64,46.01,44.92,23.85,48700,4723781.4215,20.6551,21.5726,0.6819,22.3498,25.005,27.6602,24.4805,23.2364,24.7959,25.1388,25.3288,24.1173,24.9486,-0.664,-0.0466,-0.6174,38.2338,-0.1803,-0.7502,38.0591,25.4399,24.2192,22.9767,25.005,25.7444,25.9564,24.1079,25.3416,48.1816,44.5448
2007-08-10,43.58,44.99,43.0,23.48,96300,4751364.8386,20.8717,21.5289,0.7086,22.2812,24.8205,27.3598,24.3465,23.2388,24.6701,25.0315,25.2562,23.9568,24.9162,-0.6857,-0.0547,-0.631,36.344,0.0954,0.4082,35.4667,25.2797,24.07,23.0031,24.8205,25.6456,25.902,24.0231,25.3426,54.879,20.0924
2007-08-13,44.45,44.45,43.65,23.14,31400,4719964.8386,21.0729,21.583,0.6883,22.2345,24.6153,26.9961,24.1858,23.2378,24.5245,24.9096,25.1732,23.753,24.8772,-0.7216,-0.0724,-0.6491,40.1192,-0.44,-1.866,33.2701,25.0811,23.9405,23.0285,24.6153,25.5364,25.8247,23.8549,25.3391,21.5457,0.0
2007-08-14,44.15,44.16,42.56,22.73,57100,4685704.8386,21.774,22.4415,0.6997,22.2079,24.3881,26.5684,23.9922,23.2328,24.3539,24.7691,25.0775,23.498,24.8301,-0.774,-0.0999,-0.6741,40.6636,-1.055,-4.435,30.7625,24.8984,23.7773,23.0503,24.3881,25.3793,25.7326,23.63,25.3286,6.6975,0.0
2007-08-15,42.42,43.19,41.76,22.14,37700,4648004.8386,22.7678,23.6406,0.7039,22.0915,24.148,26.2044,23.7451,23.2219,24.143,24.5995,24.9623,23.1584,24.771,-0.8536,-0.1436,-0.71,41.3841,-1.9298,-8.0176,27.514,24.6882,23.6425,23.069,24.148,25.2144,25.6497,23.3831,25.3105,0.0,0.0
2007-08-16,41.01,41.26,40.0,21.79,53500,4688766.7433,24.3394,25.0324,0.7202,21.9123,23.9123,25.9124,23.4851,23.2077,23.9194,24.4185,24.8381,22.8175,24.7056,-0.9338,-0.179,-0.7548,41.5652,-2.5236,-10.3772,25.8105,24.4334,23.5293,23.0849,23.9123,25.0264,25.5646,23.1013,25.285,0.0,0.0
2007-08-17,42.3,42.3,40.6,22.12,68800,4710620.861,24.946,25.2108,0.7332,21.7957,23.7236,25.6515,23.3029,23.1969,23.7479,24.2701,24.7315,22.6427,24.6487,-0.9601,-0.1643,-0.7958,39.0728,-2.1896,-9.0076,30.1794,24.0784,23.4247,23.1034,23.7236,24.8417,25.4988,22.7499,25.2639,19.5222,58.5666
2007-08-20,41.25,41.91,40.69,21.84,49800,4701640.5331,25.5092,25.3765,0.727,21.6367,23.5372,25.4378,23.1075,23.1834,23.5659,24.1132,24.618,22.4414,24.5869,-0.9922,-0.1571,-0.8351,28.2301,-2.0305,-8.5073,28.6033,23.7625,23.2854,23.119,23.5372,24.6367,25.4162,22.4629,25.2376,38.3215,56.3978
