date,open,high,low,close,volume,ad_14_chaikin a/d,adx_14_adx,adxr_14_adxr,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_200_ema,ema_20_ema,ema_50_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_200_sma,sma_20_sma,sma_50_sma,sma_7_sma,stoch_14_slowd,stoch_14_slowk,stochrsi_14_fastd,stochrsi_14_fastk
2011-10-28,32.47,32.5,31.81,19.55,1659800,196021300.8695,20.9153,17.2396,0.401,17.1307,18.4785,19.8264,18.9136,17.3041,18.7361,18.2321,19.218,0.3879,0.1035,0.2844,64.44,0.9165,4.9186,67.3809,17.8295,18.8098,17.2108,18.4785,18.1548,19.236,69.6361,69.4004,57.208,80.3933
2011-10-31,32.02,32.23,31.85,19.35,1242900,194974648.2379,22.0596,17.3755,0.3888,17.2288,18.5656,19.9025,18.9718,17.3245,18.7946,18.2759,19.2511,0.3881,0.083,0.3051,64.4348,0.8619,4.6619,62.8733,17.9636,18.9022,17.2254,18.5656,18.2016,19.3245,67.4236,66.0507,62.8392,22.1468
2011-11-01,31.16,31.49,30.78,18.74,2860000,192920282.0407,20.8998,16.4489,0.4087,17.4107,18.6336,19.8566,18.9414,17.3386,18.7897,18.2943,19.1242,0.3354,0.0242,0.3112,55.8966,0.0668,0.3575,51.6069,18.0883,18.9503,17.2364,18.6336,18.2387,19.2482,59.026,41.627,34.18,0.0
2011-11-02,31.28,31.94,31.28,19.23,2064000,193358100.2225,20.4505,16.2243,0.4255,17.5891,18.7201,19.8511,18.9797,17.3574,18.8315,18.3309,19.1504,0.3291,0.0143,0.3147,61.6135,0.6373,3.428,58.0788,18.2043,19.0262,17.2495,18.7201,18.2773,19.2282,47.3344,34.3254,20.7118,39.9885
2011-11-03,32.01,32.28,31.87,19.39,2855300,191603638.7767,20.4696,16.2862,0.4213,17.7238,18.8015,19.8791,19.0348,17.3777,18.885,18.3726,19.2111,0.3334,0.0149,0.3185,62.8987,0.6616,3.5321,60.022,18.3121,19.0804,17.2625,18.8015,18.3119,19.2681,39.2248,41.722,31.1121,53.3477
2011-11-04,32.51,33.49,31.95,19.6,2537300,190186705.0105,21.6879,17.0703,0.458,17.8763,18.8937,19.9112,19.1101,17.3998,18.953,18.4207,19.3081,0.3495,0.0248,0.3247,64.2461,0.3217,1.6688,62.3865,18.4124,19.1597,17.277,18.8937,18.3534,19.3479,44.8126,58.3905,63.0049,95.6786
2011-11-07,32.17,32.88,32.09,19.94,1878500,191922534.1244,22.8191,17.9483,0.4596,17.9148,18.9796,20.0445,19.2206,17.4251,19.047,18.4802,19.4659,0.3852,0.0484,0.3368,64.9232,0.5706,2.9458,65.9578,18.5657,19.2499,17.2922,18.9796,18.4024,19.4008,55.6071,66.7089,83.0088,100.0
2011-11-08,32.99,33.38,32.69,20.24,1893400,193570745.6352,24.2864,18.972,0.4569,17.9784,19.0886,20.1987,19.3561,17.453,19.1603,18.5491,19.6586,0.4325,0.0766,0.3559,65.5398,1.1229,5.8749,68.7534,18.7066,19.3674,17.3088,19.0886,18.4484,19.4987,66.7349,75.1053,98.5595,100.0
2011-11-09,32.79,33.36,32.68,19.96,2883500,192383422.1058,25.6286,20.3843,0.4537,18.1151,19.1829,20.2508,19.4363,17.4779,19.2362,18.6043,19.7333,0.4424,0.0692,0.3732,57.5677,0.9165,4.8135,63.4828,18.8363,19.455,17.3245,19.1829,18.4904,19.5855,73.0427,77.314,79.8787,39.636
2011-11-10,33.19,33.21,32.33,19.81,2595400,191616599.3785,26.1624,21.4468,0.4595,18.2723,19.2652,20.258,19.4864,17.5012,19.291,18.6517,19.7529,0.4335,0.0482,0.3853,49.8353,0.2428,1.2407,60.8613,18.9556,19.4931,17.3387,19.2652,18.5241,19.7381,73.0691,66.7878,46.5453,0.0
2011-11-11,32.96,33.15,32.74,20.02,1646900,191978114.0127,26.6581,22.1408,0.4487,18.3337,19.3347,20.3357,19.5581,17.5263,19.3608,18.7055,19.8207,0.4385,0.0426,0.3959,49.8196,0.4734,2.4216,63.245,19.0654,19.5399,17.3561,19.3347,18.5671,19.8517,67.6616,58.883,23.2798,30.2035
2011-11-14,32.8,32.88,32.38,19.7,1475600,190915682.0127,26.3884,22.3659,0.4431,18.4621,19.3951,20.3281,19.5765,17.5479,19.3928,18.7444,19.7897,0.4113,0.0123,0.399,51.0041,0.346,1.788,57.4331,19.1664,19.5816,17.3719,19.3951,18.607,19.895,55.8545,41.8926,10.0678,0.0
2011-11-15,32.67,32.79,32.39,19.81,1454500,191279034.2257,26.138,22.9105,0.4288,18.5635,19.4518,20.3401,19.6079,17.5704,19.4327,18.7862,19.7952,0.3945,-0.0036,0.3981,57.1067,1.0683,5.6995,58.8654,19.2593,19.6366,17.3873,19.4518,18.6515,19.9254,45.9218,36.9899,17.9599,23.6761
2011-11-16,32.37,32.57,32.19,19.54,2045900,189340813.1731,25.4916,23.2035,0.4177,18.7034,19.4995,20.2956,19.5995,17.59,19.4434,18.816,19.7326,0.3555,-0.0341,0.3896,49.4136,0.3156,1.6414,54.308,19.3448,19.6349,17.4021,19.4995,18.6856,19.869,31.011,14.1506,7.892,0.0
2011-11-17,32.22,32.35,31.66,19.41,2287000,189182183.1019,23.8997,22.9797,0.4177,18.8174,19.5335,20.2495,19.5744,17.6082,19.4403,18.8393,19.6522,0.3102,-0.0634,0.3737,48.3969,0.0182,0.0939,52.1347,20.3277,19.6249,17.4162,19.5335,18.7154,19.7511,22.8862,17.518,7.892,0.0
2011-11-18,32.2,32.49,32.16,19.6,1335100,188883280.1168,22.6585,21.7792,0.4102,18.8428,19.5496,20.2563,19.5777,17.628,19.4555,18.8691,19.639,0.2863,-0.0699,0.3562,52.7003,0.0,0.0,54.8751,20.3166,19.6427,17.4319,19.5496,18.7562,19.6999,18.7891,24.6987,13.5715,40.7144
2011-11-21,32.04,32.06,31.61,19.39,1482200,189574973.4501,21.4957,20.9731,0.4104,18.8446,19.5505,20.2563,19.5522,17.6455,19.4489,18.8894,19.576,0.2473,-0.0871,0.3344,55.0739,-0.5524,-2.7702,51.3037,20.3056,19.6886,17.4454,19.5505,18.7895,19.6392,25.3036,33.694,13.5715,0.0
2011-11-22,31.94,32.09,31.65,19.3,2183000,188781155.2683,20.3623,20.4159,0.4001,18.8721,19.5596,20.2471,19.5181,17.6619,19.4343,18.9054,19.5059,0.2067,-0.1022,0.3089,47.7805,-0.9408,-4.6491,49.8076,20.2832,19.6934,17.4583,19.5596,18.8178,19.5352,30.3926,32.7851,13.5715,0.0
2011-11-23,31.54,31.68,31.28,19.05,1404700,188078805.2683,19.888,20.788,0.3937,18.8733,19.5599,20.2465,19.4552,17.6757,19.3975,18.9109,19.3912,0.1526,-0.125,0.2776,39.9525,-0.9105,-4.562,45.8701,20.2613,19.6687,17.4702,19.5599,18.8401,19.4424,28.2649,18.3155,-0.0,0.0
2011-11-25,31.39,31.72,31.38,19.13,705800,187912991.0372,19.3674,21.0932,0.3803,18.8256,19.5377,20.2498,19.4113,17.6901,19.3716,18.9193,19.3249,0.1149,-0.1302,0.2451,35.5265,-0.6859,-3.462,47.2929,20.223,19.6349,17.4822,19.5377,18.8585,19.3444,22.1347,15.3035,5.2667,15.8
