date,open,high,low,close,volume,ad_14_chaikin a/d,adx_14_adx,adxr_14_adxr,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_200_ema,ema_20_ema,ema_50_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_200_sma,sma_20_sma,sma_50_sma,sma_7_sma,stoch_14_slowd,stoch_14_slowk,stochrsi_14_fastd,stochrsi_14_fastk
2008-10-28,34.74,35.98,33.06,28.65,293300,4174110.7888,21.6931,24.0659,2.5798,19.9302,26.1295,32.3288,27.6043,23.0125,27.1266,25.578,28.5031,1.0435,0.3773,0.6663,64.3746,4.6569,19.4106,55.5242,21.7803,26.6905,21.4664,26.1295,26.0252,29.2047,57.5635,37.9857,12.8574,23.7444
2008-10-29,35.66,36.17,33.41,28.21,241000,4160139.7743,21.1781,24.3106,2.5558,19.9279,26.1376,32.3474,27.6851,23.0642,27.2297,25.6812,28.4298,0.9972,0.2648,0.7325,69.0798,5.2502,22.8673,54.1592,22.2615,27.2257,21.5101,26.1376,26.1059,29.1176,40.7293,27.5119,12.0402,12.3762
2008-10-30,36.12,36.77,33.06,29.86,152900,4310566.9981,20.9259,23.3373,2.5886,19.8581,26.2409,32.6236,27.975,23.1318,27.4802,25.8451,28.7872,1.0812,0.279,0.8022,72.7355,3.5435,13.4651,58.3086,22.7186,27.8474,21.5616,26.2409,26.227,29.2256,38.1972,49.094,36.514,73.4213
2008-10-31,36.49,40.99,36.23,32.37,564100,4599727.5023,21.9798,23.0776,2.68,19.7398,26.6172,33.4945,28.5611,23.2238,27.946,26.101,29.6831,1.335,0.4262,0.9088,75.0558,4.2831,15.2488,63.6955,23.1528,28.302,21.6284,26.6172,26.3997,29.6668,47.0249,64.4689,61.9325,100.0
2008-11-03,40.84,43.1,38.84,31.74,385000,4252685.2487,23.4429,23.0355,2.7359,19.907,27.0093,34.1116,28.9845,23.3085,28.307,26.322,30.1966,1.468,0.4474,1.0206,80.1888,2.9177,10.1241,61.5341,23.7625,28.8552,21.7017,27.0093,26.5369,29.7539,62.6874,74.4994,83.5855,77.3353
2008-11-04,41.39,41.81,39.44,33.24,365200,4337436.3036,24.8015,23.1734,2.7007,20.1738,27.5205,34.8672,29.552,23.4073,28.7769,26.5933,30.9575,1.6755,0.5239,1.1516,84.4129,4.1368,14.2139,64.6021,24.5511,29.5896,21.7643,27.5205,26.7167,30.2264,71.114,74.3737,92.4451,100.0
2008-11-05,40.4,41.5,39.35,32.31,194800,4215120.0245,26.0103,23.7307,2.6326,21.0215,28.0695,35.1175,29.9192,23.4958,29.1129,26.8173,31.2946,1.7443,0.4742,1.2701,80.172,3.0233,10.3247,61.3276,25.2845,30.0174,21.817,28.0695,26.8989,30.9103,72.3335,68.1275,75.1017,47.97
2008-11-06,38.97,39.83,36.62,29.94,392100,3876723.9934,25.6652,23.5541,2.631,22.309,28.5307,34.7524,29.9221,23.56,29.1918,26.9398,30.9562,1.5898,0.2557,1.3341,72.5126,-1.1866,-3.812,53.8846,25.9666,30.1498,21.8697,28.5307,27.0234,31.0949,64.5671,51.2001,49.3233,0.0
2008-11-07,36.82,37.37,35.49,29.25,157500,3802956.0508,24.8193,23.2457,2.5523,23.7126,28.9355,34.1583,29.8324,23.6166,29.1973,27.0304,30.5296,1.3954,0.0491,1.3463,69.2072,-0.6827,-2.2807,51.9031,26.6009,30.1805,21.9183,28.9355,27.1201,31.2435,48.8962,27.361,15.99,0.0
2008-11-10,37.0,37.0,34.16,27.97,228200,3616539.1494,23.453,22.8804,2.5349,23.9633,29.0338,34.1042,29.5847,23.6599,29.0808,27.0674,29.8907,1.1255,-0.1767,1.3022,61.3617,0.4551,1.6539,48.3653,27.1908,30.0999,21.9611,29.0338,27.1756,30.9741,28.2813,6.2827,-0.0,0.0
