date,open,high,low,close,volume,ad_14_chaikin a/d,adx_14_adx,adxr_14_adxr,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_200_ema,ema_20_ema,ema_30_ema,ema_50_ema,ema_7_ema,ema_90_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_200_sma,sma_20_sma,sma_30_sma,sma_50_sma,sma_7_sma,sma_90_sma,stochrsi_14_fastd,stochrsi_14_fastk
2025-11-04,96.59,100.81,95.25,99.81,2041152,-43098977.4835,46.1108,40.3362,4.8926,78.1048,92.071,106.0372,95.4578,62.9928,92.5247,88.3678,82.2236,99.0513,74.2973,6.5712,0.3416,6.2296,49.8087,10.11,11.2709,66.3767,87.3133,94.9457,58.3413,92.071,86.6293,79.3524,99.9814,71.1944,18.39,0.0
2025-11-05,101.65,112.74,101.65,111.84,3674240,-40021097.4475,46.8124,40.7658,5.4667,78.7291,93.738,108.7469,97.6421,63.4788,94.3642,89.8822,83.385,102.2484,75.1224,7.3086,0.8632,6.4454,59.2329,24.29,27.7441,75.6877,87.901,96.6786,58.6881,93.738,87.932,80.2176,101.88,71.8329,43.1071,100.0
2025-11-06,111.43,112.48,105.36,106.54,2536314,-41716723.0992,47.4639,41.3493,5.5848,79.5969,94.8725,110.1481,98.8285,63.9073,95.5238,90.9569,84.2931,103.3213,75.8129,7.3803,0.7479,6.6324,58.3584,16.16,17.8801,66.8982,88.8945,98.07,59.0148,94.8725,89.033,80.9946,103.2429,72.3776,35.2002,5.6006
2025-11-07,100.9,104.71,96.91,104.63,2328159,-39436321.2069,46.0929,41.1193,5.8737,81.1832,95.964,110.7448,99.602,64.3125,96.3911,91.839,85.0906,103.6485,76.4463,7.1999,0.454,6.7459,52.9146,6.35,6.4611,64.0131,89.8483,99.1993,59.3285,95.964,90.085,81.725,103.5229,72.8619,35.2002,0.0
2025-11-10,108.94,109.5,105.91,107.43,1736855,-39702413.1985,45.3205,40.6126,5.802,82.0088,96.9875,111.9662,100.6458,64.7415,97.4424,92.8449,85.9667,104.5939,77.1272,7.2,0.3632,6.8367,52.564,8.88,9.0107,66.3071,90.764,100.4657,59.6607,96.9875,91.1283,82.5284,104.71,73.3188,8.4166,19.6492
2025-11-11,105.72,106.94,103.22,105.83,1587477,-39062301.505,44.0641,40.072,5.6883,83.2249,97.9315,112.6381,101.337,65.1503,98.2412,93.6826,86.7456,104.9029,77.758,6.9903,0.1229,6.8674,53.4188,8.83,9.1031,63.8042,91.6431,101.7714,59.9917,97.9315,92.1897,83.3106,105.3686,73.7564,6.5497,0.0
2025-11-12,105.24,105.89,93.05,96.5,4882118,-41317049.1483,41.2083,39.4243,6.1991,83.5424,98.1007,112.6591,100.6927,65.4623,98.0759,93.8647,87.1283,102.8034,78.1701,6.0025,-0.692,6.6945,43.0548,-6.165,-6.0047,51.5834,92.4869,102.2089,60.2761,98.1007,92.8858,83.9047,104.655,74.1182,6.5497,0.0
2025-11-13,95.44,96.15,86.32,88.09,3686553,-43675979.5254,38.8397,38.9377,6.4838,83.6401,98.1262,112.6124,99.0124,65.6875,97.1248,93.4921,87.1661,99.1251,78.3881,4.4889,-1.7644,6.2533,31.595,-11.03,-11.1279,43.4885,112.74,101.4811,60.4703,98.1262,93.1768,84.2895,102.9807,74.3868,-0.0,0.0
2025-11-14,84.27,95.46,83.06,93.75,3625441,-41052978.0764,37.0168,38.674,6.9068,84.7225,98.4607,112.199,98.3107,65.9667,96.8034,93.5088,87.4242,97.7813,78.7257,3.7034,-2.04,5.7433,41.9638,-7.47,-7.38,49.2565,112.4758,101.1382,60.6859,98.4607,93.7308,84.7621,100.3964,74.7327,8.426,25.278
2025-11-17,92.7,94.45,88.84,89.4,2473912,-43036962.8115,35.3241,38.6262,6.8138,84.8308,98.4897,112.1487,97.1226,66.1999,96.0983,93.2437,87.5017,95.686,78.9603,2.6987,-2.4357,5.1344,48.3484,-12.1,-11.9212,45.4195,111.8875,100.5954,60.8808,98.4897,94.0995,85.1549,97.9479,75.0404,11.5944,9.5052
