date,open,high,low,close,volume,ad_14_chaikin a/d,adx_14_adx,adxr_14_adxr,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_200_ema,ema_20_ema,ema_50_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_200_sma,sma_20_sma,sma_50_sma,sma_7_sma,stoch_14_slowd,stoch_14_slowk,stochrsi_14_fastd,stochrsi_14_fastk
2011-06-06,187.22,189.85,185.18,9.28,3716000,25389329330.9319,20.6483,28.1867,0.2373,9.2994,9.8181,10.3368,9.6573,8.595,9.6746,9.4983,9.5558,-0.0173,-0.0855,0.0682,33.398,-0.648,-6.524,39.5445,10.1966,9.7035,8.6349,9.8181,9.4876,9.6134,27.9284,16.5096,9.8248,0.0
2011-06-07,185.72,190.63,185.52,9.38,4866500,25369330015.8634,20.8407,27.2885,0.2386,9.2431,9.785,10.3268,9.62,8.6028,9.6463,9.4935,9.5112,-0.0369,-0.0841,0.0472,43.6626,-0.4335,-4.4185,42.5872,10.1497,9.6776,8.6499,9.785,9.5042,9.5602,16.1318,9.9783,10.2253,30.6758
2011-06-08,187.45,189.81,186.32,9.4,3716600,25368691058.8433,21.0193,26.6311,0.234,9.2136,9.7452,10.2769,9.591,8.6108,9.6231,9.49,9.484,-0.0498,-0.0776,0.0278,42.1418,-0.261,-2.7009,43.4117,10.1051,9.6453,8.6652,9.7452,9.5229,9.5167,14.8803,18.153,23.2213,38.9882
2011-06-09,189.74,191.76,185.71,9.48,4187300,25394853032.397,20.5322,25.6513,0.2389,9.2125,9.7085,10.2045,9.5767,8.6195,9.6098,9.4897,9.484,-0.0529,-0.0645,0.0117,42.4595,-0.129,-1.3419,46.1278,10.0628,9.6127,8.6815,9.7085,9.5379,9.4667,21.2274,35.5509,56.5546,100.0
2011-06-10,189.25,190.77,186.28,9.33,3760400,25328020088.0763,20.0798,24.5557,0.2379,9.2183,9.6596,10.101,9.5434,8.6265,9.5828,9.4833,9.4446,-0.0672,-0.0631,-0.0041,42.3137,-0.4235,-4.3436,41.9385,10.0226,9.5694,8.6964,9.6596,9.545,9.4248,29.8513,35.85,58.451,36.3647
2011-06-13,186.81,189.31,184.86,9.31,3868900,25300372667.8516,20.0208,23.7189,0.2368,9.2089,9.619,10.029,9.5129,8.6333,9.5573,9.4767,9.4121,-0.0787,-0.0597,-0.019,42.719,-0.392,-4.0385,41.6283,9.9845,9.5339,8.7118,9.619,9.5512,9.3722,34.6093,32.4271,45.4549,0.0
2011-06-14,188.99,190.72,187.07,9.5,3960300,25346594251.4132,19.4612,22.8988,0.2357,9.1992,9.6126,10.026,9.5109,8.6419,9.5516,9.4775,9.4336,-0.0721,-0.0425,-0.0297,49.2877,-0.3365,-3.4216,47.9664,9.94,9.5221,8.7276,9.6126,9.561,9.3839,35.554,38.3848,45.4549,100.0
2011-06-15,188.04,192.45,185.3,9.3,6317700,25244274019.2454,19.4069,22.086,0.2444,9.16,9.5905,10.021,9.4826,8.6485,9.5276,9.4705,9.3999,-0.082,-0.0419,-0.0401,47.9397,-0.3208,-3.3343,42.5682,9.8982,9.4997,8.7432,9.5905,9.5641,9.386,35.7588,36.4646,38.2768,14.8303
2011-06-16,185.74,187.0,181.59,9.18,6032100,25215507257.6927,20.1892,21.7477,0.2462,9.1095,9.5569,10.0044,9.4426,8.6538,9.4947,9.4592,9.3456,-0.0981,-0.0464,-0.0517,39.2805,-0.5,-5.164,39.748,9.8588,9.4592,8.7579,9.5569,9.5624,9.3581,36.9096,35.8793,38.2768,0.0
2011-06-17,186.51,187.39,184.64,9.32,6322200,25248152799.5109,20.7669,21.3591,0.242,9.1036,9.5258,9.9481,9.4261,8.6604,9.4779,9.4537,9.3388,-0.0988,-0.0377,-0.0611,43.0368,-0.0975,-1.0355,44.3806,9.8043,9.4314,8.7713,9.5258,9.566,9.3461,32.7524,25.9132,23.7329,56.3682
