date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2007-11-20,28.25,29.35,28.12,20.41,410900,12566144.2948,-158065.7584,19.7396,16.4872,-0.2696,100.0,0.0,-100.0,0.9927,20.2851,22.8271,25.369,0.4065,-166.0505,-26.2841,21.2129,40.0631,21.7924,22.2166,19.2098,-28.9705,-1.3195,0.3532,0.2761,-0.4844,22.9575,1,21.7011,-0.4242,-0.3951,-0.0291,-0.2696,-0.777,0.5075,17.7653,20.6248,30.3151,22.0661,22.4011,28.1779,-3.4981,4.8633,23218077.0,12.0581,-1.1986,-14.6295,0.8149,36.858,24.5089,20.1365,22.8271,22.2426,14.7817,13.6396,13.6396,16.6227,4.5726,13.7178,23.0694,20.5439,0.8733,22.5357,-0.0247,36.5208,-90.8169,21.7902
2007-11-21,28.69,28.75,28.14,19.98,244900,12321244.2948,-220234.7174,21.1913,17.1345,-0.5209,92.8571,0.0,-92.8571,0.9528,19.8519,22.6789,25.506,-0.9016,-150.9095,-30.6459,20.8245,40.0631,21.5135,22.0509,20.3122,-26.3532,-0.8683,0.4205,0.3197,-0.4439,22.8194,1,21.3992,-0.5374,-0.4066,-0.1308,-0.5209,-0.8567,0.3358,17.7796,20.6184,32.702,21.9454,22.0973,27.263,-3.373,4.7687,22973177.0,11.6666,-2.3227,-14.4435,0.8486,34.6771,24.2363,20.1488,22.6789,22.2228,11.0639,8.666,8.666,0.5988,4.5726,0.0,22.8785,20.1321,0.4331,22.2301,-0.097,37.7843,-99.6669,21.4652
2007-11-23,28.42,29.78,28.42,20.92,94400,12372609.0007,-209302.8199,21.2217,17.0629,-0.756,85.7143,0.0,-85.7143,0.9679,19.6495,22.5663,25.4832,0.7721,-99.4898,-14.7089,20.7528,21.6176,21.4229,21.9674,21.4149,-22.5602,-0.8111,-0.5512,0.3817,-0.3837,22.7015,1,21.3552,-0.5446,-0.331,-0.2135,-0.756,-0.9003,0.1442,17.7938,20.6214,36.5294,21.9454,21.9948,24.9202,-2.6901,4.6257,23067577.0,16.0611,-3.3731,-11.3918,0.8842,42.6455,23.9801,20.1656,22.5663,22.2227,15.5728,24.4127,24.4127,56.0166,37.9059,100.0,22.665,20.1755,1.1644,21.9336,-0.1575,43.7955,-76.3819,21.3001
2007-11-26,29.35,29.46,28.13,19.97,315700,12056909.0007,-286253.151,21.465,17.1039,-0.983,78.5714,0.0,-78.5714,0.9667,19.3012,22.3853,25.4694,-0.9173,-109.5361,-24.6783,20.4652,24.6273,21.1998,21.8197,22.5271,-25.8612,-1.2567,-1.1454,0.3279,-0.4362,22.5951,1,21.1797,-0.6199,-0.3251,-0.2948,-0.983,-0.9187,-0.0643,17.8079,20.615,37.0424,21.9419,21.9913,24.6897,-2.6805,4.8402,22751877.0,14.932,-4.3964,-11.8329,0.8415,37.6609,23.7392,20.1797,22.3853,22.1942,17.3838,19.0726,19.0726,0.6024,45.815,37.4449,22.4324,19.8992,0.9514,21.6241,-0.217,36.8764,-99.8247,21.0342
2007-11-27,28.27,29.42,28.26,20.73,278900,12230019.3455,-236629.2539,21.6908,16.7661,-1.2457,71.4286,0.0,-71.4286,0.9631,19.1547,22.2193,25.2839,0.8017,-86.3589,-13.2909,20.4294,24.6273,21.1279,21.7391,23.9973,-21.9674,-1.6851,-0.2973,0.3913,-0.3741,22.5051,1,21.1411,-0.6113,-0.2532,-0.3581,-1.2457,-0.9581,-0.2876,17.8219,20.6161,35.8386,21.7935,21.8677,23.0125,-1.2566,4.6453,23030777.0,13.9176,-5.5659,-5.7148,0.8671,43.3545,23.5128,20.196,22.2193,22.1928,28.015,40.5597,40.5597,65.0602,79.1483,100.0,22.1935,19.9793,0.9159,21.3237,-0.2647,43.0512,-79.8421,20.9054
2007-11-28,29.46,30.68,29.46,21.65,234300,12391340.657,-143487.3101,20.4574,15.7644,-1.355,64.2857,7.1429,-57.1429,0.9693,19.1326,22.1072,25.0819,0.8443,-36.0173,-1.2807,20.636,4.4229,21.208,21.7324,25.8728,-24.7588,-1.5586,0.9108,0.346,-0.4188,22.4485,1,21.1579,-0.5245,-0.1331,-0.3914,-1.355,-0.8478,-0.5072,17.8359,20.6265,42.5631,21.7935,21.8677,21.2306,-0.3195,4.4777,23265077.0,19.4322,-6.0471,-1.4544,0.927,49.3596,23.3,20.2173,22.1072,22.1736,37.4565,52.7372,52.7372,92.549,79.1483,100.0,21.9672,20.3809,1.0508,21.0801,-0.2922,49.9354,-55.7646,20.9291
2007-11-29,30.59,31.08,29.99,21.58,334500,12308482.8588,-118703.3316,19.0719,14.9651,-1.3427,57.1429,0.0,-57.1429,0.9554,19.2783,21.934,24.5898,-0.1743,-19.139,-2.0608,20.7932,1.0608,21.2659,21.7215,27.4888,-19.6895,-1.2231,2.319,0.4275,-0.3369,22.4069,1,21.1764,-0.4556,-0.0514,-0.4042,-1.3427,-0.6342,-0.7085,17.8499,20.636,42.1033,21.313,21.7369,20.0022,-0.8094,4.4263,22930577.0,20.4311,-6.0046,-3.6145,0.914,48.9696,23.0999,20.238,21.934,22.1481,57.161,78.1861,78.1861,76.9492,98.8886,96.6659,21.7636,20.6776,0.7739,20.9061,-0.3053,50.2813,-54.3039,20.9604
2007-11-30,30.99,31.36,29.91,21.45,289000,12139069.0657,-151677.6081,18.0546,14.7681,-1.3284,50.0,0.0,-50.0,0.9607,19.2724,21.8293,24.3863,-0.5379,-13.5537,-3.7893,20.8918,4.8284,21.2941,21.7013,28.2829,-14.269,-0.3467,3.043,0.511,-0.2465,22.3739,1,21.1833,-0.4072,-0.0024,-0.4048,-1.3284,-0.4558,-0.8726,17.8639,20.6442,49.4716,21.1833,21.4932,18.4711,-0.1136,4.4788,22641577.0,20.3453,-5.9562,-0.5268,0.9469,48.1053,22.9118,20.2567,21.8293,22.139,69.6294,77.9648,77.9648,64.3963,95.3148,89.2784,21.587,20.866,1.0295,20.8112,-0.309,47.2485,-51.4271,20.9931
2007-12-03,29.67,29.7,28.68,20.58,640800,11887774.9481,-231335.4306,17.5631,14.9161,-1.3796,42.8571,0.0,-42.8571,0.9697,19.2094,21.6753,24.1412,-0.6667,-68.6923,-14.2537,20.7601,11.1736,21.1848,21.6185,28.9975,-9.8543,0.1111,1.6739,0.5757,-0.1711,22.332,1,21.1656,-0.4337,-0.0231,-0.4106,-1.3796,-0.3595,-1.0201,17.8778,20.6436,46.2741,21.1833,21.3111,23.4262,-0.2343,4.7109,22000777.0,18.7173,-6.2133,-1.1255,0.9361,42.8731,22.7351,20.2712,21.6753,22.1096,70.3719,54.9646,54.9646,23.5484,61.9814,0.0,21.4299,20.7142,1.0863,20.7671,-0.3148,46.0098,-77.0449,20.9218
2007-12-04,28.67,29.85,28.5,20.9,285600,11995668.2814,-208562.531,17.2557,15.1281,-1.3315,35.7143,0.0,-35.7143,0.9689,19.2369,21.5334,23.8298,0.563,-56.3319,-9.6228,20.7359,13.2603,21.1403,21.565,29.5252,-6.0368,0.1906,2.7345,0.6288,-0.1052,22.2857,1,21.16,-0.4247,-0.0113,-0.4134,-1.3315,-0.1934,-1.1381,17.8917,20.6461,52.6567,21.1833,21.3111,22.713,0.6745,4.6367,22286377.0,17.3946,-6.0247,3.3357,0.9512,45.1886,22.5689,20.285,21.5334,22.0969,57.6945,40.1541,40.1541,32.5175,41.6584,35.6968,21.291,20.7174,0.9585,20.7583,-0.3177,45.2208,-65.4354,20.9055
