date,open,high,low,close,volume,ad_14_chaikin a/d,adx_14_adx,adxr_14_adxr,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_20_ema,ema_30_ema,ema_50_ema,ema_7_ema,ema_90_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_20_sma,sma_30_sma,sma_50_sma,sma_7_sma,sma_90_sma,stochrsi_14_fastd,stochrsi_14_fastk
2025-11-06,12.01,12.1,11.86,12.0,653390,-40553550.0375,41.2763,39.7494,0.4883,11.722,13.2805,14.839,12.8768,13.2749,13.8646,14.7879,12.3679,,-0.9033,-0.0531,-0.8502,24.7504,-1.73,-12.6001,24.9425,12.723,13.02,13.2805,13.928,15.259,12.29,,64.7722,53.5525
2025-11-07,12.04,12.39,11.77,12.31,918920,-39871808.9373,41.2809,39.3861,0.4977,11.6236,13.1925,14.7614,12.8012,13.183,13.7643,14.6907,12.3535,,-0.8704,-0.0162,-0.8543,23.9898,-1.25,-9.2183,31.2152,12.5504,12.91,13.1925,13.8153,15.1666,12.2214,,71.5284,100.0
2025-11-10,12.45,12.86,12.22,12.79,1869734,-38411079.2498,39.8418,38.3271,0.5079,11.6088,13.1255,14.6422,12.7997,13.1456,13.7014,14.6162,12.4626,,-0.7965,0.0462,-0.8427,27.9505,-1.04,-7.5199,39.6283,11.7701,12.8193,13.1255,13.7137,15.0816,12.2643,,84.5175,100.0
2025-11-11,12.88,13.48,12.77,13.44,2255551,-36409674.8413,37.0449,36.3549,0.5223,11.6431,13.088,14.5329,12.8851,13.1736,13.6846,14.57,12.7069,,-0.6776,0.1321,-0.8097,40.6137,0.26,1.9727,48.7668,11.7701,12.7764,13.088,13.6383,15.017,12.4129,,100.0,100.0
2025-11-12,13.58,14.32,13.54,14.25,3748611,-33333891.4567,35.7712,35.3397,0.5479,11.6139,13.1055,14.5971,13.0671,13.2762,13.721,14.5575,13.0927,,-0.5122,0.238,-0.7502,56.23,1.46,11.4152,57.4171,11.8043,12.8136,13.1055,13.6003,14.9628,12.7257,,100.0,100.0
2025-11-13,14.48,15.3,13.89,14.02,6958805,-39009512.556,35.7363,34.9796,0.6094,11.5959,13.132,14.6681,13.1941,13.347,13.7403,14.5364,13.3245,,-0.395,0.2841,-0.6792,71.1212,1.53,12.2498,54.5982,11.8798,12.8464,13.132,13.551,14.9052,12.9786,,96.4138,89.2415
2025-11-14,13.92,14.46,13.54,14.18,2376973,-38079392.6864,35.0171,34.6153,0.6316,11.5696,13.1635,14.7574,13.3256,13.4263,13.7687,14.5224,13.5384,,-0.286,0.3145,-0.6005,63.9984,1.78,14.3548,56.2089,12.0166,12.8714,13.1635,13.531,14.8482,13.2843,,94.1497,93.2077
2025-11-17,14.04,14.55,13.9,14.16,2475545,-38574501.6864,34.4518,34.6758,0.6329,11.553,13.179,14.805,13.4368,13.4962,13.7939,14.5082,13.6938,,-0.1989,0.3213,-0.5202,70.2893,2.1,17.4129,55.9417,12.1479,12.9414,13.179,13.4947,14.7766,13.5929,,88.4643,82.9437
2025-11-18,14.2,14.66,13.96,14.51,1461127,-37751331.5456,34.0616,34.8957,0.6384,11.516,13.2015,14.887,13.5799,13.5928,13.8401,14.5083,13.8978,,-0.1005,0.3358,-0.4363,76.7976,2.26,18.449,59.5638,12.274,13.0643,13.2015,13.4793,14.7194,13.9071,,92.0505,100.0
2025-11-19,14.55,15.22,14.33,14.98,2004114,-36811549.2744,34.2957,35.5134,0.6561,11.4253,13.2485,15.0717,13.7666,13.7249,13.9137,14.5268,14.1684,,0.0153,0.3612,-0.3459,81.3074,2.94,24.4186,63.8604,12.395,13.2421,13.2485,13.4877,14.676,14.22,,94.3146,100.0
2025-11-20,14.95,15.17,14.49,14.74,2668401,-37517890.7156,34.513,36.257,0.6578,11.3723,13.299,15.2257,13.8964,13.8216,13.967,14.5352,14.3113,,0.0866,0.3461,-0.2594,76.3805,2.74,22.8333,60.3349,12.5112,13.4093,13.299,13.4997,14.6068,14.4057,,85.1595,55.4785
2025-11-21,14.78,15.64,14.61,15.43,1164158,-36830242.1786,35.182,37.1472,0.6841,11.2543,13.3925,15.5307,14.1009,13.9747,14.0614,14.5702,14.591,,0.1966,0.3648,-0.1682,79.1783,3.12,25.3452,66.125,12.6228,13.65,13.3925,13.545,14.5508,14.5743,,85.1595,100.0
